Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,5,P. Mahomes QB - KC ,26.02,D. Martin RB - LV ,7.90,N. Chubb RB - CLE ,7.50,O. Beckham WR - NYG ,14.60,S. Diggs WR - MIN ,17.90,T. Kelce TE - KC ,14.90,J. Landry WR - CLE ,3.90,H. Butker K - KC ,6.00,Rams DEF ,7.00,D. Leonard LB - IND ,8.50,C. Hyde RB - JAX ,1.10,T. Coleman RB - ATL ,0.00,W. Fuller WR - HOU ,18.40,O. Howard TE - TB ,12.80,L. Fournette RB - JAX ,0.00,T. Cohen RB - CHI ,19.00,114.22,Aaron,113.06
Liam WHYTE,6,C. Newton QB - CAR ,27.96,J. Conner RB - PIT ,33.20,M. Mack RB - IND ,26.90,A. Jeffery WR - PHI ,3.50,T. Hill WR - KC ,7.00,R. Gronkowski TE - NE ,4.30,L. McCoy RB - BUF ,9.50,K. Fairbairn K - HOU ,6.00,Ravens DEF ,-4.00,K. Alonso LB - MIA ,6.50,M. Jones WR - DET ,23.70,A. Morris RB - SF ,2.80,D. Henry RB - TEN ,0.00,D. Cook RB - MIN ,0.00,M. Breida RB - SF ,4.20,K. Coutee WR - HOU ,0.00,120.86,Kevin,129.98
Adam,2,K. Cousins QB - MIN ,22.66,M. Ingram RB - NO ,9.20,T. Yeldon RB - JAX ,9.00,A. Brown WR - PIT ,19.40,M. Thomas WR - NO ,9.10,J. Cook TE - LV ,13.40,D. Funchess WR - CAR ,2.70,J. Myers K - NYJ ,4.00,Chiefs DEF ,9.00,B. Martinez LB - GB ,11.50,M. Goodwin WR - SF ,11.50,J. Winston QB - TB ,8.84,M. Gordon RB - LAC ,0.00,A. Ekeler RB - LAC ,0.00,S. Michel RB - NE ,0.00,Vikings DEF ,2.00,109.96,Oliver,123.90
Steven,9,R. Wilson QB - SEA ,23.42,J. Howard RB - CHI ,14.10,K. Johnson RB - DET ,9.10,D. Thomas WR - HOU ,4.00,C. Kirk WR - ARI ,10.20,E. Ebron TE - IND ,9.70,K. Drake RB - MIA ,21.50,J. Tucker K - BAL ,3.00,Steelers DEF ,7.00,L. Kuechly LB - CAR ,5.50,P. Rivers QB - LAC ,0.00,F. Gore RB - MIA ,5.80,K. Allen WR - LAC ,0.00,E. Elliott RB - DAL ,0.00,C. Kupp WR - LA ,0.00,Broncos DEF ,3.00,107.52,Todd,123.80
Oliver,4,M. Trubisky QB - CHI ,21.90,A. Kamara RB - NO ,19.60,P. Lindsay RB - DEN ,17.20,A. Thielen WR - MIN ,15.80,T. Lockett WR - SEA ,10.70,G. Kittle TE - SF ,5.70,L. Murray RB - MIN ,15.50,--empty--,-,Cardinals DEF ,8.00,C. Littleton LB - LA ,9.50,C. Ivory RB - BUF ,4.50,M. Sanu WR - ATL ,0.00,C. Wentz QB - PHI ,23.64,K. Golladay WR - DET ,1.20,C. Ridley WR - ATL ,0.00,S. Gostkowski K - NE ,13.00,123.90,Adam,109.96
Aaron,8,A. Luck QB - IND ,23.36,T. Gurley RB - LA ,27.50,C. McCaffrey RB - CAR ,17.60,B. Cooks WR - LA ,8.30,A. Wilson WR - MIA ,0.00,K. Rudolph TE - MIN ,3.90,M. Evans WR - TB ,23.90,M. Prater K - DET ,2.00,Texans DEF ,4.00,V. Miller LB - DEN ,2.50,T. Brady QB - NE ,13.76,J. Brown WR - BAL ,2.80,A. Cooper WR - DAL ,0.00,N. Agholor WR - PHI ,6.30,R. Freeman RB - DEN ,0.00,R. Succop K - TEN ,0.00,113.06,Liam,114.22
Kevin,10,A. Rodgers QB - GB ,15.94,L. Miller RB - HOU ,19.30,J. White RB - NE ,15.40,J. Edelman WR - NE ,11.70,A. Green WR - CIN ,13.60,J. Graham TE - GB ,2.10,J. Smith-Schuster WR - PIT ,4.30,C. Parkey K - CHI ,6.00,Eagles DEF ,7.00,Z. Cunningham LB - HOU ,2.00,D. Baldwin WR - SEA ,2.60,J. Goff QB - LA ,26.50,A. Collins RB - BAL ,10.30,D. Njoku TE - CLE ,0.00,D. Foreman RB - HOU ,0.00,K. Mack LB - CHI ,0.00,97.34,Jackson ,106.56
Todd,7,A. Dalton QB - CIN ,20.20,K. Hunt RB ,14.60,J. Mixon RB - CIN ,25.80,D. Hopkins WR - HOU ,20.20,T. Boyd WR - CIN ,19.60,T. Burton TE - CHI ,1.80,E. Sanders WR - DEN ,5.10,D. Bailey K - MIN ,2.00,Jaguars DEF ,8.00,L. Collins DB - NYG ,6.50,D. Brees QB - NO ,6.80,A. Robinson WR - CHI ,0.00,I. Crowell RB - NYJ ,3.80,C. Uzomah TE - CIN ,0.00,T. Williams WR - LAC ,0.00,J. Smith LB - DAL ,0.00,123.80,Steven,107.52
Jackson ,1,D. Watson QB - HOU ,30.96,C. Thompson RB - WAS ,2.20,D. Johnson RB - ARI ,10.00,G. Tate WR - PHI ,5.30,D. Adams WR - GB ,13.30,G. Olsen TE - CAR ,11.60,D. Jackson WR - TB ,13.20,G. Zuerlein K - LA ,7.00,Bears DEF ,5.00,T. Edmunds LB - BUF ,8.00,J. Nelson WR - LV ,1.40,J. Jones WR - ATL ,0.00,G. Bernard RB - CIN ,0.00,L. Bell RB - PIT ,0.00,P. Barber RB - TB ,14.50,C. Clement RB - PHI ,1.50,106.56,Kevin,97.34
Kevin,3,B. Roethlisberger QB - PIT ,18.88,C. Carson RB - SEA ,18.40,S. Barkley RB - NYG ,11.10,T. Hilton WR - IND ,3.40,R. Woods WR - LA ,7.00,Z. Ertz TE - PHI ,8.60,A. Peterson RB - WAS ,25.60,C. Boswell K - PIT ,8.00,Patriots DEF ,20.00,T. Smith LB - JAX ,9.00,M. Ryan QB - ATL ,0.00,J. Gordon WR - NE ,4.20,K. Benjamin WR - KC ,4.50,S. Shepard WR - NYG ,3.40,C. Davis WR - TEN ,0.00,A. Jones RB - GB ,14.60,129.98,Liam WHYTE,120.86
