Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,4,P. Mahomes QB - KC ,28.22,L. Fournette RB - JAX ,13.10,N. Chubb RB - CLE ,11.50,J. Landry WR - CLE ,7.82,S. Diggs WR - MIN ,7.00,T. Kelce TE - KC ,5.40,T. Coleman RB - ATL ,5.10,H. Butker K - KC ,13.00,Rams DEF ,8.00,D. Leonard LB - IND ,8.50,D. Martin RB - LV ,17.60,O. Beckham WR - NYG ,0.00,C. Brate TE - TB ,0.80,T. Cohen RB - CHI ,1.90,L. Jackson QB - BAL ,21.06,J. Samuels RB - PIT ,12.40,107.64,Kevin,145.66
Liam WHYTE,9,B. Mayfield QB - CLE ,24.96,D. Cook RB - MIN ,10.80,M. Breida RB - SF ,2.60,A. Jeffery WR - PHI ,8.20,T. Hill WR - KC ,9.10,R. Gronkowski TE - NE ,0.00,M. Mack RB - IND ,9.80,M. Crosby K - GB ,12.00,Dolphins DEF ,12.00,K. Alonso LB - MIA ,0.00,L. McCoy RB - BUF ,1.90,C. Newton QB - CAR ,0.00,S. Ware RB - KC ,0.00,J. Conner RB - PIT ,0.00,Ravens DEF ,20.00,Bills DEF ,7.00,89.46,-,-
Adam,8,D. Prescott QB - DAL ,16.64,M. Gordon RB - LAC ,11.40,S. Michel RB - NE ,17.60,A. Brown WR - PIT ,30.50,M. Thomas WR - NO ,16.90,D. Njoku TE - CLE ,13.30,R. Anderson WR - NYJ ,20.00,W. Lutz K - NO ,7.00,Vikings DEF ,7.00,L. Vander Esch LB - DAL ,13.00,M. Ingram RB - NO ,10.30,K. Dixon RB - BAL ,2.80,E. McGuire RB - NYJ ,20.50,J. Jackson RB - LAC ,4.60,D. Moore WR - CAR ,2.90,Texans DEF ,6.00,153.34,Aaron,112.88
Steven,5,P. Rivers QB - LAC ,3.34,E. Elliott RB - DAL ,10.90,J. Howard RB - CHI ,13.00,D. Thomas WR - HOU ,3.70,K. Allen WR - LAC ,5.80,E. Ebron TE - IND ,2.80,K. Drake RB - MIA ,5.40,J. Tucker K - BAL ,12.00,Broncos DEF ,1.00,L. Kuechly LB - CAR ,6.50,J. Cook TE - LV ,2.00,F. Gore RB - MIA ,0.00,R. Wilson QB - SEA ,28.54,K. Johnson RB - DET ,0.00,J. Elliott K - PHI ,8.00,Steelers DEF ,3.00,64.44,Todd,84.94
Oliver,3,M. Trubisky QB - CHI ,12.14,D. Henry RB - TEN ,15.20,A. Kamara RB - NO ,22.50,A. Thielen WR - MIN ,8.30,T. Lockett WR - SEA ,9.90,G. Kittle TE - SF ,7.40,P. Lindsay RB - DEN ,7.70,S. Gostkowski K - NE ,6.00,Titans DEF ,13.00,T. Smith LB - JAX ,14.50,K. Juszczyk RB - SF ,0.00,J. Winston QB - TB ,15.84,K. Golladay WR - DET ,5.80,D. Pettis WR - SF ,2.10,G. Edwards RB - BAL ,10.50,Chiefs DEF ,-1.00,116.64,Jackson ,132.56
Aaron,7,A. Luck QB - IND ,21.58,C. McCaffrey RB - CAR ,17.80,R. Freeman RB - DEN ,2.10,M. Evans WR - TB ,15.00,B. Cooks WR - LA ,6.20,K. Rudolph TE - MIN ,24.20,A. Cooper WR - DAL ,2.00,J. Myers K - NYJ ,9.00,Redskins DEF ,4.00,D. Trevathan LB - CHI ,11.00,T. Brady QB - NE ,6.04,J. Brown WR - BAL ,2.70,T. Gurley RB - LA ,0.00,N. Agholor WR - PHI ,18.60,A. Ekeler RB - LAC ,0.00,C. Herndon TE - NYJ ,14.20,112.88,Adam,153.34
Kevin,10,J. Goff QB - LA ,17.24,L. Miller RB - HOU ,0.00,J. White RB - NE ,11.40,J. Edelman WR - NE ,14.00,J. Smith-Schuster WR - PIT ,9.50,V. McDonald TE - PIT ,4.90,D. Baldwin WR - SEA ,18.60,C. Parkey K - CHI ,2.00,Chargers DEF ,6.00,D. James DB - LAC ,6.00,A. Green WR - CIN ,0.00,A. Rodgers QB - GB ,42.88,A. Collins RB - BAL ,0.00,W. Smallwood RB - PHI ,2.70,D. Foreman RB - HOU ,8.70,R. Penny RB - SEA ,0.00,89.64,-,-
Todd,6,D. Brees QB - NO ,16.94,D. Williams RB - KC ,18.00,J. Mixon RB - CIN ,7.80,D. Hopkins WR - HOU ,10.40,A. Robinson WR - CHI ,7.40,T. Burton TE - CHI ,4.00,K. Ballage RB - MIA ,5.90,K. Fairbairn K - HOU ,7.00,Packers DEF ,-2.00,R. Smith LB - CHI ,9.50,T. Williams WR - LAC ,1.20,T. Boyd WR - CIN ,0.00,K. Hunt RB ,0.00,M. Williams WR - LAC ,2.10,J. Wilson RB - SF ,3.80,Jaguars DEF ,17.00,84.94,Steven,64.44
Jackson ,1,D. Watson QB - HOU ,36.46,D. Johnson RB - ARI ,12.70,P. Barber RB - TB ,5.60,J. Jones WR - ATL ,8.80,D. Adams WR - GB ,13.10,E. Engram TE - NYG ,11.30,J. Williams RB - GB ,21.60,G. Zuerlein K - LA ,7.00,Bears DEF ,7.00,C. Littleton LB - LA ,9.00,J. Graham TE - GB ,3.40,G. Tate WR - PHI ,1.30,D. Lewis RB - TEN ,2.50,D. Freeman RB - ATL ,0.00,C. Godwin WR - TB ,3.90,J. Adams RB - PHI ,0.10,132.56,Oliver,116.64
Kevin,2,M. Ryan QB - ATL ,19.46,C. Carson RB - SEA ,23.60,S. Barkley RB - NYG ,13.70,T. Hilton WR - IND ,13.80,R. Woods WR - LA ,22.40,Z. Ertz TE - PHI ,23.00,Z. Zenner RB - DET ,7.70,M. Badgley K - LAC ,4.00,Patriots DEF ,10.00,T. Edmunds LB - BUF ,8.00,B. Roethlisberger QB - PIT ,31.60,A. Peterson RB - WAS ,12.70,J. Gordon WR - NE ,0.00,C. Davis WR - TEN ,4.60,A. Jones RB - GB ,0.00,D. Jones LB - ATL ,13.00,145.66,Liam,107.64
