Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,5,L. Jackson QB - BAL ,22.22,T. Coleman RB - ATL ,8.30,L. Fournette RB - JAX ,22.80,O. Beckham WR - NYG ,8.50,S. Diggs WR - MIN ,14.90,C. Brate TE - TB ,8.60,N. Chubb RB - CLE ,24.80,J. Sanders K - MIA ,6.00,Cowboys DEF ,9.00,D. Leonard LB - IND ,11.50,D. Martin RB - LV ,13.20,T. Kelce TE - KC ,0.00,J. Landry WR - CLE ,3.00,P. Mahomes QB - KC ,0.00,T. Cohen RB - CHI ,11.90,H. Butker K - KC ,0.00,136.62,Adam,117.18
Liam WHYTE,9,C. Newton QB - CAR ,22.54,J. Conner RB - PIT ,8.50,M. Mack RB - IND ,9.60,A. Jeffery WR - PHI ,3.90,C. Kirk WR - ARI ,5.10,R. Gronkowski TE - NE ,11.60,M. Breida RB - SF ,14.00,M. Crosby K - GB ,5.00,Ravens DEF ,18.00,K. Alonso LB - MIA ,5.00,L. McCoy RB - BUF ,5.30,M. Jones WR - DET ,0.00,D. Henry RB - TEN ,3.90,T. Hill WR - KC ,0.00,D. Cook RB - MIN ,13.60,J. Hicks LB - PHI ,0.00,103.24,Steven,108.36
Adam,7,K. Cousins QB - MIN ,27.38,M. Ingram RB - NO ,6.60,M. Gordon RB - LAC ,18.60,A. Brown WR - PIT ,6.70,M. Thomas WR - NO ,3.80,J. Doyle TE - IND ,8.60,S. Michel RB - NE ,20.50,W. Lutz K - NO ,8.00,Texans DEF ,9.00,L. Vander Esch LB - DAL ,8.00,L. Fitzgerald WR - ARI ,9.00,B. Bortles QB - JAX ,8.98,D. Funchess WR - CAR ,0.00,T. Yeldon RB - JAX ,3.30,Vikings DEF ,7.00,Cardinals DEF ,2.00,117.18,Liam,136.62
Steven,8,P. Rivers QB - LAC ,20.66,F. Gore RB - MIA ,7.70,E. Elliott RB - DAL ,20.30,D. Thomas WR - HOU ,15.80,K. Allen WR - LAC ,13.20,J. Cook TE - LV ,9.20,J. Howard RB - CHI ,1.50,J. Tucker K - BAL ,10.00,Steelers DEF ,2.00,L. Kuechly LB - CAR ,8.00,R. Wilson QB - SEA ,21.96,E. Ebron TE - IND ,17.50,K. Drake RB - MIA ,21.60,K. Johnson RB - DET ,0.00,J. Elliott K - PHI ,9.00,Broncos DEF ,11.00,108.36,Liam WHYTE,103.24
Oliver,3,J. Winston QB - TB ,22.88,A. Kamara RB - NO ,9.80,P. Lindsay RB - DEN ,17.00,A. Thielen WR - MIN ,18.50,K. Golladay WR - DET ,9.00,G. Kittle TE - SF ,5.80,T. Lockett WR - SEA ,16.50,S. Gostkowski K - NE ,9.00,Falcons DEF ,3.00,T. Smith LB - JAX ,8.50,L. Murray RB - MIN ,3.30,C. Wentz QB - PHI ,13.24,M. Trubisky QB - CHI ,0.00,C. Ridley WR - ATL ,13.30,C. Littleton LB - LA ,0.00,-,-,119.98,Kevin,134.28
Aaron,6,A. Luck QB - IND ,22.62,C. McCaffrey RB - CAR ,35.70,R. Freeman RB - DEN ,1.70,M. Evans WR - TB ,11.60,J. Brown WR - BAL ,2.50,K. Rudolph TE - MIN ,6.30,A. Cooper WR - DAL ,30.00,R. Succop K - TEN ,5.00,Redskins DEF ,3.00,D. Trevathan LB - CHI ,7.50,T. Brady QB - NE ,19.22,B. Cooks WR - LA ,0.00,T. Gurley RB - LA ,0.00,N. Agholor WR - PHI ,1.20,A. Ekeler RB - LAC ,16.30,C. Herndon TE - NYJ ,5.70,125.92,Kevin,111.32
Kevin,10,A. Rodgers QB - GB ,11.92,L. Miller RB - HOU ,22.70,J. White RB - NE ,7.80,J. Edelman WR - NE ,14.40,J. Smith-Schuster WR - PIT ,24.90,V. McDonald TE - PIT ,2.70,D. Baldwin WR - SEA ,3.90,C. Parkey K - CHI ,5.00,Chargers DEF ,8.00,D. James DB - LAC ,10.00,A. Green WR - CIN ,0.00,J. Goff QB - LA ,0.00,A. Collins RB - BAL ,0.00,W. Smallwood RB - PHI ,1.00,D. Foreman RB - HOU ,0.00,R. Penny RB - SEA ,0.40,111.32,Aaron,125.92
Todd,4,D. Brees QB - NO ,22.44,I. Crowell RB - NYJ ,6.00,J. Mixon RB - CIN ,15.50,E. Sanders WR - DEN ,14.60,T. Boyd WR - CIN ,14.50,T. Burton TE - CHI ,0.80,D. Hopkins WR - HOU ,7.40,D. Bailey K - MIN ,6.00,Jaguars DEF ,0.00,L. Collins DB - NYG ,8.00,A. Dalton QB - CIN ,9.10,A. Robinson WR - CHI ,3.70,T. Williams WR - LAC ,0.00,K. Hunt RB ,0.00,M. Badgley K - LAC ,9.00,J. Smith LB - DAL ,10.00,95.24,Jackson ,118.00
Jackson ,1,D. Watson QB - HOU ,29.40,D. Johnson RB - ARI ,7.90,P. Barber RB - TB ,12.30,J. Jones WR - ATL ,14.80,D. Adams WR - GB ,12.90,G. Olsen TE - CAR ,3.10,D. Lewis RB - TEN ,6.10,A. Vinatieri K - IND ,9.00,Bears DEF ,13.00,B. Wagner LB - SEA ,9.50,D. Jackson WR - TB ,2.50,G. Tate WR - PHI ,3.00,C. Thompson RB - WAS ,0.00,M. Davis RB - SEA ,1.40,J. Adams RB - PHI ,16.40,G. Zuerlein K - LA ,0.00,118.00,Todd,95.24
Kevin,2,B. Roethlisberger QB - PIT ,20.28,A. Jones RB - GB ,15.30,S. Barkley RB - NYG ,26.20,T. Hilton WR - IND ,13.50,C. Davis WR - TEN ,19.50,Z. Ertz TE - PHI ,15.10,A. Peterson RB - WAS ,4.40,B. Maher K - DAL ,7.00,Patriots DEF ,8.00,M. Foster LB - WAS ,5.00,M. Ryan QB - ATL ,22.68,J. Gordon WR - NE ,7.00,J. Reed TE - WAS ,7.50,R. Woods WR - LA ,0.00,S. Shepard WR - NYG ,4.70,C. Carson RB - SEA ,12.30,134.28,Oliver,119.98
