Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,2,P. Mahomes QB - KC ,27.26,C. Hyde RB - JAX ,22.30,T. Coleman RB - ATL ,10.70,O. Beckham WR - NYG ,10.90,S. Diggs WR - MIN ,1.70,T. Kelce TE - KC ,11.40,W. Fuller WR - HOU ,16.10,H. Butker K - KC ,8.00,Rams DEF ,12.00,D. Leonard LB - IND ,16.00,R. Tannehill QB - MIA ,26.16,J. Landry WR - CLE ,12.30,O. Howard TE - TB ,7.20,L. Fournette RB - JAX ,0.00,T. Cohen RB - CHI ,6.80,G. Zuerlein K - LA ,0.00,136.36,Kevin,90.70
Liam WHYTE,4,C. Newton QB - CAR ,31.60,D. Henry RB - TEN ,5.70,J. Conner RB - PIT ,9.50,G. Tate WR - PHI ,6.90,T. Hill WR - KC ,7.60,R. Gronkowski TE - NE ,5.10,D. Jackson WR - TB ,3.70,B. McManus K - DEN ,2.00,Browns DEF ,9.00,K. Alonso LB - MIA ,11.00,M. Jones WR - DET ,12.90,A. Luck QB - IND ,13.86,A. Jeffery WR - PHI ,0.00,D. Cook RB - MIN ,0.00,M. Mack RB - IND ,0.00,P. Lindsay RB - DEN ,2.00,92.10,Steven,87.74
Adam,5,K. Cousins QB - MIN ,12.04,D. Lewis RB - TEN ,4.00,M. Gordon RB - LAC ,14.40,A. Brown WR - PIT ,11.00,M. Thomas WR - NO ,12.90,W. Dissly TE - SEA ,0.40,C. Hogan WR - NE ,3.10,M. Bryant K - ATL ,3.00,Ravens DEF ,6.00,B. Martinez LB - GB ,7.50,R. Burkhead RB - NE ,2.60,J. Doyle TE - IND ,0.00,D. Funchess WR - CAR ,12.70,T. Yeldon RB - JAX ,9.00,A. Ekeler RB - LAC ,5.10,Steelers DEF ,17.00,74.34,Aaron,92.12
Steven,9,P. Rivers QB - LAC ,17.04,E. Elliott RB - DAL ,12.80,J. Howard RB - CHI ,14.10,K. Allen WR - LAC ,3.40,K. Stills WR - MIA ,12.10,E. Ebron TE - IND ,3.30,K. Drake RB - MIA ,1.00,J. Tucker K - BAL ,13.00,Texans DEF ,4.00,L. Kuechly LB - CAR ,7.00,D. Thomas WR - HOU ,6.30,F. Gore RB - MIA ,1.20,R. Wilson QB - SEA ,15.58,C. Kupp WR - LA ,12.80,K. Johnson RB - DET ,11.00,M. Gesicki TE - MIA ,3.10,87.74,Liam WHYTE,92.10
Oliver,7,D. Watson QB - HOU ,25.00,A. Kamara RB - NO ,19.00,M. Breida RB - SF ,11.70,S. Watkins WR - KC ,13.50,K. Golladay WR - DET ,11.30,G. Kittle TE - SF ,9.90,A. Collins RB - BAL ,13.40,S. Gostkowski K - NE ,4.00,Redskins DEF ,7.00,Z. Brown LB - WAS ,4.50,J. Jones WR - ATL ,9.60,L. Fitzgerald WR - ARI ,0.90,T. Riddick RB - DET ,3.60,T. Lockett WR - SEA ,14.20,P. Barber RB - TB ,4.30,K. Cole WR - JAX ,4.00,119.30,Kevin,144.12
Aaron,3,T. Brady QB - NE ,7.52,T. Gurley RB - LA ,19.60,C. McCaffrey RB - CAR ,19.40,M. Evans WR - TB ,19.70,A. Cooper WR - DAL ,1.70,K. Rudolph TE - MIN ,11.80,N. Agholor WR - PHI ,2.40,M. Crosby K - GB ,5.00,Vikings DEF ,3.00,V. Miller LB - DEN ,2.00,B. Bortles QB - JAX ,8.90,B. Cooks WR - LA ,9.00,J. Brown WR - BAL ,8.60,J. Allen RB - BAL ,14.60,R. Anderson WR - NYJ ,2.20,R. Freeman RB - DEN ,11.80,92.12,Adam,74.34
Kevin,10,A. Rodgers QB - GB ,19.90,M. Lynch RB - LV ,15.60,L. Murray RB - MIN ,3.10,A. Green WR - CIN ,5.80,J. Smith-Schuster WR - PIT ,11.60,J. Cook TE - LV ,3.10,L. Miller RB - HOU ,9.10,W. Lutz K - NO ,13.00,Eagles DEF ,3.00,K. Alexander LB - TB ,6.50,J. Graham TE - GB ,4.50,T. Ginn WR - NO ,9.20,D. Baldwin WR - SEA ,0.00,L. Bell RB - PIT ,0.00,D. Johnson RB - CLE ,3.30,J. Goff QB - LA ,25.56,90.70,Liam,136.36
Todd,8,D. Brees QB - NO ,42.54,K. Hunt RB ,16.40,C. Clement RB - PHI ,11.50,E. Sanders WR - DEN ,13.30,D. Hopkins WR - HOU ,8.60,J. James TE - PIT ,0.70,A. Robinson WR - CHI ,5.00,D. Bailey K - MIN ,0.00,Jaguars DEF ,7.00,J. Watt DL - HOU ,14.00,M. Crabtree WR - BAL ,6.10,B. Powell RB - NYJ ,7.30,R. Cobb WR - GB ,1.20,J. Garoppolo QB - SF ,24.34,J. Mixon RB - CIN ,0.00,J. Williams RB - GB ,4.50,119.04,Jackson ,112.04
Jackson ,1,R. Fitzpatrick QB - TB ,25.14,G. Bernard RB - CIN ,14.60,D. Johnson RB - ARI ,14.10,A. Thielen WR - MIN ,10.50,D. Adams WR - GB ,11.20,J. Reed TE - WAS ,6.50,L. McCoy RB - BUF ,0.00,J. Lambo K - JAX ,6.00,Bears DEF ,13.00,K. Mack LB - CHI ,11.00,G. Olsen TE - CAR ,0.00,C. Thompson RB - WAS ,1.70,J. White RB - NE ,11.10,C. Wentz QB - PHI ,14.20,C. Davis WR - TEN ,3.40,E. Engram TE - NYG ,1.90,112.04,Todd,119.04
Kevin,6,B. Roethlisberger QB - PIT ,24.02,A. Peterson RB - WAS ,24.00,S. Barkley RB - NYG ,17.70,T. Hilton WR - IND ,5.00,R. Woods WR - LA ,23.70,Z. Ertz TE - PHI ,7.30,C. Carson RB - SEA ,18.40,R. Gould K - SF ,7.00,Giants DEF ,7.00,T. Smith LB - JAX ,10.00,M. Ryan QB - ATL ,40.16,J. Gordon WR - NE ,0.00,M. Goodwin WR - SF ,8.80,D. Freeman RB - ATL ,0.00,J. Ajayi RB - PHI ,0.00,N. Chubb RB - CLE ,0.60,144.12,Oliver,119.30
