Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,8,P. Mahomes QB - KC ,36.82,T. Coleman RB - ATL ,14.20,N. Chubb RB - CLE ,14.00,O. Beckham WR - NYG ,20.20,S. Diggs WR - MIN ,4.60,T. Kelce TE - KC ,9.50,J. Landry WR - CLE ,15.70,H. Butker K - KC ,9.00,Rams DEF ,21.00,D. Leonard LB - IND ,16.50,D. Martin RB - LV ,0.00,C. Hyde RB - JAX ,0.00,W. Fuller WR - HOU ,6.80,O. Howard TE - TB ,6.70,L. Fournette RB - JAX ,0.00,T. Cohen RB - CHI ,14.30,161.52,Kevin,111.06
Liam WHYTE,4,E. Manning QB - NYG ,20.66,L. McCoy RB - BUF ,0.10,M. Breida RB - SF ,-0.50,A. Jeffery WR - PHI ,14.80,T. Hill WR - KC ,13.60,A. Hooper TE - ATL ,4.80,M. Mack RB - IND ,29.90,K. Fairbairn K - HOU ,8.00,Ravens DEF ,3.00,K. Alonso LB - MIA ,6.50,R. Gronkowski TE - NE ,0.00,C. Newton QB - CAR ,25.66,M. Jones WR - DET ,2.90,J. Conner RB - PIT ,0.00,D. Cook RB - MIN ,0.00,K. Coutee WR - HOU ,0.30,100.86,Adam,83.74
Adam,2,K. Cousins QB - MIN ,17.54,T. Yeldon RB - JAX ,14.80,A. Ekeler RB - LAC ,6.80,M. Goodwin WR - SF ,2.40,M. Thomas WR - NO ,12.90,J. Reed TE - WAS ,4.30,S. Michel RB - NE ,2.50,J. Myers K - NYJ ,7.00,Vikings DEF ,12.00,L. Vander Esch LB - DAL ,3.50,M. Ingram RB - NO ,4.20,A. Brown WR - PIT ,0.00,J. Winston QB - TB ,24.10,D. Funchess WR - CAR ,12.20,M. Gordon RB - LAC ,0.00,B. Martinez LB - GB ,0.00,83.74,Liam WHYTE,100.86
Steven,9,P. Rivers QB - LAC ,20.14,F. Gore RB - MIA ,3.30,E. Elliott RB - DAL ,4.20,D. Thomas WR - HOU ,4.20,K. Allen WR - LAC ,7.20,E. Ebron TE - IND ,3.10,K. Drake RB - MIA ,14.70,J. Tucker K - BAL ,5.00,Broncos DEF ,32.00,L. Kuechly LB - CAR ,14.00,R. Wilson QB - SEA ,0.00,K. Stills WR - MIA ,6.50,J. Howard RB - CHI ,10.80,C. Kupp WR - LA ,0.00,K. Johnson RB - DET ,17.90,D. Davis LB - NO ,6.50,107.84,Jackson ,109.20
Oliver,5,D. Watson QB - HOU ,12.86,A. Kamara RB - NO ,13.50,P. Lindsay RB - DEN ,15.60,A. Thielen WR - MIN ,17.00,C. Ridley WR - ATL ,4.30,G. Kittle TE - SF ,15.80,K. Golladay WR - DET ,3.70,S. Gostkowski K - NE ,8.00,Jets DEF ,-3.00,C. Littleton LB - LA ,17.00,J. Nelson WR - LV ,0.00,M. Crabtree WR - BAL ,6.60,M. Sanu WR - ATL ,2.10,C. Thompson RB - WAS ,0.00,T. Lockett WR - SEA ,0.00,-,-,104.76,Aaron,119.28
Aaron,7,T. Brady QB - NE ,21.68,T. Gurley RB - LA ,26.60,C. McCaffrey RB - CAR ,8.00,B. Cooks WR - LA ,13.10,A. Wilson WR - MIA ,3.60,K. Rudolph TE - MIN ,1.60,M. Evans WR - TB ,10.70,R. Succop K - TEN ,7.00,Texans DEF ,14.00,V. Miller LB - DEN ,13.00,A. Luck QB - IND ,22.74,J. Brown WR - BAL ,19.40,A. Cooper WR - DAL ,0.00,N. Agholor WR - PHI ,2.00,W. Smallwood RB - PHI ,3.70,R. Freeman RB - DEN ,9.70,119.28,Oliver,104.76
Kevin,10,J. Goff QB - LA ,18.48,L. Miller RB - HOU ,15.90,A. Collins RB - BAL ,4.80,J. Edelman WR - NE ,11.60,A. Green WR - CIN ,11.70,D. Njoku TE - CLE ,11.20,J. White RB - NE ,21.70,W. Lutz K - NO ,6.00,Eagles DEF ,2.00,K. Alexander LB - TB ,7.00,J. Graham TE - GB ,0.00,A. Rodgers QB - GB ,0.00,D. Baldwin WR - SEA ,0.00,D. Foreman RB - HOU ,0.00,J. Smith-Schuster WR - PIT ,0.00,K. Mack LB - CHI ,1.00,110.38,Todd,126.60
Todd,6,D. Brees QB - NO ,18.78,K. Hunt RB ,32.10,J. Mixon RB - CIN ,5.10,D. Hopkins WR - HOU ,11.00,T. Boyd WR - CIN ,2.70,T. Burton TE - CHI ,18.60,E. Sanders WR - DEN ,21.32,D. Bailey K - MIN ,13.00,Jaguars DEF ,2.00,J. Watt DL - HOU ,2.00,M. Stafford QB - DET ,17.58,A. Dalton QB - CIN ,9.92,A. Robinson WR - CHI ,0.40,I. Crowell RB - NYJ ,5.00,C. Uzomah TE - CIN ,7.30,J. Williams RB - GB ,0.00,126.60,Kevin,110.38
Jackson ,1,C. Wentz QB - PHI ,23.70,D. Johnson RB - ARI ,7.00,C. Clement RB - PHI ,2.20,G. Tate WR - PHI ,8.60,J. Jones WR - ATL ,8.40,G. Olsen TE - CAR ,6.50,L. Murray RB - MIN ,20.30,C. Parkey K - CHI ,7.00,Colts DEF ,19.00,B. Baker DB - ARI ,6.50,D. Jackson WR - TB ,9.30,G. Bernard RB - CIN ,0.00,L. Bell RB - PIT ,0.00,D. Adams WR - GB ,0.00,P. Barber RB - TB ,3.00,Bears DEF ,3.00,109.20,Steven,107.84
Kevin,3,M. Ryan QB - ATL ,19.26,B. Powell RB - NYJ ,2.50,S. Barkley RB - NYG ,17.40,T. Hilton WR - IND ,14.50,R. Woods WR - LA ,8.40,Z. Ertz TE - PHI ,13.80,A. Peterson RB - WAS ,10.70,C. Sturgis K ,0.00,Patriots DEF ,17.00,T. Smith LB - JAX ,7.50,B. Roethlisberger QB - PIT ,0.00,J. Gordon WR - NE ,10.00,S. Watkins WR - KC ,8.40,D. Freeman RB - ATL ,0.00,S. Shepard WR - NYG ,16.70,C. Carson RB - SEA ,0.00,111.06,Liam,161.52
