Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,10,K. Murray QB - ARI ,13.32,P. Lindsay RB - DEN ,6.20,K. Ballage RB - MIA ,0.00,W. Fuller WR - HOU ,0.80,D. Samuel WR - SF ,12.10,G. Kittle TE - SF ,1.40,S. Watkins WR - KC ,0.00,J. Lambo K - JAX ,5.00,Jaguars DEF ,6.00,L. David LB - TB ,7.00,M. Ryan QB - ATL ,18.58,D. Johnson RB - ARI ,2.40,A. Hooper TE - ATL ,0.00,M. Mack RB - IND ,0.00,J. Smith-Schuster WR - PIT ,0.00,N. Hines RB - IND ,11.00,51.82,Jackson ,90.86
Liam WHYTE,4,C. Wentz QB - PHI ,26.40,D. Cook RB - MIN ,10.40,S. Barkley RB - NYG ,11.50,D. Adams WR - GB ,18.40,D. Moore WR - CAR ,13.20,Z. Ertz TE - PHI ,2.40,J. Mixon RB - CIN ,13.00,H. Butker K - KC ,10.00,Packers DEF ,10.00,L. Kuechly LB - CAR ,6.00,D. Parker WR - MIA ,27.90,T. Boyd WR - CIN ,11.90,C. Samuel WR - CAR ,12.50,D. Jones QB - NYG ,8.20,M. Prater K - DET ,8.00,49ers DEF ,4.00,121.30,Todd,109.98
Adam,5,L. Jackson QB - BAL ,22.30,J. Williams RB - IND ,2.50,K. Drake RB - ARI ,5.10,A. Robinson WR - CHI ,14.60,C. Godwin WR - TB ,5.00,J. Doyle TE - IND ,13.30,S. Diggs WR - MIN ,6.20,M. Badgley K - LAC ,8.00,Eagles DEF ,1.00,D. White LB - TB ,20.50,G. Olsen TE - CAR ,2.20,D. Hopkins WR - HOU ,10.64,A. Ekeler RB - LAC ,12.70,B. Scarbrough RB - DET ,8.30,M. Brown WR - BAL ,0.10,Ravens DEF ,5.00,98.50,Kevin,113.52
Steven,9,J. Winston QB - TB ,10.72,M. Gordon RB - LAC ,11.00,E. Elliott RB - DAL ,15.70,T. Hill WR - KC ,5.10,C. Kupp WR - LA ,12.50,M. Gesicki TE - MIA ,13.90,J. Landry WR - CLE ,7.60,J. Sanders K - MIA ,13.10,Vikings DEF ,8.00,R. Smith LB - CHI ,18.00,E. Sanders WR - SF ,4.10,G. Tate WR - NYG ,0.00,K. Allen WR - LAC ,12.80,C. Hyde RB - HOU ,2.20,T. Coleman RB - SF ,1.50,E. Engram TE - NYG ,0.00,115.62,Oliver,106.50
Oliver,7,D. Prescott QB - DAL ,22.70,L. McCoy RB - KC ,9.00,D. Henry RB - TEN ,20.60,J. Edelman WR - NE ,15.90,T. Lockett WR - SEA ,0.00,J. Cook TE - NO ,8.50,R. Cobb WR - DAL ,5.30,G. Zuerlein K - LA ,10.00,Bears DEF ,5.00,C. Littleton LB - LA ,9.50,J. Brissett QB - IND ,12.66,K. Hunt RB - CLE ,12.50,T. Cohen RB - CHI ,3.50,A. Tate WR - CIN ,6.60,T. Pollard RB - DAL ,1.70,H. Renfrow WR - LV ,0.00,106.50,Steven,115.62
Aaron,2,P. Mahomes QB - KC ,19.50,C. McCaffrey RB - CAR ,10.20,D. Singletary RB - BUF ,16.10,C. Ridley WR - ATL ,9.10,D. Metcalf WR - SEA ,5.50,J. Hollister TE - SEA ,4.40,M. Ingram RB - BAL ,6.20,Z. Gonzalez K - ARI ,1.00,Steelers DEF ,13.00,J. Schobert LB - CLE ,5.00,A. Thielen WR - MIN ,0.00,O. Beckham WR - CLE ,2.90,J. Crowder WR - NYJ ,0.80,J. Howard RB - PHI ,0.00,M. Gallup WR - DAL ,6.30,B. Mayfield QB - CLE ,8.04,90.00,Kevin,92.30
Kevin,6,R. Wilson QB - SEA ,16.90,A. Kamara RB - NO ,8.40,A. Jones RB - GB ,3.10,R. Woods WR - LA ,17.20,M. Evans WR - TB ,5.30,M. Andrews TE - BAL ,11.00,D. Freeman RB - ATL ,7.40,J. Tucker K - BAL ,8.00,Panthers DEF ,4.00,B. Baker DB - ARI ,11.00,A. Green WR - CIN ,0.00,J. Goff QB - LA ,24.96,K. Golladay WR - DET ,21.80,J. Williams RB - GB ,7.20,M. Breida RB - SF ,0.00,B. Martinez LB - GB ,8.50,92.30,Aaron,90.00
Todd,3,D. Watson QB - HOU ,27.86,T. Gurley RB - LA ,17.50,C. Carson RB - SEA ,16.90,J. Brown WR - BUF ,7.72,D. Chark WR - JAX ,4.70,T. Kelce TE - KC ,9.00,R. Jones RB - TB ,0.80,W. Lutz K - NO ,14.00,Jets DEF ,2.00,B. Wagner LB - SEA ,9.50,K. Cousins QB - MIN ,17.04,A. Cooper WR - DAL ,8.50,J. Conner RB - PIT ,0.00,T. McLaurin WR - WAS ,0.80,B. Snell RB - PIT ,12.70,Rams DEF ,18.00,109.98,Liam WHYTE,121.30
Jackson ,1,D. Brees QB - NO ,11.26,L. Bell RB - NYJ ,6.70,L. Fournette RB - JAX ,9.60,S. Shepard WR - NYG ,10.00,M. Thomas WR - NO ,4.80,D. Waller TE - LV ,10.00,M. Sanders RB - PHI ,16.50,M. Crosby K - GB ,7.00,Patriots DEF ,2.00,D. Leonard LB - IND ,13.00,T. Hilton WR - IND ,0.00,M. Jones WR - DET ,10.00,L. Murray RB - NO ,0.20,J. White RB - NE ,29.70,R. Freeman RB - DEN ,2.40,S. Michel RB - NE ,4.50,90.86,Liam,51.82
Kevin,8,A. Rodgers QB - GB ,28.12,N. Chubb RB - CLE ,7.90,J. Jacobs RB - LV ,12.40,J. Jones WR - ATL ,0.00,C. Sutton WR - DEN ,20.40,H. Henry TE - LAC ,1.00,D. Montgomery RB - CHI ,14.70,D. Carlson K - LV ,3.00,Saints DEF ,16.00,J. Smith LB - DAL ,10.00,A. Jeffery WR - PHI ,19.70,D. Williams RB - KC ,0.00,T. Williams WR - LV ,0.90,O. Howard TE - TB ,6.10,J. Allen QB - BUF ,25.54,J. Myers K - SEA ,13.00,113.52,Adam,98.50
