Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,10,K. Murray QB - ARI ,11.96,M. Mack RB - IND ,9.80,P. Lindsay RB - DEN ,12.50,S. Watkins WR - KC ,5.00,D. Samuel WR - SF ,10.90,G. Kittle TE - SF ,13.70,P. Laird RB - MIA ,10.60,J. Lambo K - JAX ,4.00,Jaguars DEF ,-3.00,L. David LB - TB ,4.50,M. Ryan QB - ATL ,21.32,D. Johnson RB - ARI ,11.30,R. Mostert RB - SF ,22.90,W. Fuller WR - HOU ,0.00,A. Hooper TE - ATL ,3.20,J. Smith-Schuster WR - PIT ,0.00,79.96,Kevin,95.60
Liam WHYTE,2,C. Wentz QB - PHI ,21.90,D. Cook RB - MIN ,13.50,S. Barkley RB - NYG ,8.70,D. Adams WR - GB ,4.10,D. Moore WR - CAR ,8.10,Z. Ertz TE - PHI ,21.10,D. Parker WR - MIA ,2.80,H. Butker K - KC ,11.00,Packers DEF ,7.00,L. Kuechly LB - CAR ,10.50,T. Boyd WR - CIN ,8.20,J. Mixon RB - CIN ,24.60,S. Darnold QB - NYJ ,17.10,D. Jones QB - NYG ,0.00,G. Minshew QB - JAX ,13.58,49ers DEF ,-2.00,108.70,Oliver,105.34
Adam,5,L. Jackson QB - BAL ,19.80,K. Drake RB - ARI ,6.70,A. Ekeler RB - LAC ,27.30,D. Hopkins WR - HOU ,19.20,C. Godwin WR - TB ,11.10,J. Doyle TE - IND ,2.70,A. Robinson WR - CHI ,16.80,K. Fairbairn K - HOU ,8.50,Eagles DEF ,3.00,D. White LB - TB ,6.50,G. Olsen TE - CAR ,0.00,D. Johnson RB - HOU ,4.50,S. Diggs WR - MIN ,9.20,B. Scarbrough RB - DET ,7.00,A. Mattison RB - MIN ,6.40,Ravens DEF ,9.00,121.60,Aaron,93.72
Steven,7,J. Winston QB - TB ,34.74,M. Gordon RB - LAC ,14.40,E. Elliott RB - DAL ,21.30,T. Hill WR - KC ,7.00,C. Kupp WR - LA ,10.50,M. Gesicki TE - MIA ,0.60,J. Landry WR - CLE ,7.60,J. Sanders K - MIA ,23.00,Vikings DEF ,13.00,R. Smith LB - CHI ,1.50,E. Sanders WR - SF ,27.10,G. Tate WR - NYG ,1.10,K. Allen WR - LAC ,8.30,C. Hyde RB - HOU ,7.80,T. Coleman RB - SF ,0.60,E. Engram TE - NYG ,0.00,133.64,Todd,112.98
Oliver,8,R. Tannehill QB - TEN ,28.54,D. Henry RB - TEN ,22.90,D. Guice RB - WAS ,4.20,J. Edelman WR - NE ,16.30,T. Lockett WR - SEA ,4.30,R. Griffin TE - NYJ ,0.80,K. Hunt RB - CLE ,12.80,G. Zuerlein K - LA ,4.00,Bears DEF ,2.00,C. Littleton LB - LA ,9.50,J. Cook TE - NO ,18.40,L. McCoy RB - KC ,4.30,R. Cobb WR - DAL ,4.30,D. Prescott QB - DAL ,17.46,M. Williams WR - LAC ,12.30,R. Penny RB - SEA ,1.60,105.34,Liam WHYTE,108.70
Aaron,3,P. Mahomes QB - KC ,13.92,M. Ingram RB - BAL ,7.90,C. McCaffrey RB - CAR ,13.50,J. Crowder WR - NYJ ,2.90,C. Ridley WR - ATL ,13.60,K. Rudolph TE - MIN ,1.10,D. Singletary RB - BUF ,11.80,Z. Gonzalez K - ARI ,5.00,Steelers DEF ,18.00,J. Schobert LB - CLE ,6.00,A. Thielen WR - MIN ,0.00,O. Beckham WR - CLE ,3.90,J. Howard RB - PHI ,0.00,M. Gallup WR - DAL ,10.90,B. Mayfield QB - CLE ,10.98,D. Metcalf WR - SEA ,7.80,93.72,Adam,121.60
Kevin,6,R. Wilson QB - SEA ,12.60,A. Kamara RB - NO ,2.30,A. Jones RB - GB ,25.20,M. Evans WR - TB ,12.10,K. Golladay WR - DET ,12.80,M. Andrews TE - BAL ,1.40,R. Woods WR - LA ,18.70,J. Tucker K - BAL ,6.00,Panthers DEF ,-3.00,B. Baker DB - ARI ,7.50,A. Green WR - CIN ,0.00,D. Freeman RB - ATL ,15.40,J. Goff QB - LA ,16.12,J. Williams RB - GB ,2.40,M. Breida RB - SF ,5.80,B. Martinez LB - GB ,9.00,95.60,Liam,79.96
Todd,4,D. Watson QB - HOU ,28.08,T. Gurley RB - LA ,17.30,C. Carson RB - SEA ,9.10,J. Brown WR - BUF ,2.60,A. Cooper WR - DAL ,14.30,T. Kelce TE - KC ,11.00,B. Snell RB - PIT ,2.10,W. Lutz K - NO ,12.00,Jets DEF ,4.00,B. Wagner LB - SEA ,12.50,K. Cousins QB - MIN ,13.58,J. Conner RB - PIT ,0.00,R. Jones RB - TB ,6.90,D. Chark WR - JAX ,7.50,T. McLaurin WR - WAS ,13.70,Rams DEF ,14.00,112.98,Steven,133.64
Jackson ,1,D. Brees QB - NO ,40.06,L. Fournette RB - JAX ,6.30,M. Sanders RB - PHI ,6.90,M. Jones WR - DET ,3.80,M. Thomas WR - NO ,19.40,D. Waller TE - LV ,5.20,B. Powell RB - NYJ ,11.80,M. Crosby K - GB ,8.00,Patriots DEF ,5.00,D. Leonard LB - IND ,22.50,T. Hilton WR - IND ,0.00,L. Bell RB - NYJ ,0.00,J. White RB - NE ,8.40,S. Shepard WR - NYG ,3.60,R. Freeman RB - DEN ,9.20,S. Michel RB - NE ,0.90,128.96,Kevin,68.10
Kevin,9,A. Rodgers QB - GB ,11.40,N. Chubb RB - CLE ,11.70,J. Jacobs RB - LV ,0.00,J. Jones WR - ATL ,6.60,C. Sutton WR - DEN ,3.40,H. Henry TE - LAC ,11.90,D. Montgomery RB - CHI ,6.60,D. Carlson K - LV ,3.00,Saints DEF ,1.00,J. Smith LB - DAL ,12.50,A. Jeffery WR - PHI ,0.00,D. Williams RB - KC ,0.00,T. Williams WR - LV ,3.50,O. Howard TE - TB ,7.30,J. Allen QB - BUF ,10.74,J. Myers K - SEA ,6.00,68.10,Jackson ,128.96
