Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,10,B. Mayfield QB - CLE ,15.00,M. Mack RB - IND ,6.30,M. Breida RB - SF ,13.20,W. Fuller WR - HOU ,4.00,J. Smith-Schuster WR - PIT ,8.40,G. Kittle TE - SF ,6.40,D. Johnson RB - ARI ,7.40,J. Elliott K - PHI ,6.00,Panthers DEF ,6.00,D. Leonard LB - IND ,10.50,A. Green WR - CIN ,0.00,C. Hyde RB - HOU ,9.00,D. Westbrook WR - JAX ,0.30,T. Cohen RB - CHI ,2.50,P. Lindsay RB - DEN ,6.60,T. Hockenson TE - DET ,0.70,83.20,Liam WHYTE,137.24
Liam WHYTE,1,C. Wentz QB - PHI ,17.54,D. Henry RB - TEN ,15.40,S. Barkley RB - NYG ,19.50,T. Hilton WR - IND ,11.30,T. Boyd WR - CIN ,12.20,Z. Ertz TE - PHI ,9.20,D. Cook RB - MIN ,25.10,H. Butker K - KC ,4.00,Bills DEF ,6.00,L. Kuechly LB - CAR ,17.00,D. Jackson WR - PHI ,0.00,D. Johnson RB - HOU ,3.10,A. Miller WR - CHI ,0.20,D. Moore WR - CAR ,8.90,M. Valdes-Scantling WR - GB ,1.90,D. Goedert TE - PHI ,0.00,137.24,Liam,83.20
Adam,4,L. Jackson QB - BAL ,30.88,L. Fournette RB - JAX ,8.70,A. Ekeler RB - LAC ,17.30,D. Hopkins WR - HOU ,4.00,M. Brown WR - BAL ,8.60,D. Walker TE - TEN ,3.90,D. Williams RB - KC ,5.60,R. Gould K - SF ,11.00,Ravens DEF ,4.00,J. Hicks LB - ARI ,10.50,J. Gordon WR - SEA ,1.90,V. McDonald TE - PIT ,15.80,S. Diggs WR - MIN ,8.90,M. Williams WR - LAC ,8.30,I. Smith RB - ATL ,4.50,R. Penny RB - SEA ,12.50,104.48,Aaron,107.02
Steven,5,M. Ryan QB - ATL ,19.10,D. Sproles RB - PHI ,0.50,E. Elliott RB - DAL ,18.00,E. Sanders WR - SF ,18.80,K. Allen WR - LAC ,9.80,G. Olsen TE - CAR ,11.00,C. Kupp WR - LA ,12.60,J. Sanders K - MIA ,0.00,Vikings DEF ,6.00,D. Jones LB - ATL ,7.00,M. Jones WR - DET ,5.30,J. Landry WR - CLE ,3.20,T. Coleman RB - SF ,0.00,M. Gordon RB - LAC ,0.00,T. Hill WR - KC ,0.00,K. Murray QB - ARI ,18.36,102.80,Todd,100.56
Oliver,8,D. Prescott QB - DAL ,27.66,D. Freeman RB - ATL ,6.40,J. Mixon RB - CIN ,4.70,D. Adams WR - GB ,11.60,T. Lockett WR - SEA ,7.90,E. Engram TE - NYG ,4.80,B. Cooks WR - LA ,13.60,G. Zuerlein K - LA ,9.00,Bears DEF ,5.00,C. Littleton LB - LA ,8.50,L. McCoy RB - KC ,2.30,C. Newton QB - CAR ,11.32,L. Fitzgerald WR - ARI ,10.40,M. Brown RB - LA ,4.70,C. Samuel WR - CAR ,9.30,S. Michel RB - NE ,12.30,99.16,Kevin,115.02
Aaron,2,P. Mahomes QB - KC ,31.62,M. Ingram RB - BAL ,7.70,C. McCaffrey RB - CAR ,5.30,A. Thielen WR - MIN ,7.50,O. Beckham WR - CLE ,22.10,O. Howard TE - TB ,0.00,M. Gallup WR - DAL ,6.80,B. Maher K ,7.00,Titans DEF ,8.00,R. Smith LB - CHI ,11.00,A. Robinson WR - CHI ,4.10,J. Howard RB - PHI ,2.60,C. Ridley WR - ATL ,16.50,J. Washington WR - PIT ,2.30,M. Sanders RB - PHI ,3.70,D. Singletary RB - BUF ,11.70,107.02,Adam,104.48
Kevin,6,J. Goff QB - LA ,19.12,A. Kamara RB - NO ,6.00,A. Jones RB - GB ,21.00,S. Watkins WR - KC ,4.90,M. Evans WR - TB ,6.10,M. Andrews TE - BAL ,19.20,R. Woods WR - LA ,4.20,J. Tucker K - BAL ,13.00,Packers DEF ,10.00,B. Martinez LB - GB ,11.50,R. Wilson QB - SEA ,24.20,J. White RB - NE ,8.90,K. Drake RB - ARI ,4.80,S. Shepard WR - NYG ,0.00,D. Njoku TE - CLE ,0.00,K. Golladay WR - DET ,18.70,115.02,Oliver,99.16
Todd,7,D. Watson QB - HOU ,14.86,T. Gurley RB - LA ,12.70,C. Carson RB - SEA ,6.70,J. Brown WR - BUF ,7.20,A. Cooper WR - DAL ,10.40,T. Kelce TE - KC ,16.70,J. Conner RB - PIT ,10.50,K. Fairbairn K - HOU ,7.00,Rams DEF ,8.00,B. Wagner LB - SEA ,6.50,T. Brady QB - NE ,24.66,T. Ginn WR - NO ,0.00,R. Burkhead RB - NE ,6.80,R. Anderson WR - NYJ ,8.10,C. Kirk WR - ARI ,11.40,C. Sutton WR - DEN ,4.00,100.56,Steven,102.80
Jackson ,3,P. Rivers QB - LAC ,10.92,A. Peterson RB - WAS ,9.20,K. Johnson RB - DET ,14.80,J. Edelman WR - NE ,5.20,M. Thomas WR - NO ,8.90,D. Waller TE - LV ,6.30,L. Bell RB - NYJ ,10.90,W. Lutz K - NO ,11.00,Patriots DEF ,37.00,L. Vander Esch LB - DAL ,4.00,L. Murray RB - NO ,2.30,P. Barber RB - TB ,14.90,C. Godwin WR - TB ,18.10,R. Freeman RB - DEN ,10.20,J. Jackson RB - LAC ,6.40,Cowboys DEF ,1.00,118.22,Kevin,87.62
Kevin,9,D. Brees QB - NO ,-0.48,N. Chubb RB - CLE ,16.80,J. Jacobs RB - LV ,9.90,J. Jones WR - ATL ,23.60,A. Jeffery WR - PHI ,0.00,J. Cook TE - NO ,3.50,D. Montgomery RB - CHI ,12.80,S. Gostkowski K - NE ,8.00,Steelers DEF ,7.00,T. Edmunds LB - BUF ,6.50,A. Rodgers QB - GB ,14.36,A. Brown WR ,12.10,T. Williams WR - LV ,10.60,K. Hunt RB - CLE ,0.00,D. Pettis WR - SF ,0.64,D. Henderson RB - LA ,0.00,87.62,Jackson ,118.22
