Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,7,B. Mayfield QB - CLE ,-2.00,D. Johnson RB - ARI ,15.60,P. Lindsay RB - DEN ,20.70,W. Fuller WR - HOU ,39.70,J. Smith-Schuster WR - PIT ,12.50,G. Kittle TE - SF ,14.80,M. Breida RB - SF ,24.90,J. Elliott K - PHI ,7.00,Panthers DEF ,14.00,J. Schobert LB - CLE ,11.50,A. Dalton QB - CIN ,20.98,A. Green WR - CIN ,0.00,A. Hooper TE - ATL ,7.60,M. Mack RB - IND ,14.80,N. Hines RB - IND ,4.50,M. Sanders RB - PHI ,6.40,158.70,Aaron,126.14
Liam WHYTE,1,C. Wentz QB - PHI ,14.06,D. Henry RB - TEN ,13.80,D. Cook RB - MIN ,21.80,T. Hilton WR - IND ,3.70,T. Boyd WR - CIN ,18.30,Z. Ertz TE - PHI ,11.70,D. Moore WR - CAR ,9.10,H. Butker K - KC ,7.00,49ers DEF ,19.00,L. Kuechly LB - CAR ,9.50,D. Jackson WR - PHI ,0.00,C. Samuel WR - CAR ,6.40,M. Valdes-Scantling WR - GB ,1.80,S. Barkley RB - NYG ,0.00,D. Goedert TE - PHI ,3.10,-,-,127.96,Jackson ,128.24
Adam,9,J. Winston QB - TB ,17.46,D. Williams RB - KC ,3.80,A. Ekeler RB - LAC ,7.30,D. Hopkins WR - HOU ,8.80,S. Diggs WR - MIN ,4.40,T. Eifert TE - CIN ,1.40,C. Godwin WR - TB ,24.50,R. Gould K - SF ,7.00,Eagles DEF ,35.00,J. Hicks LB - ARI ,6.00,D. Walker TE - TEN ,1.00,F. Gore RB - BUF ,6.90,P. Dorsett WR - NE ,0.00,P. Barber RB - TB ,9.10,L. Jackson QB - BAL ,13.44,M. Brown WR - BAL ,8.20,115.66,Kevin,81.12
Steven,3,K. Murray QB - ARI ,25.42,M. Gordon RB - LAC ,3.80,E. Elliott RB - DAL ,16.10,K. Allen WR - LAC ,1.80,C. Kupp WR - LA ,17.70,G. Olsen TE - CAR ,0.00,E. Sanders WR - SF ,0.90,S. Hauschka K - BUF ,2.00,Vikings DEF ,12.00,D. Jones LB - ATL ,8.50,M. Ryan QB - ATL ,31.90,M. Jones WR - DET ,0.00,J. Landry WR - CLE ,7.50,C. Hyde RB - HOU ,12.00,T. Coleman RB - SF ,17.70,T. Hill WR - KC ,0.00,88.22,Kevin,122.34
Oliver,8,D. Prescott QB - DAL ,23.22,L. McCoy RB - KC ,0.30,D. Freeman RB - ATL ,13.00,B. Cooks WR - LA ,5.60,T. Lockett WR - SEA ,10.30,E. Engram TE - NYG ,4.70,W. Gallman RB - NYG ,1.40,G. Zuerlein K - LA ,11.00,Bears DEF ,4.00,C. Littleton LB - LA ,5.00,L. Fitzgerald WR - ARI ,5.80,D. Adams WR - GB ,0.00,J. Mixon RB - CIN ,10.90,S. Michel RB - NE ,18.30,J. Wilson RB - SF ,0.00,-,-,78.52,Todd,174.24
Aaron,5,P. Mahomes QB - KC ,18.54,M. Ingram RB - BAL ,10.90,C. McCaffrey RB - CAR ,41.70,A. Thielen WR - MIN ,26.00,O. Beckham WR - CLE ,3.00,W. Dissly TE - SEA ,8.80,S. Shepard WR - NYG ,4.70,J. Slye K - CAR ,4.00,Titans DEF ,7.00,S. Barrett LB - TB ,1.50,R. Mostert RB - SF ,5.40,J. Howard RB - PHI ,12.20,R. Jones RB - TB ,5.60,C. Ridley WR - ATL ,14.80,D. Singletary RB - BUF ,0.00,-,-,126.14,Liam,158.70
Kevin,4,R. Wilson QB - SEA ,29.92,A. Kamara RB - NO ,10.92,A. Jones RB - GB ,42.20,S. Watkins WR - KC ,0.00,M. Evans WR - TB ,0.00,M. Andrews TE - BAL ,5.50,R. Woods WR - LA ,4.80,J. Tucker K - BAL ,14.00,Packers DEF ,9.00,B. Martinez LB - GB ,6.00,K. Drake RB - ARI ,0.00,J. Goff QB - LA ,17.90,D. Robinson WR - KC ,3.10,K. Golladay WR - DET ,0.00,J. Johnson DB - LA ,3.50,-,-,122.34,Steven,88.22
Todd,6,D. Watson QB - HOU ,45.74,T. Gurley RB - LA ,15.70,C. Carson RB - SEA ,18.30,A. Cooper WR - DAL ,28.60,D. Chark WR - JAX ,28.40,T. Kelce TE - KC ,8.00,J. Conner RB - PIT ,11.50,K. Fairbairn K - HOU ,13.00,Cowboys DEF ,1.00,B. Wagner LB - SEA ,4.00,T. Brady QB - NE ,23.92,R. Burkhead RB - NE ,0.00,J. Brown WR - BUF ,7.50,T. McLaurin WR - WAS ,5.10,D. Metcalf WR - SEA ,10.40,Rams DEF ,2.00,174.24,Oliver,78.52
Jackson ,2,J. Brissett QB - IND ,11.94,L. Bell RB - NYJ ,8.80,L. Fournette RB - JAX ,20.70,J. Edelman WR - NE ,17.00,M. Thomas WR - NO ,30.20,D. Waller TE - LV ,3.90,J. White RB - NE ,8.20,W. Lutz K - NO ,7.00,Patriots DEF ,14.00,L. Vander Esch LB - DAL ,6.50,D. Brees QB - NO ,0.00,A. Peterson RB - WAS ,1.80,J. Gordon WR - SEA ,5.90,M. Williams WR - LAC ,7.40,R. Freeman RB - DEN ,6.70,K. Johnson RB - DET ,0.00,128.24,Liam WHYTE,127.96
Kevin,10,A. Rodgers QB - GB ,9.42,N. Chubb RB - CLE ,9.90,D. Montgomery RB - CHI ,9.60,J. Jones WR - ATL ,4.20,A. Jeffery WR - PHI ,5.20,O. Howard TE - TB ,1.00,J. Jacobs RB - LV ,26.30,D. Carlson K - LV ,6.00,Saints DEF ,6.00,Z. Cunningham LB - HOU ,3.50,P. Rivers QB - LAC ,4.14,A. Brown WR ,0.00,T. Williams WR - LV ,0.00,K. Hunt RB - CLE ,0.00,C. Sutton WR - DEN ,15.20,M. Hardman WR - KC ,7.30,81.12,Adam,115.66
