Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,5,G. Minshew QB - JAX ,21.00,D. Johnson RB - ARI ,0.20,P. Lindsay RB - DEN ,3.20,W. Fuller WR - HOU ,0.60,A. Brown WR - TEN ,7.20,G. Kittle TE - SF ,3.80,M. Mack RB - IND ,5.60,Z. Gonzalez K - ARI ,9.00,Jaguars DEF ,17.00,J. Hicks LB - ARI ,10.50,A. Green WR - CIN ,0.00,A. Hooper TE - ATL ,10.60,J. Smith-Schuster WR - PIT ,0.00,M. Breida RB - SF ,3.60,B. Mayfield QB - CLE ,0.00,M. Sanders RB - PHI ,3.20,78.10,Steven,86.66
Liam WHYTE,3,C. Wentz QB - PHI ,6.84,D. Cook RB - MIN ,26.90,S. Barkley RB - NYG ,14.00,G. Tate WR - NYG ,8.00,T. Boyd WR - CIN ,4.50,Z. Ertz TE - PHI ,3.80,J. Mixon RB - CIN ,6.40,H. Butker K - KC ,12.00,49ers DEF ,15.00,L. Vander Esch LB - DAL ,3.00,D. Adams WR - GB ,0.00,C. Samuel WR - CAR ,0.00,D. Moore WR - CAR ,0.00,M. Valdes-Scantling WR - GB ,19.30,T. Hockenson TE - DET ,3.20,L. Kuechly LB - CAR ,0.00,100.44,Todd,100.92
Adam,8,L. Jackson QB - BAL ,23.32,F. Gore RB - BUF ,6.60,A. Ekeler RB - LAC ,18.50,D. Hopkins WR - HOU ,16.60,A. Robinson WR - CHI ,14.70,D. Fells TE - HOU ,2.70,S. Diggs WR - MIN ,14.30,R. Gould K - SF ,9.00,Bills DEF ,11.00,J. Collins LB - NE ,0.50,D. Walker TE - TEN ,0.00,D. Williams RB - KC ,0.60,P. Barber RB - TB ,0.00,C. Godwin WR - TB ,0.00,M. Brown WR - BAL ,0.00,Panthers DEF ,0.00,117.22,Kevin,115.06
Steven,4,K. Murray QB - ARI ,6.96,C. Hyde RB - HOU ,3.50,E. Elliott RB - DAL ,20.70,T. Hill WR - KC ,13.40,C. Kupp WR - LA ,5.00,G. Everett TE - LA ,11.00,K. Allen WR - LAC ,6.10,M. Crosby K - GB ,6.00,Vikings DEF ,3.00,D. Jones LB - ATL ,11.00,M. Ryan QB - ATL ,3.56,E. Sanders WR - SF ,6.00,G. Olsen TE - CAR ,0.00,J. Landry WR - CLE ,0.00,T. Coleman RB - SF ,6.10,M. Gordon RB - LAC ,8.90,86.66,Liam,78.10
Oliver,7,D. Prescott QB - DAL ,20.56,D. Freeman RB - ATL ,4.50,D. Henry RB - TEN ,16.80,T. Hilton WR - IND ,13.40,T. Lockett WR - SEA ,11.80,E. Engram TE - NYG ,0.60,S. Michel RB - NE ,21.40,G. Zuerlein K - LA ,15.00,Bears DEF ,6.00,C. Littleton LB - LA ,11.00,J. Cook TE - NO ,0.00,L. McCoy RB - KC ,7.60,L. Fitzgerald WR - ARI ,1.20,B. Cooks WR - LA ,5.90,W. Gallman RB - NYG ,0.00,Redskins DEF ,8.00,121.06,Aaron,67.04
Aaron,9,P. Mahomes QB - KC ,7.24,M. Ingram RB - BAL ,7.30,J. Howard RB - PHI ,5.60,A. Thielen WR - MIN ,8.50,M. Gallup WR - DAL ,3.40,J. Graham TE - GB ,12.50,C. Ridley WR - ATL ,3.00,M. Prater K - DET ,6.00,Texans DEF ,2.00,E. Kendricks LB - MIN ,11.50,M. Stafford QB - DET ,28.56,O. Beckham WR - CLE ,0.00,C. McCaffrey RB - CAR ,0.00,R. Jones RB - TB ,0.00,D. Singletary RB - BUF ,2.60,J. Slye K - CAR ,0.00,67.04,Oliver,121.06
Kevin,6,R. Wilson QB - SEA ,14.34,K. Drake RB - ARI ,5.80,A. Jones RB - GB ,14.30,R. Woods WR - LA ,8.60,K. Golladay WR - DET ,2.10,M. Andrews TE - BAL ,3.90,J. Williams RB - GB ,10.10,J. Tucker K - BAL ,12.00,Packers DEF ,4.00,B. Martinez LB - GB ,14.00,S. Watkins WR - KC ,0.00,M. Evans WR - TB ,0.00,J. Goff QB - LA ,25.02,D. Robinson WR - KC ,3.10,A. Kamara RB - NO ,0.00,A. Tate WR - CIN ,6.50,89.14,Jackson ,142.58
Todd,2,D. Watson QB - HOU ,15.52,T. Gurley RB - LA ,11.40,C. Carson RB - SEA ,7.40,J. Brown WR - BUF ,14.30,D. Chark WR - JAX ,7.30,T. Kelce TE - KC ,4.40,A. Cooper WR - DAL ,10.60,J. Lambo K - JAX ,13.00,Chargers DEF ,4.00,B. Wagner LB - SEA ,13.00,T. Brady QB - NE ,11.96,A. Peterson RB - WAS ,6.10,J. Conner RB - PIT ,0.00,T. McLaurin WR - WAS ,1.10,D. Metcalf WR - SEA ,3.30,Rams DEF ,21.00,100.92,Liam WHYTE,100.44
Jackson ,1,J. Allen QB - BUF ,21.28,L. Bell RB - NYJ ,7.60,L. Fournette RB - JAX ,16.50,J. Edelman WR - NE ,7.70,M. Thomas WR - NO ,13.10,D. Waller TE - LV ,24.60,K. Johnson RB - DET ,2.30,K. Fairbairn K - HOU ,11.00,Patriots DEF ,25.00,D. Leonard LB - IND ,13.50,D. Brees QB - NO ,0.00,J. Gordon WR - SEA ,0.00,L. Murray RB - NO ,27.00,J. White RB - NE ,5.90,M. Williams WR - LAC ,4.70,R. Freeman RB - DEN ,14.70,142.58,Kevin,89.14
Kevin,10,A. Rodgers QB - GB ,43.76,J. Jacobs RB - LV ,13.40,D. Montgomery RB - CHI ,0.90,J. Jones WR - ATL ,9.30,C. Sutton WR - DEN ,8.70,H. Henry TE - LAC ,9.70,A. Jeffery WR - PHI ,4.80,J. Myers K - SEA ,10.00,Saints DEF ,8.00,Z. Cunningham LB - HOU ,6.50,A. Brown WR ,0.00,T. Williams WR - LV ,0.00,O. Howard TE - TB ,0.00,K. Hunt RB - CLE ,0.00,N. Chubb RB - CLE ,0.00,M. Hardman WR - KC ,8.80,115.06,Adam,117.22
