Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,3,T. Tagovailoa QB - MIA Q ,3.84,D. Montgomery RB - DET ,3.50,J. Gibbs RB - DET ,23.40,M. Evans WR - TB ,27.90,D. Metcalf WR - PIT ,2.80,B. Bowers TE - LV ,3.50,R. Dowdle RB - CAR ,14.90,J. Bates K - DET ,6.00,Bills DEF ,1.00,N. Dean LB - PHI Q ,10.50,R. Mostert RB - LV ,2.10,A. Brown WR - PHI ,17.00,K. Pitts TE - ATL ,2.80,J. Fields QB - NYJ ,0.80,J. Addison WR - MIN ,6.30,Z. Charbonnet RB - SEA ,12.60,97.34,Jackson ,124.10
Liam WHYTE,7,K. Murray QB - ARI ,10.06,J. Cook RB - BUF ,25.30,T. Tracy RB - NYG ,3.50,C. Kupp WR - SEA ,0.00,J. Jefferson WR - MIN ,14.30,M. Andrews TE - BAL ,8.40,G. Wilson WR - NYJ ,11.60,J. Elliott K - PHI ,9.00,Cardinals DEF ,5.00,Z. Baun LB - PHI ,5.00,A. Ekeler RB - WAS ,0.00,G. Edwards RB - LAC ,2.30,J. Williams RB - DAL ,2.30,J. Williams WR - DET ,9.70,C. Watson WR - GB Q ,5.60,B. Nix QB - DEN ,13.50,92.16,Steven,82.00
Adam,9,J. Goff QB - DET ,41.06,R. White RB - TB ,12.10,I. Guerendo RB - SF Q ,7.50,J. Meyers WR - LV ,6.90,D. Samuel WR - WAS ,1.90,J. Smith TE - MIA ,10.80,K. Shakir WR - BUF ,9.90,C. York K - CIN ,7.00,Broncos DEF ,22.00,F. Oluokun LB - JAX ,4.50,K. Allen WR - CHI ,14.20,D. Moore WR - CHI ,7.00,P. Taylor RB - SF ,0.00,B. Hall RB - NYJ ,11.10,K. Walker RB - SEA Q ,0.00,S. LaPorta TE - DET ,11.10,123.66,Kevin,152.20
Steven,6,J. Herbert QB - LAC ,13.80,D. Henry RB - BAL ,6.70,A. Kamara RB - NO Q ,14.00,C. Sutton WR - DEN ,10.20,J. Chase WR - CIN ,10.40,T. Kraft TE - GB ,3.40,J. Waddle WR - MIA ,0.00,J. Sanders K - MIA ,8.00,49ers DEF ,4.00,Z. Franklin LB - IND ,11.50,T. Kelce TE - KC ,2.70,C. Ridley WR - TEN ,6.00,B. Thomas WR - JAX ,22.50,B. Aubrey K - DAL Q ,14.00,Lions DEF ,-4.00,T. Watt LB - PIT ,12.50,82.00,Liam WHYTE,92.16
Oliver,2,J. Burrow QB - CIN ,16.84,J. Jacobs RB - GB ,18.60,D. Achane RB - MIA ,8.60,T. Higgins WR - CIN ,14.80,C. Lamb WR - DAL ,17.60,D. Njoku TE - CLE Q ,0.00,M. Nabers WR - NYG ,14.20,C. Boswell K - PIT ,7.00,Seahawks DEF ,1.00,T. Moehrig DB - CAR ,2.50,Z. Ertz TE - WAS ,2.50,N. Chubb RB - CLE Q ,3.10,N. Westbrook-Ikhine WR - MIA ,1.90,S. McCormick RB - LV ,2.50,J. Downs WR - IND ,4.20,K. Miller RB - NO Q ,4.60,101.14,Todd,134.98
Aaron,8,B. Mayfield QB - TB ,28.02,J. Conner RB - ARI Q ,27.80,R. Stevenson RB - NE ,8.50,J. Jeudy WR - CLE ,10.80,M. Harrison WR - ARI ,3.20,H. Henry TE - NE Q ,2.50,A. Cooper WR - BUF ,0.00,T. Bass K - BUF ,14.00,Vikings DEF ,8.00,G. Pratt LB - CIN ,6.00,D. Mooney WR - ATL Q ,0.00,J. Love QB - GB ,17.56,T. Etienne RB - JAX ,8.50,N. Gray TE - KC ,8.10,D. Smith WR - PHI ,17.00,B. Irving RB - TB ,11.30,108.82,Kevin,85.86
Kevin,10,P. Mahomes QB - KC ,15.76,T. Pollard RB - TEN ,8.50,C. Hubbard RB - CAR ,4.90,T. Hill WR - MIA Q ,5.60,J. Jennings WR - SF ,3.10,G. Kittle TE - SF ,6.10,D. Swift RB - CHI ,8.90,C. Dicker K - LAC ,5.00,Packers DEF ,15.00,B. Branch DB - DET ,13.00,A. Mattison RB - MIA ,0.40,J. Ferguson TE - DAL ,2.30,G. Pickens WR - DAL ,0.00,T. Bigsby RB - JAX ,4.20,X. Worthy WR - KC ,13.60,N. Cross DB - IND ,7.50,85.86,Aaron,108.82
Todd,4,J. Allen QB - BUF ,41.28,A. Jones RB - MIN ,16.60,K. Williams RB - LAR ,11.20,T. McLaurin WR - WAS ,19.30,A. St. Brown WR - DET ,23.30,T. Hockenson TE - MIN ,5.20,N. Harris RB - LAC ,2.10,J. Tucker K - BAL ,5.00,Ravens DEF ,6.00,R. Smith LB - BAL ,5.00,A. Thielen WR - CAR ,5.10,M. Pittman WR - IND ,3.80,J. Warren RB - PIT ,1.50,Z. Flowers WR - BAL Q ,5.30,J. Daniels QB - WAS ,23.64,Texans DEF ,15.00,134.98,Oliver,101.14
Jackson ,1,L. Jackson QB - BAL ,37.10,J. Mixon RB - HOU ,5.60,S. Barkley RB - PHI ,7.40,N. Collins WR - HOU ,13.70,D. London WR - ATL ,11.30,C. Otton TE - TB ,3.40,J. Taylor RB - IND ,9.10,K. Fairbairn K - HOU ,8.00,Falcons DEF ,16.00,F. Warner LB - SF ,12.50,K. Hunt RB - KC ,4.90,I. Pacheco RB - KC ,4.70,B. Purdy QB - SF ,3.98,J. Smith-Njigba WR - SEA ,9.30,Y. Koo K - ATL Q ,7.00,Chargers DEF ,1.00,124.10,Liam,97.34
Kevin,5,J. Hurts QB - PHI ,28.10,B. Robinson RB - ATL ,13.50,C. Brown RB - CIN Q ,23.30,D. Adams WR - LAR ,33.80,P. Nacua WR - LAR ,10.80,T. McBride TE - ARI ,8.70,Q. Johnston WR - LAC ,11.50,J. Moody K - SF ,8.00,Steelers DEF ,7.00,D. Henley LB - LAC Q ,7.50,K. Cousins QB - ATL ,8.48,D. Hopkins WR - BAL ,3.60,J. Dobbins RB - LAC ,0.00,B. Robinson RB - WAS ,8.70,J. Reed WR - GB Q ,8.10,L. McConkey WR - LAC ,11.80,152.20,Adam,123.66
