Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,8,M. Stafford QB - LA IA ,13.24,D. Henry RB - BAL ,17.30,K. Gainwell RB - PHI ,1.70,D. Hopkins WR - TEN ,2.00,A. Brown WR - PHI Q ,13.10,D. Goedert TE - PHI ,4.20,D. Metcalf WR - SEA ,6.90,B. McManus K - WAS ,15.00,49ers DEF ,7.00,J. Hicks LB - CLE ,18.50,M. Evans WR - TB ,4.90,E. Engram TE - JAX ,4.10,J. Fields QB - PIT ,4.92,N. Harris RB - PIT ,0.00,J. Addison WR - MIN ,8.80,E. Demercado RB - ARI ,1.70,98.94,Kevin,112.08
Liam WHYTE,4,P. Mahomes QB - KC IA ,17.34,A. Kamara RB - NO IA ,10.40,A. Mattison RB - LV ,7.20,T. Hill WR - MIA ,22.30,D. Smith WR - PHI IA ,4.40,M. Andrews TE - BAL IR ,6.90,A. Cooper WR - CLE IA ,12.80,H. Butker K - KC ,17.00,Jets DEF ,11.00,F. Warner LB - SF ,8.00,M. Thomas WR - NO IR ,5.50,J. Conner RB - ARI ,0.00,D. Johnson WR - CAR ,0.00,K. Pitts TE - ATL ,11.30,J. Williams WR - DET IA ,11.30,T. Palmer WR - TB ,4.70,117.34,Adam,68.20
Adam,5,B. Purdy QB - SF IA ,9.70,D. Montgomery RB - DET ,5.30,T. Etienne RB - JAX ,20.30,S. Diggs WR - HOU ,10.00,G. Davis WR - JAX Q ,0.10,L. Thomas TE - WAS ,0.20,C. Ridley WR - TEN ,2.60,J. Elliott K - PHI ,2.00,Ravens DEF ,11.00,Z. Franklin LB - IND ,7.00,J. Goff QB - DET ,22.42,D. Schultz TE - HOU ,12.10,J. Jacobs RB - GB IA ,9.30,K. Osborn WR - NE ,4.80,J. Williams RB - DEN ,7.20,D. Achane RB - MIA ,0.00,68.20,Liam WHYTE,117.34
Steven,2,J. Burrow QB - CIN IR ,13.80,R. Mostert RB - MIA IA ,33.20,T. Pollard RB - TEN ,11.00,D. Samuel WR - SF ,1.10,J. Waddle WR - MIA IA ,11.10,G. Kittle TE - SF Q ,0.10,A. Thielen WR - CAR ,17.50,B. Aubrey K - DAL ,8.00,Dolphins DEF ,5.00,T. Edwards LB - CHI ,11.50,G. Smith QB - SEA ,11.04,Z. Ertz TE - WAS Q ,3.20,T. Lockett WR - SEA ,9.40,M. Breida RB - NYG ,1.30,C. Sutton WR - DEN Q ,10.60,A. Dillon RB - GB IA ,0.00,112.30,Kevin,105.32
Oliver,10,T. Lawrence QB - JAX ,14.74,A. Ekeler RB - WAS ,6.20,C. Hubbard RB - CAR ,15.00,K. Allen WR - CHI IA ,14.50,C. Kupp WR - LA IA ,20.80,T. Hockenson TE - MIN IR ,6.00,C. Kirk WR - JAX IA ,11.90,K. Fairbairn K - HOU ,8.00,Chiefs DEF ,14.00,J. Holland DB - MIA ,2.50,J. Wilson RB - MIA ,0.00,T. Allgeier RB - ATL ,5.10,J. Warren RB - PIT ,0.00,T. Spears RB - TEN ,7.30,J. McLaughlin RB - DEN Q ,4.20,B. Grupe K - NO ,7.00,113.64,Jackson ,95.36
Aaron,3,T. Tagovailoa QB - MIA ,22.48,K. Walker RB - SEA ,15.90,R. White RB - TB ,3.80,M. Brown WR - KC IR ,3.40,J. Chase WR - CIN ,9.00,T. Higbee TE - LA IA ,1.80,G. Wilson WR - NYJ Q ,9.00,J. Sanders K - MIA ,6.00,Eagles DEF ,6.00,R. Smith LB - BAL ,6.50,J. Hill RB - BAL ,3.50,M. Sanders RB - CAR ,0.00,G. Pickens WR - PIT ,0.00,Z. Flowers WR - BAL IA ,11.10,J. Gibbs RB - DET ,0.00,A. Richardson QB - IND IR ,0.00,83.88,Todd,99.00
Kevin,6,J. Herbert QB - LAC IR ,18.08,S. Barkley RB - PHI ,9.80,Z. Moss RB - CIN ,11.90,J. Meyers WR - LV ,12.10,C. Olave WR - NO ,9.60,S. LaPorta TE - DET Q ,3.60,B. Robinson RB - ATL ,8.00,J. Tucker K - BAL ,18.00,Bills DEF ,7.00,Q. Williams LB - NYJ ,14.00,D. Waller TE - NYG ,4.30,J. Love QB - GB ,0.00,M. Pittman WR - IND ,10.90,D. London WR - ATL ,12.50,J. Ford RB - CLE ,9.10,B. Wagner LB - WAS ,3.00,112.08,Liam,98.94
Todd,1,J. Hurts QB - PHI Q ,19.90,J. Mixon RB - HOU ,6.20,I. Pacheco RB - KC ,9.80,A. St. Brown WR - DET ,18.40,N. Collins WR - HOU ,11.00,J. Ferguson TE - DAL ,1.50,C. McCaffrey RB - SF IA ,11.20,T. Bass K - BUF ,2.00,Cowboys DEF ,4.00,F. Oluokun LB - JAX ,15.00,G. Edwards RB - LAC ,5.30,T. Higgins WR - CIN IA ,2.00,C. Watson WR - GB IA ,0.00,B. Robinson RB - WAS ,11.60,C. Stroud QB - HOU ,14.16,-,-,99.00,Aaron,83.88
Jackson ,7,J. Allen QB - BUF ,13.86,D. Swift RB - CHI IA ,9.80,B. Hall RB - NYJ ,15.30,D. Adams WR - LV ,2.90,D. Moore WR - CHI ,8.10,C. Kmet TE - CHI Q ,0.90,R. Stevenson RB - NE IR ,13.00,G. Joseph K - GB ,12.00,Falcons DEF ,5.00,B. Okereke LB - NYG ,14.50,K. Cousins QB - ATL IR ,8.74,D. Foreman RB - CLE IA ,6.70,C. Godwin WR - TB ,7.70,A. Jones RB - MIN ,0.00,C. Akers RB - MIN IR ,1.50,J. Jefferson WR - MIN ,0.00,95.36,Oliver,113.64
Kevin,9,L. Jackson QB - BAL IA ,17.12,J. Cook RB - BUF ,7.10,K. Williams RB - LA IA ,21.80,B. Aiyuk WR - SF ,7.60,P. Nacua WR - LA ,2.60,T. Kelce TE - KC IA ,12.40,C. Lamb WR - DAL ,11.70,R. Patterson K - JAX ,8.00,Commanders DEF ,10.00,T. Edmunds LB - CHI ,7.00,D. Prescott QB - DAL ,24.88,J. Williams RB - NO ,0.00,J. Jeudy WR - CLE ,2.40,J. Taylor RB - IND ,6.50,D. Pierce RB - HOU ,3.40,J. Reed WR - GB ,0.00,105.32,Steven,112.30
