Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,7,J. Fields QB - PIT ,10.66,D. Henry RB - BAL ,4.00,N. Harris RB - PIT ,6.50,A. Brown WR - PHI Q ,13.10,D. Metcalf WR - SEA ,12.20,E. Engram TE - JAX ,6.70,M. Evans WR - TB ,12.00,B. McManus K - WAS ,5.00,49ers DEF ,8.00,J. Hicks LB - CLE ,9.50,M. Stafford QB - LA IA ,11.46,D. Hopkins WR - TEN ,4.80,D. Goedert TE - PHI ,4.10,K. Gainwell RB - PHI ,4.80,J. Addison WR - MIN ,6.20,Z. Charbonnet RB - SEA ,5.00,87.66,Steven,129.04
Liam WHYTE,6,P. Mahomes QB - KC IA ,25.68,J. Conner RB - ARI ,17.60,A. Mattison RB - LV ,12.50,T. Hill WR - MIA ,21.70,D. Mooney WR - ATL IA ,0.00,M. Andrews TE - BAL IR ,3.50,D. Smith WR - PHI IA ,2.80,H. Butker K - KC ,11.00,Jets DEF ,4.00,M. Milano LB - BUF IR ,3.00,A. Cooper WR - CLE IA ,17.60,A. Kamara RB - NO IA ,0.00,D. Johnson WR - CAR ,0.00,J. Williams WR - DET IA ,0.00,T. Palmer WR - TB ,0.80,N. Suh DL ,0.00,101.78,Aaron,122.06
Adam,10,T. Lawrence QB - JAX ,14.36,J. Jacobs RB - GB IA ,8.00,T. Etienne RB - JAX ,13.80,S. Diggs WR - HOU ,11.10,C. Ridley WR - TEN ,4.00,D. Njoku TE - CLE ,2.00,J. Williams RB - DEN ,6.50,R. Patterson K - JAX ,8.00,Ravens DEF ,7.00,Z. Franklin LB - IND ,15.50,B. Cooks WR - DAL ,1.70,D. Prescott QB - DAL ,14.36,M. Thomas WR - NO IR ,5.00,M. Williams WR - NYJ IR ,18.10,D. Montgomery RB - DET ,0.00,G. Davis WR - JAX Q ,10.30,90.26,Oliver,101.22
Steven,3,G. Smith QB - SEA ,15.44,T. Pollard RB - TEN ,12.10,A. Dillon RB - GB IA ,3.30,T. Lockett WR - SEA ,5.40,D. Samuel WR - SF ,19.10,G. Kittle TE - SF Q ,9.00,R. Mostert RB - MIA IA ,38.20,Y. Koo K - ATL ,6.00,Dolphins DEF ,8.00,T. Edwards LB - CHI ,12.50,O. Beckham WR - BAL IA ,0.00,M. Breida RB - NYG ,8.80,C. Sutton WR - DEN Q ,11.10,J. Burrow QB - CIN IR ,8.16,J. Waddle WR - MIA IA ,0.00,Commanders DEF ,1.00,129.04,Liam,87.66
Oliver,8,D. Watson QB - CLE IR ,21.16,J. Kelley RB - LAC ,1.70,T. Allgeier RB - ATL ,2.90,K. Allen WR - CHI IA ,29.46,J. Reynolds WR - DEN ,0.00,T. Hockenson TE - MIN IR ,5.80,J. Warren RB - PIT ,5.20,J. Myers K - SEA ,17.00,Chiefs DEF ,11.00,T. Watt LB - PIT Q ,7.00,Z. Jones WR - JAX ,0.00,C. Kupp WR - LA IA ,0.00,A. Ekeler RB - WAS ,0.00,T. McLaurin WR - WAS ,4.10,T. Atwell WR - LA ,13.20,R. Johnson RB - CHI ,4.90,101.22,Adam,90.26
Aaron,4,T. Tagovailoa QB - MIA ,28.36,M. Sanders RB - CAR ,12.20,K. Walker RB - SEA ,27.60,G. Pickens WR - PIT ,7.50,Z. Flowers WR - BAL IA ,5.00,J. Johnson TE - NO ,1.20,J. Gibbs RB - DET ,8.20,J. Sanders K - MIA ,10.00,Eagles DEF ,12.00,R. Smith LB - BAL ,10.00,T. Jones RB - ARI ,5.20,J. Chase WR - CIN ,14.10,G. Wilson WR - NYJ Q ,4.80,R. White RB - TB ,5.20,R. Shaheed WR - NO ,6.00,A. Richardson QB - IND IR ,0.00,122.06,Liam WHYTE,101.78
Kevin,5,J. Herbert QB - LAC IR ,31.30,Z. Moss RB - CIN ,20.50,K. Miller RB - NO ,3.40,J. Meyers WR - LV ,8.50,C. Olave WR - NO ,10.40,D. Waller TE - NYG ,2.00,B. Robinson RB - ATL ,6.00,J. Tucker K - BAL ,7.00,Bills DEF ,32.00,B. Wagner LB - WAS ,4.00,S. Barkley RB - PHI ,0.00,J. Love QB - GB ,26.26,M. Pittman WR - IND ,9.70,D. London WR - ATL ,3.10,J. Ford RB - CLE ,17.10,S. LaPorta TE - DET Q ,14.40,125.10,Kevin,95.28
Todd,2,J. Hurts QB - PHI Q ,20.88,C. McCaffrey RB - SF IA ,17.90,B. Robinson RB - WAS ,7.00,T. Higgins WR - CIN IA ,2.10,A. St. Brown WR - DET ,11.60,H. Henry TE - NE IR ,1.70,J. Mixon RB - HOU ,13.00,T. Bass K - BUF ,15.00,Cowboys DEF ,1.00,F. Oluokun LB - JAX ,11.00,G. Edwards RB - LAC ,5.10,K. Herbert RB - CHI ,1.50,N. Collins WR - HOU ,3.40,P. Freiermuth TE - PIT ,10.10,C. Watson WR - GB IA ,0.00,I. Pacheco RB - KC ,13.80,101.18,Jackson ,115.72
Jackson ,1,J. Allen QB - BUF ,21.32,R. Stevenson RB - NE IR ,6.20,B. Hall RB - NYJ ,4.70,D. Adams WR - LV ,29.20,J. Jefferson WR - MIN ,20.90,K. Pitts TE - ATL ,3.70,C. Godwin WR - TB ,5.20,G. Joseph K - GB ,6.00,Patriots DEF ,9.00,E. Jones LB - LA IA ,9.50,K. Cousins QB - ATL IR ,25.68,K. Hunt RB - CLE ,3.50,A. Jones RB - MIN ,0.00,D. Moore WR - CHI ,10.10,D. Swift RB - CHI IA ,13.80,C. Akers RB - MIN IR ,0.00,115.72,Todd,101.18
Kevin,9,L. Jackson QB - BAL IA ,32.18,J. Cook RB - BUF ,11.20,K. Williams RB - LA IA ,6.50,C. Lamb WR - DAL ,6.20,P. Nacua WR - LA ,7.20,T. Kelce TE - KC IA ,12.90,J. Jeudy WR - CLE ,8.10,C. McLaughlin K - TB ,3.00,Seahawks DEF ,3.00,Q. Walker LB - GB ,5.00,J. Williams RB - NO ,0.00,C. Kirk WR - JAX IA ,11.40,J. Taylor RB - IND ,0.00,B. Aiyuk WR - SF ,0.00,D. Pierce RB - HOU ,11.90,J. Reed WR - GB ,6.30,95.28,Kevin,125.10
