Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,3,C. Palmer QB - ARI ,20.54,J. Charles RB - KC ,26.20,D. Murray RB - PHI ,0.00,J. Jones WR - ATL ,28.40,M. Evans WR - TB ,11.10,R. Gronkowski TE - NE ,10.10,J. Randle RB ,28.50,J. Tucker K - BAL ,6.00,Cardinals DEF ,28.00,W. Aikens DB - MIA ,2.00,D. Jackson WR - WAS ,0.00,J. Maclin WR - KC ,20.10,J. Starks RB - GB ,5.10,V. Jackson WR - TB ,4.00,D. Martin RB - TB ,4.60,K. Juszczyk RB - BAL ,2.10,160.84,Steven,118.38
Liam WHYTE,7,A. Rodgers QB - GB ,34.92,M. Forte RB - CHI ,7.40,A. Morris RB - WAS ,2.90,T. Williams WR - DAL ,0.00,J. Matthews WR - PHI ,4.90,M. Bennett TE - CHI ,1.50,J. Forsett RB - BAL ,2.90,C. Parkey K - PHI ,6.00,Patriots DEF ,5.00,D. Johnson LB - KC ,9.00,E. Manning QB - NYG ,19.16,V. Cruz WR - NYG ,0.00,A. Jeffery WR - CHI ,0.00,M. Bryant WR - PIT ,0.00,I. Crowell RB - CLE ,3.60,-,-,74.52,Aaron,112.68
Adam,2,T. Brady QB - NE ,22.72,A. Peterson RB - MIN ,24.60,M. Gordon RB - LAC ,5.10,A. Green WR - CIN ,34.70,A. Johnson WR - IND ,0.00,J. Graham TE - SEA ,14.30,J. Landry WR - MIA ,8.60,B. McManus K - DEN ,6.00,Texans DEF ,6.00,J. Watt DL - HOU ,3.50,A. Foster RB - HOU ,0.00,D. Bryant WR - DAL ,0.00,G. Tate WR - DET ,5.70,D. Williams RB - PIT ,0.20,B. Roethlisberger QB - PIT ,5.68,H. Miller TE - PIT ,1.70,125.52,Oliver,119.48
Steven,5,R. Tannehill QB - MIA ,15.78,L. Miller RB - MIA ,6.50,E. Lacy RB - GB ,8.70,D. Thomas WR - DEN ,13.20,C. Johnson WR - DET ,7.70,G. Olsen TE - CAR ,25.40,S. Smith WR - BAL ,30.60,M. Crosby K - GB ,8.00,Dolphins DEF ,-4.00,J. Smith DB - BAL ,6.50,J. Stewart RB - CAR ,5.20,P. Rivers QB - LAC ,9.84,G. Bernard RB - CIN ,8.30,S. Watkins WR - BUF ,3.90,T. Coleman RB - ATL ,0.00,L. Kuechly LB - CAR ,0.00,118.38,Liam,160.84
Oliver,6,M. Mariota QB - TEN ,18.68,L. Bell RB - PIT ,21.20,J. Hill RB - CIN ,2.10,J. Edelman WR - NE ,8.50,D. Hopkins WR - HOU ,16.10,Z. Ertz TE - PHI ,3.00,M. Ingram RB - NO ,15.90,S. Gostkowski K - NE ,15.00,Seahawks DEF ,18.00,J. Thomas LB - NYG ,1.00,R. Jennings RB - NYG ,9.70,R. Mathews RB - PHI ,16.80,D. Brees QB - NO ,0.00,L. Fitzgerald WR - ARI ,25.40,D. Allen TE - IND ,0.00,T. Gurley RB - STL ,1.40,119.48,Adam,125.52
Aaron,4,T. Taylor QB - BUF ,24.28,C. Anderson RB - DEN ,2.70,L. Murray RB - LV ,20.90,A. Brown WR - PIT ,10.80,O. Beckham WR - NYG ,13.90,E. Ebron TE - DET ,6.60,T. Benjamin WR - CLE ,9.50,D. Bailey K - DAL ,4.00,Rams DEF ,11.00,L. David LB - TB ,9.00,C. Kaepernick QB - SF ,5.28,B. Marshall WR - NYJ ,14.90,D. Walker TE - TEN ,6.80,D. Adams WR - GB ,0.00,A. Blue RB - HOU ,19.90,C. Hyde RB - SF ,6.10,112.68,Liam WHYTE,74.52
Kevin,8,A. Luck QB - IND ,19.50,T. Yeldon RB - JAC ,4.20,D. Johnson RB - ARI ,4.10,T. Hilton WR - IND ,9.40,A. Cooper WR - LV ,11.40,J. Witten TE - DAL ,6.50,M. Colston WR - NO ,4.70,G. Gano K - CAR ,9.00,Packers DEF ,8.00,S. Lee LB - DAL ,10.50,M. Stafford QB - DET ,8.58,L. Blount RB - NE ,27.20,P. Manning QB - DEN ,18.86,A. Ellington RB - ARI ,0.00,M. Wheaton WR - PIT ,1.60,D. Freeman RB - ATL ,37.30,87.30,Todd,133.50
Todd,1,R. Wilson QB - SEA ,16.20,L. McCoy RB - BUF ,8.60,M. Lynch RB - SEA ,2.30,E. Sanders WR - DEN ,8.70,R. Cobb WR - GB ,28.30,T. Kelce TE - KC ,10.00,F. Gore RB - IND ,21.40,S. Hauschka K - SEA ,14.00,Broncos DEF ,14.00,A. Barr LB - MIN ,10.00,D. McFadden RB - DAL ,9.50,C. Newton QB - CAR ,29.90,A. Gates TE - LAC ,0.00,M. Wallace WR - MIN ,4.90,C. Ivory RB - NYJ ,0.00,K. Allen WR - LAC ,25.30,133.50,Kevin,87.30
