Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,3,C. Palmer QB - ARI ,21.32,D. Murray RB - PHI ,11.90,J. Langford RB - CHI ,30.20,J. Maclin WR - KC ,1.70,M. Evans WR - TB ,13.60,R. Gronkowski TE - NE ,17.30,C. West RB - KC ,28.10,J. Tucker K - BAL ,2.00,Eagles DEF ,7.00,J. Norman DB - CAR ,4.00,M. Ryan QB - ATL ,0.00,J. Jones WR - ATL ,0.00,M. Wallace WR - MIN ,2.20,T. Eifert TE - CIN ,2.60,K. Juszczyk RB - BAL ,4.70,M. Gordon RB - LAC ,0.00,137.12,Steven,99.88
Liam WHYTE,8,A. Rodgers QB - GB ,22.12,D. Williams RB - PIT ,6.90,T. Gurley RB - STL ,14.90,D. Thomas WR - DEN ,7.10,A. Jeffery WR - CHI ,2.30,M. Bennett TE - CHI ,2.80,S. Diggs WR - MIN ,5.60,C. Santos K - KC ,19.00,Packers DEF ,3.00,T. Smith LB - JAC ,8.50,M. Forte RB - CHI ,0.00,C. Johnson RB - ARI ,5.80,J. Forsett RB - BAL ,6.40,G. Tate WR - DET ,6.30,J. Matthews WR - PHI ,2.10,-,-,92.22,Aaron,134.12
Adam,2,T. Brady QB - NE ,18.26,J. Starks RB - GB ,9.60,A. Peterson RB - MIN ,27.60,A. Green WR - CIN ,5.70,A. Robinson WR - JAC ,11.10,J. Reed TE - WAS ,14.90,D. Bryant WR - DAL ,4.50,B. McManus K - DEN ,1.00,Panthers DEF ,9.00,J. Watt DL - HOU ,4.00,J. Graham TE - SEA ,5.10,A. Dalton QB - CIN ,8.98,R. Hillman RB - DEN ,13.10,J. Landry WR - MIA ,11.80,M. Bryant WR - PIT ,21.80,A. Blue RB - HOU ,3.60,105.66,Oliver,83.76
Steven,5,R. Tannehill QB - MIA ,16.48,L. Miller RB - MIA ,15.30,G. Bernard RB - CIN ,7.90,S. Watkins WR - BUF ,1.40,A. Hurns WR - JAC ,12.20,G. Olsen TE - CAR ,8.00,T. Benjamin WR - CLE ,11.60,G. Gano K - CAR ,9.00,Bengals DEF ,9.00,L. Kuechly LB - CAR ,9.00,J. Stewart RB - CAR ,15.10,C. Clay TE - BUF ,5.20,C. Johnson WR - DET ,8.10,P. Rivers QB - LAC ,0.00,R. Matthews WR - MIA ,9.70,E. Lacy RB - GB ,0.00,99.88,Liam,137.12
Oliver,4,D. Brees QB - NO ,12.36,D. McFadden RB - DAL ,5.80,R. Mathews RB - PHI ,10.00,J. Edelman WR - NE ,5.30,D. Hopkins WR - HOU ,11.70,Z. Ertz TE - PHI ,6.80,M. Ingram RB - NO ,9.80,S. Gostkowski K - NE ,11.00,Seahawks DEF ,11.00,J. Thomas LB - NYG ,0.00,R. Jennings RB - NYG ,5.10,L. Fitzgerald WR - ARI ,13.00,A. Luck QB - IND ,0.00,J. Hill RB - CIN ,2.00,-,-,-,-,83.76,Adam,105.66
Aaron,6,B. Bortles QB - JAC ,16.02,D. Martin RB - TB ,10.30,L. Murray RB - LV ,8.20,A. Brown WR - PIT ,27.90,O. Beckham WR - NYG ,16.40,G. Barnidge TE - CLE ,12.50,B. Marshall WR - NYJ ,8.30,J. Brown K - NYG ,16.00,Giants DEF ,7.00,L. David LB - TB ,11.50,D. Woodhead RB - LAC ,0.00,S. Vereen RB - NYG ,2.60,E. Manning QB - NYG ,21.44,B. Watson TE - NO ,2.90,J. Jones WR - GB ,0.00,T. Austin WR - STL ,2.30,134.12,Liam WHYTE,92.22
Kevin,7,D. Carr QB - LV ,17.28,C. Spiller RB - NO ,5.40,T. Yeldon RB - JAC ,6.70,M. Crabtree WR - LV ,5.50,A. Cooper WR - LV ,8.40,J. Witten TE - DAL ,4.20,L. Blount RB - NE ,13.70,C. Catanzaro K - ARI ,13.00,Patriots DEF ,5.00,C. Tillman DB - CAR ,3.00,M. Stafford QB - DET ,17.78,M. Colston WR - NO ,2.20,P. Manning QB - DEN ,-6.60,T. Hilton WR - IND ,0.00,D. Freeman RB - ATL ,0.00,M. Bryant K - ATL ,0.00,82.18,Todd,92.78
Todd,1,C. Newton QB - CAR ,20.98,M. Lynch RB - SEA ,11.00,C. Ivory RB - NYJ ,12.50,R. Cobb WR - GB ,5.00,B. Cooks WR - NO ,22.90,T. Kelce TE - KC ,3.60,A. Andrews RB - TEN ,0.80,S. Hauschka K - SEA ,8.00,Broncos DEF ,1.00,A. Barr LB - MIN ,7.00,L. McCoy RB - BUF ,15.90,E. Decker WR - NYJ ,14.50,E. Sanders WR - DEN ,0.00,A. Gates TE - LAC ,0.00,F. Gore RB - IND ,0.00,R. Wilson QB - SEA ,18.80,92.78,Kevin,82.18
