Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,7,C. Palmer QB - ARI ,22.24,D. Murray RB - PHI ,2.40,J. Langford RB - CHI ,6.80,J. Jones WR - ATL ,9.30,M. Evans WR - TB ,12.10,T. Eifert TE - CIN ,0.00,J. Allen RB - BAL ,24.00,J. Tucker K - BAL ,7.00,Texans DEF ,0.00,J. Norman DB - CAR ,2.00,M. Ryan QB - ATL ,13.16,J. Maclin WR - KC ,19.50,R. Gronkowski TE - NE ,0.00,M. Wallace WR - MIN ,4.30,K. Juszczyk RB - BAL ,-0.20,C. West RB - KC ,4.40,85.84,Kevin,88.02
Liam WHYTE,8,A. Rodgers QB - GB ,25.62,M. Forte RB - CHI ,18.30,T. Gurley RB - STL ,4.10,D. Bryant WR - DAL ,6.20,A. Jeffery WR - CHI ,8.50,K. Rudolph TE - MIN ,1.30,C. Anderson RB - DEN ,5.40,C. Santos K - KC ,2.00,Cardinals DEF ,9.00,T. Smith LB - JAC ,14.00,B. LaFell WR - NE ,2.70,G. Tate WR - DET ,6.60,J. Matthews WR - PHI ,9.60,A. Andrews RB - TEN ,12.80,S. Diggs WR - MIN ,2.60,-,-,94.42,Oliver,115.08
Adam,1,T. Brady QB - NE ,31.78,A. Peterson RB - MIN ,2.40,T. Rawls RB - SEA ,16.30,J. Landry WR - MIA ,0.50,A. Robinson WR - JAC ,33.30,J. Reed TE - WAS ,3.30,D. Williams RB - PIT ,16.50,B. McManus K - DEN ,5.00,Panthers DEF ,3.00,J. Watt DL - HOU ,3.00,D. Amendola WR - NE ,13.64,D. Thomas WR - DEN ,12.10,J. Thomas TE - JAC ,7.50,A. Green WR - CIN ,18.80,S. Chandler TE - NE ,12.10,M. Bryant WR - PIT ,17.40,115.08,Steven,68.64
Steven,3,R. Tannehill QB - MIA ,8.54,L. Miller RB - MIA ,9.80,G. Bernard RB - CIN ,3.50,T. Benjamin WR - CLE ,0.00,A. Hurns WR - JAC ,0.00,G. Olsen TE - CAR ,11.90,C. Johnson WR - DET ,10.40,G. Gano K - CAR ,5.00,Bengals DEF ,14.00,L. Kuechly LB - CAR ,5.50,J. Stewart RB - CAR ,15.30,C. Clay TE - BUF ,12.60,P. Rivers QB - LAC ,6.08,R. Matthews WR - MIA ,0.00,E. Lacy RB - GB ,0.10,S. Watkins WR - BUF ,16.90,68.64,Adam,115.08
Oliver,4,D. Brees QB - NO ,22.48,D. McFadden RB - DAL ,7.90,M. Ingram RB - NO ,15.90,L. Fitzgerald WR - ARI ,5.50,D. Hopkins WR - HOU ,14.80,D. Walker TE - TEN ,15.20,J. Hill RB - CIN ,15.80,S. Gostkowski K - NE ,4.00,Seahawks DEF ,10.00,C. Jones DL - NE ,3.50,A. Luck QB - IND ,0.00,M. Mariota QB - TEN ,35.92,-,-,-,-,-,-,-,-,115.08,Liam WHYTE,94.42
Aaron,5,E. Manning QB - NYG ,14.08,D. Martin RB - TB ,15.00,L. Murray RB - LV ,17.70,B. Marshall WR - NYJ ,19.10,A. Brown WR - PIT ,23.80,R. Rodgers TE - GB ,20.60,O. Beckham WR - NYG ,20.90,J. Brown K - NYG ,8.00,Chiefs DEF ,17.00,L. David LB - TB ,11.50,G. Barnidge TE - CLE ,5.90,D. Woodhead RB - LAC ,3.40,A. Dalton QB - CIN ,23.90,J. Jones WR - GB ,1.90,T. Austin WR - STL ,3.80,B. Bortles QB - JAC ,32.78,167.68,Todd,120.64
Kevin,6,D. Carr QB - LV ,15.32,D. Freeman RB - ATL ,10.30,T. Yeldon RB - JAC ,19.60,M. Crabtree WR - LV ,10.50,A. Cooper WR - LV ,6.20,J. Witten TE - DAL ,4.60,C. Spiller RB - NO ,0.00,C. Catanzaro K - ARI ,9.00,Patriots DEF ,2.00,K. Mack DL - LV ,10.50,M. Stafford QB - DET ,17.00,L. Blount RB - NE ,5.40,M. Colston WR - NO ,1.40,P. Manning QB - DEN ,0.00,T. Hilton WR - IND ,4.60,C. Tillman DB - CAR ,0.00,88.02,Liam,85.84
Todd,2,C. Newton QB - CAR ,37.14,L. McCoy RB - BUF ,11.20,C. Ivory RB - NYJ ,4.90,E. Sanders WR - DEN ,3.40,R. Cobb WR - GB ,10.80,T. Kelce TE - KC ,4.20,D. Johnson RB - ARI ,18.00,S. Hauschka K - SEA ,8.00,Broncos DEF ,23.00,A. Barr LB - MIN ,0.00,M. Lynch RB - SEA ,0.00,A. Gates TE - LAC ,5.00,F. Gore RB - IND ,15.40,D. Baldwin WR - SEA ,21.40,R. Wilson QB - SEA ,35.06,B. Cooks WR - NO ,16.40,120.64,Aaron,167.68
