Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,3,B. Roethlisberger QB - PIT ,12.72,L. McCoy RB - PHI ,6.60,M. Asiata RB - MIN ,5.20,D. Bryant WR - DAL ,14.50,J. Jones WR - ATL ,10.50,M. Bennett TE - CHI ,2.70,R. Cobb WR - GB ,9.40,J. Tucker K - BAL ,9.00,Bengals DEF ,-3.00,J. Watt DL - HOU ,4.00,A. Foster RB - HOU ,29.20,C. Newton QB - CAR ,15.10,M. Colston WR - NO ,6.30,A. Johnson WR - HOU ,5.80,A. Boldin WR - SF ,7.20,K. Davis RB - KC ,0.60,71.62,Aaron,118.46
Liam WHYTE,7,N. Foles QB - PHI ,13.58,J. Forsett RB - BAL ,15.70,C. Ivory RB - NYJ ,4.40,A. Green WR - CIN ,12.10,V. Jackson WR - TB ,14.40,Z. Ertz TE - PHI ,4.90,E. Sanders WR - DEN ,10.90,C. Parkey K - PHI ,11.00,Panthers DEF ,18.00,P. Willis LB - SF ,8.00,E. Decker WR - NYJ ,0.00,A. Dalton QB - CIN ,17.76,J. Witten TE - DAL ,5.90,M. Wallace WR - MIA ,0.00,-,-,-,-,112.98,-,-
Adam,4,D. Brees QB - NO ,16.74,J. Charles RB - KC ,10.40,A. Bradshaw RB - IND ,6.50,D. Thomas WR - DEN ,34.60,W. Welker WR - DEN ,6.80,L. Donnell TE - NYG ,0.00,P. Harvin WR - NYJ ,3.40,A. Vinatieri K - IND ,8.00,Broncos DEF ,4.00,J. Mayo LB - NE ,6.00,P. Garcon WR - WAS ,2.30,J. Edelman WR - NE ,3.50,D. Stanton QB - ARI ,4.72,V. Davis TE - SF ,0.00,S. Smith WR - BAL ,2.40,A. Gates TE - LAC ,18.00,96.44,-,-
Steven,8,P. Rivers QB - LAC ,21.82,M. Forte RB - CHI ,20.60,M. Ball RB - DEN ,1.80,J. Maclin WR - PHI ,15.60,B. Marshall WR - CHI ,5.40,D. Allen TE - IND ,11.90,A. Morris RB - WAS ,2.70,S. Hauschka K - SEA ,9.00,Seahawks DEF ,2.00,K. Fuller DB - CHI ,3.00,B. Tate RB - PIT ,12.20,C. Clay TE - MIA ,0.00,J. Cutler QB - CHI ,21.76,P. Thomas RB - NO ,23.20,K. Allen WR - LAC ,2.50,C. Wake DL - MIA ,0.00,93.82,Kevin,91.78
Oliver,5,A. Rodgers QB - GB ,18.24,R. Jennings RB - NYG ,7.20,R. Bush RB - DET ,4.30,M. Crabtree WR - SF ,1.60,C. Johnson WR - DET ,0.70,R. Gronkowski TE - NE ,16.00,C. Spiller RB - BUF ,3.30,S. Gostkowski K - NE ,19.00,Chiefs DEF ,3.00,L. Kuechly LB - CAR ,13.00,J. Flacco QB - BAL ,7.40,C. Kaepernick QB - SF ,13.84,L. Fitzgerald WR - ARI ,5.70,A. Smith QB - KC ,8.92,T. Kelce TE - KC ,7.50,Patriots DEF ,14.00,86.34,Todd,144.74
Aaron,6,P. Manning QB - DEN ,31.96,D. Martin RB - TB ,7.40,L. Bell RB - PIT ,11.80,A. Brown WR - PIT ,8.40,S. Watkins WR - BUF ,8.70,J. Graham TE - NO ,3.60,D. Sproles RB - PHI ,5.10,D. Bailey K - DAL ,8.00,Eagles DEF ,21.00,D. Levy LB - DET ,12.50,D. Walker TE - TEN ,4.70,E. Manning QB - NYG ,15.70,F. Jackson RB - BUF ,14.70,C. Patterson WR - MIN ,0.80,Z. Stacy RB - STL ,5.80,J. Jenkins LB - MIA ,0.00,118.46,Liam,71.62
Kevin,1,A. Luck QB - IND ,22.68,S. Vereen RB - NE ,10.80,G. Bernard RB - CIN ,10.20,R. Wayne WR - IND ,7.70,T. Hilton WR - IND ,9.00,J. Thomas TE - DEN ,18.60,K. Benjamin WR - CAR ,2.80,N. Novak K - LAC ,7.00,49ers DEF ,3.00,C. Jones DL - NE ,0.00,M. Ryan QB - ATL ,14.64,M. Ingram RB - NO ,0.00,G. Olsen TE - CAR ,19.20,A. Hawkins WR - CLE ,3.60,R. Wilson QB - SEA ,38.24,L. Miller RB - MIA ,0.00,91.78,Steven,93.82
Todd,2,M. Stafford QB - DET ,14.04,D. Murray RB - DAL ,17.20,E. Lacy RB - GB ,25.20,J. Nelson WR - GB ,12.60,A. Jeffery WR - CHI ,15.70,J. Cameron TE - CLE ,3.30,M. Lynch RB - SEA ,17.70,S. Graham K - NO ,11.00,Steelers DEF ,15.00,L. David LB - TB ,13.00,F. Gore RB - SF ,10.80,V. Cruz WR - NYG ,2.20,K. Cousins QB - WAS ,19.72,M. Floyd WR - ARI ,0.70,J. Reed TE - WAS ,0.00,B. Cooks WR - NO ,7.10,144.74,Oliver,86.34
