Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,6,J. Hurts QB - PHI ,34.40,D. Cook RB - MIN ,14.30,D. Montgomery RB - DET ,12.70,D. Adams WR - LV ,29.70,C. Lamb WR - DAL ,15.40,T. Hockenson TE - MIN ,3.30,C. Patterson RB - ATL ,6.00,E. McPherson K - CIN ,10.00,Saints DEF ,6.00,Z. Franklin LB - IND ,9.50,G. Edwards RB - BAL ,1.20,J. Jeudy WR - DEN ,6.50,D. Jackson RB - IND ,0.60,T. Allgeier RB - ATL ,5.20,D. London WR - ATL ,9.50,I. Pacheco RB - KC ,15.20,141.30,Aaron,85.96
Liam WHYTE,7,J. Herbert QB - LAC Q ,22.10,C. McCaffrey RB - SF ,20.60,S. Barkley RB - NYG ,14.10,D. Hopkins WR - ARI Q ,0.00,T. Hill WR - MIA ,21.60,P. Freiermuth TE - PIT Q ,7.60,A. Thielen WR - CAR ,2.70,H. Butker K - KC ,6.00,Broncos DEF ,12.00,L. David LB - TB ,14.00,K. Hunt RB - CLE ,9.40,R. Tonyan TE - CHI ,1.00,C. Akers RB - LA ,18.00,R. Stevenson RB - NE ,9.80,D. Smith WR - PHI ,16.20,C. York K - CLE ,9.00,120.70,Todd,99.08
Adam,2,D. Carr QB - NO ,16.00,A. Jones RB - GB ,5.00,J. Williams RB - NO ,9.50,J. Jefferson WR - MIN ,11.60,C. Watson WR - GB ,21.40,D. Schultz TE - HOU ,3.30,M. Sanders RB - CAR ,9.80,J. Tucker K - BAL ,4.00,Seahawks DEF ,8.00,T. Edwards LB - CHI ,6.00,K. Cousins QB - MIN ,11.82,D. Jones QB - NYG ,17.10,K. Murray QB - ARI IR ,0.00,G. Davis WR - BUF ,7.50,D. Swift RB - PHI ,17.10,Jets DEF ,2.00,94.60,Kevin,94.32
Steven,1,J. Burrow QB - CIN ,30.04,R. Mostert RB - MIA Q ,3.00,D. Henry RB - TEN ,3.80,T. Lockett WR - SEA ,18.80,J. Waddle WR - MIA ,0.90,C. Kmet TE - CHI ,7.20,E. Elliott RB - DAL ,15.10,B. Maher K - DAL ,6.00,Ravens DEF ,6.00,F. Oluokun LB - JAX ,13.00,G. Smith QB - SEA ,22.98,M. Evans WR - TB ,5.90,S. Perine RB - DEN ,15.50,D. Peoples-Jones WR - CLE ,10.90,R. Gould K - SF ,15.00,B. Wagner LB - SEA ,14.00,103.84,Jackson ,93.00
Oliver,5,L. Jackson QB - BAL Q ,1.34,J. Taylor RB - IND IR ,10.30,K. Walker RB - SEA ,3.60,C. Godwin WR - TB ,6.30,A. St. Brown WR - DET ,23.60,G. Kittle TE - SF ,2.20,D. Metcalf WR - SEA ,18.70,T. Bass K - BUF ,6.00,Bills DEF ,5.00,R. Evans LB - ATL ,10.00,L. Murray RB - BUF ,6.10,K. Drake RB - BAL ,4.60,C. Samuel WR - WAS ,8.60,D. Samuel WR - SF ,6.30,J. Fields QB - CHI Q ,19.26,K. Toney WR - KC ,0.00,87.04,Kevin,60.02
Aaron,8,T. Lawrence QB - JAX ,16.36,D. Singletary RB - HOU ,11.10,B. Robinson RB - WAS Q ,11.10,K. Allen WR - LAC ,14.80,S. Diggs WR - BUF ,15.20,M. Alie-Cox TE - IND ,-1.40,J. Wilson RB - MIA ,1.30,G. Gano K - NYG ,8.00,Patriots DEF ,4.00,B. Okereke LB - NYG ,5.50,M. Stafford QB - LA IR ,0.00,M. Mariota QB - PHI IR ,10.38,L. Fournette RB - TB ,8.10,T. McLaurin WR - WAS ,16.50,B. Aiyuk WR - SF ,5.60,49ers DEF ,18.00,85.96,Liam,141.30
Kevin,4,P. Mahomes QB - KC ,19.82,A. Kamara RB - NO ,5.70,T. Etienne RB - JAX ,4.60,C. Kirk WR - JAX Q ,10.40,G. Wilson WR - NYJ ,16.20,T. Conklin TE - NYJ ,0.90,J. Chase WR - CIN ,9.70,D. Carlson K - LV ,11.00,Eagles DEF ,10.00,J. Hicks LB - MIN ,6.00,D. Prescott QB - DAL ,16.80,J. Conner RB - ARI Q ,0.00,D. Njoku TE - CLE ,0.00,D. Moore WR - CHI ,0.00,T. Pollard RB - DAL Q ,22.60,Cowboys DEF ,20.00,94.32,Adam,94.60
Todd,10,T. Brady QB - TB ,17.14,N. Harris RB - PIT ,9.20,B. Knight RB - NYJ ,11.80,A. Brown WR - PHI ,23.90,J. Meyers WR - LV ,2.20,T. Hill TE - NO ,11.34,J. Smith-Schuster WR - NE ,3.50,J. Myers K - SEA ,9.00,Chiefs DEF ,1.00,J. Brooks LB - SEA IR ,10.00,R. Wilson QB - DEN ,9.66,J. Mixon RB - CIN ,0.00,M. Williams WR - LAC Q ,0.00,D. Johnson WR - PIT ,6.00,A. Dillon RB - GB ,17.90,R. White RB - TB ,11.40,99.08,Liam WHYTE,120.70
Jackson ,9,J. Goff QB - DET ,21.60,N. Chubb RB - CLE ,8.00,J. Jacobs RB - LV ,19.00,T. Higgins WR - CIN ,9.50,C. Olave WR - NO ,6.50,M. Andrews TE - BAL ,5.40,A. Cooper WR - CLE ,4.00,Y. Koo K - ATL ,14.00,Bears DEF ,-1.00,C. Mosley LB - NYJ ,6.00,Z. Ertz TE - ARI IR ,0.00,J. Garoppolo QB - LV Q ,2.24,C. Kupp WR - LA IR ,0.00,J. Robinson RB - NE ,1.00,A. Gibson RB - WAS IR ,5.90,M. Carter RB - NYJ ,0.00,93.00,Steven,103.84
Kevin,3,J. Allen QB - BUF ,17.92,A. Ekeler RB - LAC ,8.20,D. Pierce RB - HOU IR ,9.50,A. Lazard WR - NYJ ,6.70,M. Pittman WR - IND ,1.60,T. Kelce TE - KC ,3.60,C. Sutton WR - DEN ,0.00,R. Succop K - TB ,5.00,Titans DEF ,-2.00,R. Smith LB - BAL ,9.50,T. Higbee TE - LA ,3.40,T. Boyd WR - CIN Q ,6.00,D. Foreman RB - CHI ,0.00,T. Tagovailoa QB - MIA ,13.80,K. Herbert RB - CHI ,0.00,G. Joseph K - MIN ,11.00,60.02,Oliver,87.04
