Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,4,J. Hurts QB - PHI ,35.70,D. Cook RB - MIN ,23.00,D. Montgomery RB - DET ,21.10,D. Adams WR - LV ,2.80,C. Lamb WR - DAL ,12.70,T. Hockenson TE - MIN ,5.30,C. Patterson RB - ATL ,11.20,E. McPherson K - CIN ,8.00,Cardinals DEF ,11.00,R. Evans LB - ATL ,10.00,G. Edwards RB - BAL ,5.50,J. Jeudy WR - DEN ,7.60,D. Jackson RB - IND ,9.60,T. Allgeier RB - ATL ,21.60,D. London WR - ATL ,6.00,I. Pacheco RB - KC ,7.70,140.80,Adam,93.10
Liam WHYTE,7,J. Herbert QB - LAC Q ,8.72,C. McCaffrey RB - SF ,19.80,S. Barkley RB - NYG ,18.00,D. Hopkins WR - ARI Q ,6.00,T. Hill WR - MIA ,12.90,P. Freiermuth TE - PIT Q ,0.00,R. Stevenson RB - NE ,22.80,H. Butker K - KC ,4.00,Broncos DEF ,10.00,L. David LB - TB ,10.50,A. Thielen WR - CAR ,11.10,K. Hunt RB - CLE ,2.70,R. Tonyan TE - CHI ,1.40,C. Akers RB - LA ,10.00,D. Smith WR - PHI ,12.60,C. York K - CLE ,7.00,112.72,Jackson ,70.98
Adam,2,K. Cousins QB - MIN ,32.40,A. Jones RB - GB ,16.60,J. Williams RB - NO ,3.30,J. Jefferson WR - MIN ,18.30,C. Watson WR - GB ,4.60,D. Schultz TE - HOU ,1.50,M. Sanders RB - CAR ,0.90,J. Tucker K - BAL ,5.50,Vikings DEF ,5.00,J. Sanborn LB - CHI IR ,5.00,A. Rodgers QB - NYJ ,10.86,R. Burkhead RB - HOU ,1.70,D. Jones QB - NYG ,9.90,G. Davis WR - BUF ,5.60,D. Swift RB - PHI ,7.50,J. Cook RB - BUF ,9.90,93.10,Liam,140.80
Steven,1,J. Burrow QB - CIN ,26.80,R. Mostert RB - MIA Q ,15.60,D. Henry RB - TEN ,22.30,T. Lockett WR - SEA ,6.80,J. Waddle WR - MIA ,17.40,C. Kmet TE - CHI ,2.50,E. Elliott RB - DAL ,13.10,B. Maher K - DAL ,12.00,Ravens DEF ,7.00,F. Oluokun LB - JAX ,12.50,G. Smith QB - SEA ,15.32,M. Evans WR - TB ,9.30,S. Perine RB - DEN ,2.40,N. Fant TE - SEA ,9.20,D. Peoples-Jones WR - CLE ,9.10,B. Wagner LB - SEA ,6.00,136.00,Aaron,96.42
Oliver,5,J. Fields QB - CHI Q ,23.58,J. Taylor RB - IND IR ,1.30,K. Walker RB - SEA ,7.90,D. Metcalf WR - SEA ,5.50,A. St. Brown WR - DET ,8.20,G. Kittle TE - SF ,21.30,C. Godwin WR - TB ,14.30,T. Bass K - BUF ,6.00,Bills DEF ,1.00,J. Pitre DB - HOU Q ,10.50,L. Murray RB - BUF ,20.20,J. McKinnon RB - KC ,26.20,D. Watson QB - CLE ,12.64,L. Jackson QB - BAL Q ,0.00,T. Homer RB - CHI IR ,1.00,D. Samuel WR - SF ,0.00,99.58,Todd,95.28
Aaron,8,T. Lawrence QB - JAX ,27.82,D. Singletary RB - HOU ,7.00,B. Robinson RB - WAS Q ,10.70,S. Diggs WR - BUF ,5.70,B. Aiyuk WR - SF ,1.90,E. Engram TE - JAX ,6.20,K. Allen WR - LAC ,8.60,G. Gano K - NYG ,12.00,Patriots DEF ,11.00,N. Bolton LB - KC ,5.50,D. Carr QB - NO ,19.24,M. Mariota QB - PHI IR ,0.00,L. Fournette RB - TB ,7.40,J. Wilson RB - MIA ,0.00,T. McLaurin WR - WAS ,7.00,49ers DEF ,9.00,96.42,Steven,136.00
Kevin,3,P. Mahomes QB - KC ,34.74,J. Conner RB - ARI Q ,15.10,A. Kamara RB - NO ,10.40,J. Chase WR - CIN ,13.00,G. Wilson WR - NYJ ,9.80,D. Njoku TE - CLE ,2.80,T. Pollard RB - DAL Q ,10.60,D. Carlson K - LV ,6.00,Eagles DEF ,9.00,J. Hicks LB - MIN ,5.50,D. Waller TE - NYG ,10.80,D. Prescott QB - DAL ,20.24,C. Kirk WR - JAX Q ,9.20,D. Moore WR - CHI ,13.30,T. Etienne RB - JAX ,10.70,Cowboys DEF ,6.00,116.94,Kevin,100.26
Todd,10,B. Purdy QB - SF Q ,16.48,J. Mixon RB - CIN ,5.40,B. Knight RB - NYJ ,2.30,M. Williams WR - LAC Q ,6.70,A. Brown WR - PHI ,19.10,T. Hill TE - NO ,12.20,N. Harris RB - PIT ,14.60,J. Myers K - SEA ,10.00,Chiefs DEF ,3.00,J. Brooks LB - SEA IR ,5.50,T. Brady QB - TB ,16.58,G. Everett TE - LAC ,4.20,J. Smith-Schuster WR - NE ,7.30,D. Johnson WR - PIT ,10.00,A. Dillon RB - GB ,20.10,R. White RB - TB ,4.30,95.28,Oliver,99.58
Jackson ,9,J. Goff QB - DET ,14.08,N. Chubb RB - CLE ,9.90,J. Jacobs RB - LV ,13.00,A. Cooper WR - CLE ,5.80,T. Higgins WR - CIN ,11.30,M. Andrews TE - BAL ,3.10,C. Olave WR - NO ,5.30,Y. Koo K - ATL ,4.00,Panthers DEF ,1.00,C. Mosley LB - NYJ ,3.50,J. Garoppolo QB - LV Q ,0.00,C. Kupp WR - LA IR ,0.00,J. Robinson RB - NE ,0.00,A. Gibson RB - WAS IR ,4.70,M. Carter RB - NYJ ,3.10,G. Zuerlein K - NYJ ,5.00,70.98,Liam WHYTE,112.72
Kevin,6,J. Allen QB - BUF ,35.86,D. Foreman RB - CHI ,0.90,A. Ekeler RB - LAC ,14.00,D. Slayton WR - NYG ,4.30,M. Pittman WR - IND ,9.00,T. Kelce TE - KC ,10.50,A. Lazard WR - NYJ ,0.70,R. Succop K - TB ,5.00,Packers DEF ,11.00,R. Smith LB - BAL ,9.00,T. Higbee TE - LA ,9.70,T. Boyd WR - CIN Q ,9.50,C. Sutton WR - DEN ,0.00,T. Tagovailoa QB - MIA ,18.06,K. Herbert RB - CHI ,0.00,D. Pierce RB - HOU IR ,0.00,100.26,Kevin,116.94
