Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,7,J. Hurts QB - PHI ,21.80,D. Cook RB - MIN ,25.60,D. Montgomery RB - DET ,4.40,D. Adams WR - LV ,18.60,D. London WR - ATL ,9.80,T. Hockenson TE - MIN ,4.50,C. Patterson RB - ATL ,3.00,J. Myers K - SEA ,6.00,Saints DEF ,7.00,Z. Franklin LB - IND ,9.00,G. Edwards RB - BAL ,0.00,C. Lamb WR - DAL ,27.00,J. Jeudy WR - DEN ,0.00,D. Jackson RB - IND ,0.00,T. Allgeier RB - ATL ,0.30,I. Pacheco RB - KC ,6.20,109.70,Todd,69.52
Liam WHYTE,6,J. Herbert QB - LAC Q ,12.04,C. McCaffrey RB - SF ,13.70,S. Barkley RB - NYG ,22.00,D. Hopkins WR - ARI Q ,9.80,T. Hill WR - MIA ,10.40,P. Freiermuth TE - PIT Q ,3.60,A. Thielen WR - CAR ,4.90,H. Butker K - KC ,3.00,Broncos DEF ,4.00,L. David LB - TB ,5.00,K. Hunt RB - CLE ,1.90,R. Tonyan TE - CHI ,0.80,C. Akers RB - LA ,2.20,R. Stevenson RB - NE ,0.00,D. Smith WR - PHI ,7.90,C. York K - CLE ,5.50,88.44,Oliver,125.28
Adam,1,J. Brissett QB - WAS ,18.48,A. Jones RB - GB ,23.60,J. Williams RB - NO ,11.90,G. Davis WR - BUF ,15.30,J. Jefferson WR - MIN ,26.30,C. Otton TE - TB ,3.50,M. Sanders RB - CAR ,5.40,R. Bullock K - TEN ,5.00,Raiders DEF ,3.00,T. Edwards LB - CHI ,8.00,K. Cousins QB - MIN ,15.48,K. Murray QB - ARI IR ,0.00,D. Henderson RB ,12.20,D. Mooney WR - CHI IR ,5.70,D. Swift RB - PHI ,7.20,J. Tucker K - BAL ,0.00,120.48,Jackson ,68.40
Steven,4,G. Smith QB - SEA ,19.20,D. Henry RB - TEN ,6.70,K. Gainwell RB - PHI ,1.20,M. Evans WR - TB ,5.40,J. Waddle WR - MIA ,6.60,D. Goedert TE - PHI ,7.30,T. Lockett WR - SEA ,10.20,R. Gould K - SF ,10.00,Dolphins DEF ,6.00,F. Oluokun LB - JAX ,7.00,R. Woods WR - HOU ,1.00,R. Mostert RB - MIA Q ,14.70,E. Elliott RB - DAL ,0.00,M. Gesicki TE - NE ,3.10,J. Burrow QB - CIN ,0.00,C. Edwards-Helaire RB - KC IA ,0.00,79.60,Kevin,103.00
Oliver,5,J. Fields QB - CHI Q ,39.38,J. Taylor RB - IND IR ,22.30,K. Walker RB - SEA ,7.20,D. Metcalf WR - SEA ,7.10,A. St. Brown WR - DET ,12.10,G. Kittle TE - SF ,3.10,C. Godwin WR - TB ,13.10,W. Lutz K - NO ,4.00,Bills DEF ,8.00,R. Evans LB - ATL ,9.00,K. Drake RB - BAL ,0.00,C. Samuel WR - WAS ,4.00,L. Jackson QB - BAL Q ,0.00,D. Harris RB - BUF ,0.00,D. Samuel WR - SF ,5.10,E. Benjamin RB - NO ,0.00,125.28,Liam WHYTE,88.44
Aaron,8,D. Carr QB - NO ,17.92,L. Fournette RB - TB ,9.80,D. Singletary RB - HOU ,14.70,S. Diggs WR - BUF ,12.80,B. Aiyuk WR - SF ,6.40,M. Alie-Cox TE - IND ,0.00,J. Wilson RB - MIA ,20.30,G. Gano K - NYG ,6.00,49ers DEF ,6.00,B. Okereke LB - NYG ,8.50,M. Stafford QB - LA IR ,0.00,K. Allen WR - LAC ,0.00,R. Penny RB - PHI IR ,0.00,T. McLaurin WR - WAS ,13.80,B. Robinson RB - WAS Q ,14.60,Patriots DEF ,0.00,102.42,Kevin,86.74
Kevin,3,P. Mahomes QB - KC ,33.64,A. Kamara RB - NO ,4.50,T. Etienne RB - JAX ,7.30,J. Smith-Schuster WR - NE ,3.80,D. Moore WR - CHI ,2.90,K. Pitts TE - ATL IR ,2.80,T. Pollard RB - DAL Q ,18.80,D. Carlson K - LV ,2.00,Eagles DEF ,7.00,J. Hicks LB - MIN ,4.00,D. Prescott QB - DAL ,19.20,J. Conner RB - ARI Q ,22.60,D. Njoku TE - CLE ,0.00,C. Kirk WR - JAX Q ,22.50,J. Chase WR - CIN ,0.00,Cowboys DEF ,5.00,86.74,Aaron,102.42
Todd,9,T. Brady QB - TB ,17.02,A. Dillon RB - GB ,6.50,N. Harris RB - PIT ,9.90,A. Brown WR - PHI ,1.70,D. Johnson WR - PIT ,6.30,G. Everett TE - LAC ,2.30,C. Claypool WR - CHI ,0.80,M. Crosby K - GB ,7.00,Chargers DEF ,3.00,J. Brooks LB - SEA IR ,15.00,M. Gordon RB - KC ,7.00,J. Mixon RB - CIN ,0.00,M. Williams WR - LAC Q ,0.00,T. Hill TE - NO ,0.10,J. Meyers WR - LV ,0.00,M. Gay K - IND ,5.00,69.52,Liam,109.70
Jackson ,10,J. Garoppolo QB - LV Q ,15.90,N. Chubb RB - CLE ,12.10,J. Jacobs RB - LV ,16.60,A. Cooper WR - CLE ,3.20,C. Kupp WR - LA IR ,-0.10,Z. Ertz TE - ARI IR ,1.20,C. Olave WR - NO ,4.00,Y. Koo K - ATL ,3.00,Buccaneers DEF ,6.00,A. Singleton LB - DEN ,6.50,J. Goff QB - DET ,14.84,M. Andrews TE - BAL ,0.00,T. Higgins WR - CIN ,0.00,J. Robinson RB - NE ,0.00,A. Gibson RB - WAS IR ,11.80,M. Carter RB - NYJ ,0.00,68.40,Adam,120.48
Kevin,2,J. Allen QB - BUF ,21.60,A. Ekeler RB - LAC ,7.30,D. Pierce RB - HOU IR ,10.20,A. Lazard WR - NYJ ,4.50,M. Pittman WR - IND ,7.30,T. Kelce TE - KC ,14.10,D. Foreman RB - CHI ,19.00,R. Succop K - TB ,3.00,Titans DEF ,12.00,T. Edmunds LB - CHI ,4.00,B. Cooks WR - DAL ,4.20,T. Higbee TE - LA ,7.30,T. Boyd WR - CIN Q ,0.00,C. Sutton WR - DEN ,6.60,T. Tagovailoa QB - MIA ,25.40,K. Herbert RB - CHI ,5.70,103.00,Steven,79.60
