Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,6,J. Hurts QB - PHI ,24.72,D. Cook RB - MIN ,10.80,D. Montgomery RB - DET ,5.00,D. Adams WR - LV ,21.10,C. Lamb WR - DAL ,2.90,T. Hockenson TE - MIN ,3.80,C. Patterson RB - ATL ,19.60,D. Hopkins K - LAC IR ,6.00,Titans DEF ,9.00,B. Wagner LB - SEA ,8.50,J. Jones WR - TB ,8.60,M. Brown WR - ARI ,10.30,J. Jeudy WR - DEN ,16.20,T. Tagovailoa QB - MIA ,14.80,K. Gainwell RB - PHI ,9.20,D. London WR - ATL ,7.40,111.42,Kevin,111.50
Liam WHYTE,2,J. Herbert QB - LAC Q ,23.26,C. McCaffrey RB - SF ,13.70,S. Barkley RB - NYG ,27.40,T. Hill WR - MIA ,10.00,D. Mooney WR - CHI IR ,0.80,D. Schultz TE - HOU ,6.20,A. Thielen WR - CAR ,3.60,H. Butker K - KC ,9.00,Chargers DEF ,13.00,L. David LB - TB ,6.00,D. Hopkins WR - ARI Q ,0.00,M. Thomas WR - NO IR ,17.70,K. Hunt RB - CLE ,19.00,N. Hines RB - BUF ,5.40,D. Smith WR - PHI ,0.00,K. Walker RB - SEA ,0.00,112.96,Jackson ,98.00
Adam,5,K. Murray QB - ARI IR ,22.62,A. Jones RB - GB ,7.60,M. Sanders RB - CAR ,16.50,G. Davis WR - BUF ,14.80,J. Jefferson WR - MIN ,30.40,D. Knox TE - BUF ,0.50,C. Akers RB - LA ,0.00,J. Tucker K - BAL ,6.00,49ers DEF ,5.00,C. Holcomb LB - PIT IR ,3.50,K. Cousins QB - MIN ,19.08,D. Moore WR - CHI ,5.00,C. Kmet TE - CHI ,0.00,D. Swift RB - PHI ,23.50,R. Stevenson RB - NE ,2.70,C. Olave WR - NO ,6.10,106.92,Todd,90.88
Steven,8,J. Burrow QB - CIN ,18.22,E. Elliott RB - DAL ,4.90,D. Henry RB - TEN ,10.20,M. Evans WR - TB ,14.10,T. Lockett WR - SEA ,2.80,D. Waller TE - NYG ,7.90,J. Waddle WR - MIA ,13.70,J. Sanders K - MIA ,8.00,Saints DEF ,4.00,F. Oluokun LB - JAX ,10.00,M. Ryan QB - IND ,20.28,M. Ingram RB - NO IR ,0.30,R. Woods WR - HOU ,1.30,R. Gage WR - TB Q ,1.30,C. Edwards-Helaire RB - KC IA ,21.40,K. Toney WR - KC ,2.30,93.82,Oliver,108.22
Oliver,4,L. Jackson QB - BAL Q ,20.22,J. Taylor RB - IND IR ,23.50,J. Williams RB - DEN IR ,8.80,D. Metcalf WR - SEA ,1.60,D. Samuel WR - SF ,10.60,N. Fant TE - SEA ,1.60,I. McKenzie WR - IND ,8.90,T. Bass K - BUF ,7.00,Bills DEF ,17.00,R. Smith LB - BAL ,9.00,J. McKissic RB - WAS IR ,4.80,C. Godwin WR - TB ,3.50,G. Kittle TE - SF ,0.00,D. Harris RB - BUF ,5.80,A. Mattison RB - MIN ,3.60,A. St. Brown WR - DET ,12.40,108.22,Steven,93.82
Aaron,10,M. Stafford QB - LA IR ,10.80,L. Fournette RB - TB ,13.70,E. Mitchell RB - SF Q ,4.10,K. Allen WR - LAC ,6.60,S. Diggs WR - BUF ,18.20,K. Pitts TE - ATL IR ,1.90,R. Penny RB - PHI IR ,6.70,M. Prater K - ARI ,1.00,Patriots DEF ,4.00,C. Mosley LB - NYJ ,9.00,D. Carr QB - NO ,13.80,T. McLaurin WR - WAS ,11.80,H. Renfrow WR - LV ,5.10,D. Singletary RB - HOU ,6.20,B. Aiyuk WR - SF ,4.70,T. Burks WR - TEN ,5.50,76.00,Kevin,125.88
Kevin,3,P. Mahomes QB - KC ,34.90,J. Conner RB - ARI Q ,13.50,A. Kamara RB - NO ,4.60,M. Hardman WR - NYJ IR ,7.60,J. Chase WR - CIN ,19.90,D. Goedert TE - PHI ,6.00,T. Etienne RB - JAX ,6.50,D. Carlson K - LV ,9.00,Packers DEF ,1.00,D. Campbell LB - GB ,8.50,D. Prescott QB - DAL ,4.46,T. Higbee TE - LA ,4.90,J. Smith-Schuster WR - NE ,5.90,C. Kirk WR - JAX Q ,11.70,T. Pollard RB - DAL Q ,3.20,-,-,111.50,Liam,111.42
Todd,9,T. Brady QB - TB ,10.38,J. Mixon RB - CIN ,14.50,N. Harris RB - PIT ,8.60,M. Williams WR - LAC Q ,1.00,A. Brown WR - PHI ,15.50,G. Everett TE - LAC ,11.40,D. Johnson WR - PIT ,7.50,M. Gay K - IND ,6.00,Cowboys DEF ,5.00,J. Brooks LB - SEA IR ,11.00,Z. Ertz TE - ARI IR ,9.40,M. Gordon RB - KC ,5.20,J. Meyers WR - LV ,6.20,A. Dillon RB - GB ,15.10,R. Bateman WR - BAL IR ,11.90,T. Lance QB - SF IR ,12.96,90.88,Adam,106.92
Jackson ,7,A. Rodgers QB - NYJ ,3.70,N. Chubb RB - CLE ,14.30,A. Gibson RB - WAS IR ,13.00,C. Kupp WR - LA IR ,19.80,T. Higgins WR - CIN ,2.70,M. Andrews TE - BAL ,5.20,J. Jacobs RB - LV ,7.30,Y. Koo K - ATL ,18.00,Colts DEF ,6.00,L. Wilson LB - CIN ,8.00,R. Wilson QB - DEN ,17.80,A. Cooper WR - CLE ,1.70,R. Mostert RB - MIA Q ,3.20,J. Dobbins RB - BAL ,0.00,J. Robinson RB - NE ,18.90,M. Carter RB - NYJ ,10.00,98.00,Liam WHYTE,112.96
Kevin,1,J. Allen QB - BUF ,31.48,A. Ekeler RB - LAC ,7.20,D. Pierce RB - HOU IR ,3.90,B. Cooks WR - DAL ,8.20,M. Pittman WR - IND ,18.10,T. Kelce TE - KC ,18.10,E. Moore WR - CLE ,4.90,R. Succop K - TB ,13.00,Dolphins DEF ,18.00,D. Perryman LB - HOU IR ,3.00,A. Robinson WR - PIT IR ,1.20,C. Edmonds RB - TB ,6.50,A. Lazard WR - NYJ ,0.00,C. Sutton WR - DEN ,8.20,T. Lawrence QB - JAX ,11.40,B. Hall RB - NYJ IR ,4.10,125.88,Aaron,76.00
