Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,3,M. Stafford QB - LA ,24.00,J. Mixon RB - CIN ,9.40,M. Sanders RB - PHI ,14.20,H. Renfrow WR - LV ,10.20,J. Jefferson WR - MIN ,24.60,M. Gesicki TE - MIA ,4.60,D. Metcalf WR - SEA ,6.00,R. Succop K - TB ,6.00,Rams DEF ,10.00,D. Leonard LB - IND ,3.00,T. Hill QB - NO Q ,20.66,S. Michel RB - LA ,18.90,D. Williams RB - KC ,9.00,D. Harris WR - NO ,16.90,V. Jefferson WR - LA ,10.10,J. Hurts QB - PHI Q ,0.00,112.00,Oliver,89.62
Liam WHYTE,10,R. Wilson QB - DEN ,16.74,C. Patterson RB - ATL ,11.60,M. Gaskin RB - MIA ,4.90,M. Evans WR - TB ,9.90,S. Diggs WR - BUF ,5.10,E. Engram TE - JAX ,6.10,D. Smith WR - PHI ,1.50,Y. Koo K - ATL ,5.00,Bengals DEF ,6.00,D. Perryman LB - LV Q ,11.00,Z. Ertz TE - ARI ,1.00,T. Kelce TE - KC ,2.70,J. Conner RB - ARI ,17.10,J. Williams RB - DEN ,25.80,J. Waddle WR - MIA ,9.00,H. Butker K - KC ,12.00,77.84,Todd,110.50
Adam,6,K. Cousins QB - MIN ,20.20,R. Stevenson RB - NE ,7.80,N. Harris RB - PIT ,10.70,M. Williams WR - LAC ,11.00,C. Claypool WR - PIT ,5.40,M. Andrews TE - BAL ,5.00,B. Scott RB - PHI ,0.00,J. Tucker K - BAL ,7.00,Patriots DEF ,8.00,T. Edwards LB - PHI Q ,8.50,M. Jones WR - JAX ,1.10,A. Kamara RB - NO ,0.00,K. Murray QB - ARI ,34.82,C. Hubbard RB - CAR ,0.00,E. Moore WR - NYJ COV ,14.60,P. Freiermuth TE - PIT ,4.60,83.60,Kevin,106.62
Steven,5,P. Mahomes QB - KC ,12.56,M. Ingram RB - NO Q ,2.60,J. Robinson RB - JAX IR ,1.50,A. Thielen WR - MIN IR ,0.00,T. Hill WR - MIA ,3.20,N. Fant TE - SEA ,3.30,D. Freeman RB - BAL Q ,15.70,J. Sanders K - MIA ,8.00,Dolphins DEF ,9.00,F. Oluokun LB - JAX ,11.50,J. Landry WR - CLE ,0.00,T. Lockett WR - SEA ,12.80,T. Heinicke QB - WAS ,14.84,A. Collins RB - SEA IR ,0.00,N. Chubb RB - CLE ,0.00,K. Toney WR - NYG Q ,0.00,67.36,Aaron,96.02
Oliver,8,C. Wentz QB - WAS ,11.12,D. Johnson RB - HOU ,0.00,A. Mattison RB - MIN ,18.40,K. Allen WR - LAC ,17.40,C. Godwin WR - TB IR ,15.20,D. Schultz TE - DAL ,4.30,D. Mooney WR - CHI ,2.70,N. Folk K - NE ,6.00,Eagles DEF ,5.00,J. Brooks LB - SEA ,9.50,A. Green WR - ARI ,1.40,A. Rodgers QB - GB ,0.00,A. Cooper WR - CLE ,4.10,D. Henry RB - TEN ,0.00,M. Breida RB - NYG ,0.80,J. Simmons DL - TEN ,0.00,89.62,Liam,112.00
Aaron,2,L. Jackson QB - BAL Q ,17.62,A. Ekeler RB - LAC ,12.40,J. Jacobs RB - LV ,15.00,D. Hopkins WR - ARI IR ,9.20,B. Cooks WR - HOU Q ,5.40,K. Pitts TE - ATL ,4.80,D. Singletary RB - BUF ,3.60,T. Bass K - BUF ,4.00,Colts DEF ,18.00,D. James DB - LAC ,6.00,C. Newton QB - CAR ,0.00,O. Beckham WR - LA O ,8.80,A. Robinson WR - LA ,0.00,M. Gordon RB - DEN ,0.00,J. Howard RB - PHI ,0.00,C. Davis WR - NYJ IR ,1.50,96.02,Steven,67.36
Kevin,4,T. Brady QB - TB ,28.62,K. Drake RB - LV Q ,0.80,T. Johnson RB - NYJ ,1.50,C. Kupp WR - LA ,18.90,K. Bourne WR - NE ,0.30,R. Gronkowski TE - TB ,17.80,T. McLaurin WR - WAS ,2.20,J. Elliott K - PHI ,15.00,Cardinals DEF ,11.00,B. Wagner LB - LA Q ,10.50,J. Cook TE - LAC ,2.90,D. Adams WR - LV ,0.00,K. Hunt RB - CLE Q ,0.00,A. Jones RB - GB ,0.00,D. Moore WR - CAR ,0.00,D. Swift RB - DET ,0.00,106.62,Adam,83.60
Todd,1,J. Allen QB - BUF ,11.70,E. Elliott RB - DAL Q ,4.70,A. Gibson RB - WAS ,17.10,C. Lamb WR - DAL ,13.20,J. Chase WR - CIN ,6.20,D. Goedert TE - PHI ,22.50,D. Harris RB - NE ,19.10,R. Gould K - SF ,7.00,Bills DEF ,3.00,M. Parsons LB - DAL ,6.00,D. Foreman RB - CAR ,0.00,A. Brown WR - PHI ,0.00,D. Knox TE - BUF ,1.40,T. Pollard RB - DAL ,13.40,D. Samuel WR - SF ,0.00,C. Edwards-Helaire RB - KC ,8.20,110.50,Liam WHYTE,77.84
Jackson ,9,D. Prescott QB - DAL ,11.22,L. Fournette RB - TB ,15.20,J. Taylor RB - IND ,24.30,T. Higgins WR - CIN ,19.80,M. Pittman WR - IND ,11.00,T. Higbee TE - LA IR ,4.80,D. Montgomery RB - CHI ,22.60,G. Joseph K - MIN ,9.00,Steelers DEF ,10.00,E. Kendricks LB - MIN ,0.00,D. Waller TE - LV ,0.00,J. Williams RB - DET ,8.00,C. Kirk WR - JAX ,0.40,S. Barkley RB - NYG ,7.40,D. Hilliard RB - TEN ,0.00,A. Dillon RB - GB Q ,0.00,127.92,Kevin,131.48
Kevin,7,J. Herbert QB - LAC ,26.28,T. Coleman RB - NYJ ,7.70,E. Mitchell RB - SF ,14.40,D. Johnson WR - PIT ,22.50,B. Aiyuk WR - SF ,5.50,G. Kittle TE - SF ,30.60,M. Brown WR - ARI ,5.50,D. Carlson K - LV ,11.00,Ravens DEF ,2.00,A. Singleton LB - DEN ,6.00,A. Brown WR Q ,0.00,C. Beasley WR - BUF ,1.10,D. Cook RB - MIN ,0.00,C. Ridley WR - ATL NFI-R ,0.00,D. Henderson RB - LA ,0.00,M. Carter RB - NYJ ,0.00,131.48,Jackson ,127.92
