Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,5,J. Hurts QB - PHI Q ,22.92,M. Davis RB - ATL Q ,10.10,J. Mixon RB - CIN ,9.50,C. Kirk WR - JAX ,5.00,D. Metcalf WR - SEA ,21.80,M. Andrews TE - BAL ,30.70,M. Sanders RB - PHI ,5.10,M. Crosby K - GB ,13.00,Steelers DEF ,5.00,D. Leonard LB - IND ,11.50,M. Stafford QB - LA ,16.50,S. Shepard WR - NYG IR ,0.00,A. Collins RB - SEA IR ,7.20,C. McCaffrey RB - CAR IR ,0.00,J. Smith-Schuster WR - KC ,0.60,M. Gesicki TE - MIA ,4.30,134.62,Aaron,143.18
Liam WHYTE,10,R. Wilson QB - DEN ,9.08,C. Patterson RB - ATL ,11.40,C. Carson RB - SEA IR ,0.00,M. Evans WR - TB ,23.30,S. Diggs WR - BUF ,6.90,T. Kelce TE - KC ,11.70,C. Sutton WR - DEN ,18.00,H. Butker K - KC ,10.00,Bengals DEF ,4.00,D. Perryman LB - LV Q ,11.50,Z. Ertz TE - ARI ,0.70,J. Conner RB - ARI ,9.70,P. Lindsay RB - MIA ,1.90,M. Gaskin RB - MIA ,21.90,J. Waddle WR - MIA ,4.30,D. Smith WR - PHI ,7.70,105.88,Kevin,137.22
Adam,3,K. Murray QB - ARI ,15.66,A. Kamara RB - NO ,25.20,N. Harris RB - PIT ,20.20,M. Williams WR - LAC ,28.50,J. Jefferson WR - MIN ,12.40,T. Higbee TE - LA IR ,7.40,M. Jones WR - JAX ,2.50,J. Tucker K - BAL ,3.00,Saints DEF ,6.00,Z. Cunningham LB - TEN ,3.50,R. Cobb WR - GB ,3.00,R. Woods WR - TEN IR ,15.00,Z. Pascal WR - PHI ,4.80,T. Hockenson TE - DET IR ,2.20,T. Pollard RB - DAL ,10.30,C. Claypool WR - PIT ,19.00,124.36,Jackson ,106.98
Steven,6,P. Mahomes QB - KC ,18.98,N. Chubb RB - CLE ,23.00,J. Robinson RB - JAX IR ,20.70,A. Thielen WR - MIN IR ,4.00,T. Hill WR - MIA ,7.80,R. Tonyan TE - GB IR ,0.80,T. Lockett WR - SEA ,6.70,J. Sanders K - MIA ,5.00,Cowboys DEF ,11.00,F. Oluokun LB - JAX ,3.50,D. Parker WR - NE ,0.00,D. Johnson RB - HOU ,5.10,W. Fuller WR - MIA IR ,0.00,K. Golladay WR - NYG ,0.00,Buccaneers DEF ,8.00,J. Baker LB - MIA ,9.00,101.48,Todd,141.20
Oliver,8,D. Jones QB - NYG IR ,4.82,D. Henry RB - TEN ,31.00,C. Edwards-Helaire RB - KC ,2.40,K. Allen WR - LAC ,7.50,C. Godwin WR - TB IR ,7.00,D. Schultz TE - DAL ,7.90,A. Cooper WR - CLE ,12.00,R. Blankenship K - IND IR ,7.00,Rams DEF ,7.00,N. Vigil LB - ARI ,4.50,A. Green WR - ARI ,1.30,A. Rodgers QB - GB ,19.76,R. Anderson WR - CAR ,3.00,J. Williams RB - DET ,6.50,A. Mattison RB - MIN ,19.30,Z. Moss RB - BUF ,9.20,91.12,Kevin,138.54
Aaron,1,L. Jackson QB - BAL Q ,41.88,M. Gordon RB - DEN ,4.30,A. Ekeler RB - LAC ,27.90,D. Hopkins WR - ARI IR ,14.70,C. Davis WR - NYJ IR ,4.50,D. Knox TE - BUF ,17.70,J. Jacobs RB - LV ,12.70,T. Bass K - BUF ,8.00,Colts DEF ,3.00,B. Baker DB - ARI Q ,8.50,O. Beckham WR - LA O ,2.00,B. Cooks WR - HOU Q ,2.30,A. Robinson WR - LA ,3.20,S. Darnold QB - CAR ,6.08,D. Singletary RB - BUF ,2.30,K. Pitts TE - ATL ,17.90,143.18,Liam,134.62
Kevin,2,T. Brady QB - TB ,37.74,K. Hunt RB - CLE Q ,20.90,A. Jones RB - GB ,10.90,D. Adams WR - LV ,26.60,C. Kupp WR - LA ,9.20,J. Cook TE - LAC ,2.90,D. Moore WR - CAR ,5.80,G. Zuerlein K - NYJ ,14.00,Panthers DEF ,8.00,B. Wagner LB - LA Q ,2.50,R. Gronkowski TE - TB ,0.00,D. Chark WR - DET IR ,0.00,R. Gage WR - TB ,0.00,T. McLaurin WR - WAS ,4.60,D. Swift RB - DET ,16.40,49ers DEF ,5.00,138.54,Oliver,91.12
Todd,4,J. Allen QB - BUF ,36.50,E. Elliott RB - DAL Q ,24.20,A. Gibson RB - WAS ,19.20,D. Samuel WR - SF ,13.10,J. Chase WR - CIN ,21.90,N. Fant TE - SEA ,2.00,A. Brown WR - PHI ,3.80,R. Succop K - TB ,9.00,Patriots DEF ,5.00,D. White LB - TB ,6.50,E. Sanders WR - BUF ,17.40,D. Goedert TE - PHI ,2.80,D. Harris RB - NE ,9.80,C. Lamb WR - DAL ,14.80,T. Sermon RB - SF ,0.70,Bills DEF ,17.00,141.20,Steven,101.48
Jackson ,7,D. Prescott QB - DAL ,20.68,S. Barkley RB - NYG ,0.90,C. Hubbard RB - CAR ,13.40,T. Patrick WR - DEN ,8.90,T. Higgins WR - CIN ,5.20,D. Waller TE - LV ,4.50,J. Taylor RB - IND ,28.90,Y. Koo K - ATL ,12.00,Broncos DEF ,3.00,E. Kendricks LB - MIN ,9.50,J. Jones WR - TEN ,0.00,C. Beasley WR - BUF ,0.50,M. Thomas WR - NO PUP ,0.00,L. Fournette RB - TB ,17.00,C. Edmonds RB - MIA ,3.40,D. Montgomery RB - CHI ,0.00,106.98,Adam,124.36
Kevin,9,J. Herbert QB - LAC ,42.82,D. Williams RB - ATL ,14.40,D. Cook RB - MIN ,0.00,A. Brown WR Q ,24.40,D. Johnson WR - PIT ,13.20,A. Hooper TE - TEN ,2.00,D. Henderson RB - LA ,15.90,D. Carlson K - LV ,3.00,Titans DEF ,13.00,R. Smith LB - CHI ,8.50,G. Kittle TE - SF ,0.00,C. Ridley WR - ATL NFI-R ,0.00,M. Brown WR - ARI ,24.50,J. Williams RB - DEN ,8.60,M. Carter RB - NYJ ,12.30,E. Mitchell RB - SF ,6.20,137.22,Liam WHYTE,105.88
