Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,4,J. Hurts QB - PHI Q ,12.96,J. Mixon RB - CIN ,8.60,S. Michel RB - LA ,15.90,H. Renfrow WR - LV ,13.60,J. Jefferson WR - MIN ,5.80,M. Gesicki TE - MIA ,6.10,J. Patterson RB - WAS ,15.80,R. Succop K - TB ,8.00,49ers DEF ,9.00,J. Hicks LB - MIN ,1.00,M. Stafford QB - LA ,14.26,W. Smallwood RB - WAS ,2.20,J. Jackson RB - LAC ,7.10,D. Metcalf WR - SEA ,24.90,M. Sanders RB - PHI ,0.00,M. Parsons LB - DAL ,5.50,96.76,Kevin,106.40
Liam WHYTE,10,R. Wilson QB - DEN ,27.84,C. Patterson RB - ATL ,5.20,J. Conner RB - ARI ,0.00,M. Evans WR - TB ,11.70,S. Diggs WR - BUF ,5.20,T. Kelce TE - KC ,8.40,J. Williams RB - DEN ,3.20,Y. Koo K - ATL ,7.00,Bengals DEF ,-1.00,L. Collins DB - WAS IR ,0.00,Z. Ertz TE - ARI ,4.10,E. Engram TE - JAX ,1.20,M. Gaskin RB - MIA ,2.30,J. Waddle WR - MIA ,4.70,D. Smith WR - PHI ,5.40,H. Butker K - KC ,7.00,67.54,-,-
Adam,6,K. Murray QB - ARI ,22.92,R. Jones RB - KC Q ,2.70,N. Harris RB - PIT ,26.60,A. Brown WR Q ,2.60,M. Williams WR - LAC ,12.30,M. Andrews TE - BAL ,8.90,A. Kamara RB - NO ,16.00,B. McManus K - DEN ,10.00,Patriots DEF ,12.00,A. Singleton LB - DEN ,6.00,D. Foreman RB - CAR ,19.20,V. Jefferson WR - LA ,6.30,C. Claypool WR - PIT ,1.70,C. Hubbard RB - CAR ,13.80,E. Moore WR - NYJ COV ,0.00,P. Freiermuth TE - PIT ,3.20,120.02,Jackson ,122.94
Steven,5,P. Mahomes QB - KC ,20.86,D. Freeman RB - BAL Q ,7.70,N. Chubb RB - CLE ,5.80,T. Lockett WR - SEA ,9.10,T. Hill WR - MIA ,4.20,N. Fant TE - SEA ,15.20,C. Beasley WR - BUF ,4.20,J. Sanders K - MIA ,3.00,Dolphins DEF ,0.00,F. Oluokun LB - JAX ,14.00,J. Landry WR - CLE ,4.90,D. Parker WR - NE ,4.60,T. Heinicke QB - WAS ,9.28,D. Booker RB - NYG ,4.60,C. Boswell K - PIT ,16.00,Broncos DEF ,-1.00,84.06,Kevin,83.58
Oliver,9,A. Rodgers QB - GB ,20.32,C. Edmonds RB - MIA ,8.20,B. Scott RB - PHI ,20.60,K. Allen WR - LAC ,10.40,A. St. Brown WR - DET ,27.40,D. Schultz TE - DAL ,5.40,D. Johnson RB - BUF ,8.50,M. Crosby K - GB ,13.00,Packers DEF ,6.00,J. Brooks LB - SEA ,7.00,A. Green WR - ARI ,7.40,A. Cooper WR - CLE ,7.80,M. Breida RB - NYG ,0.00,R. Penny RB - SEA ,30.50,A. Mattison RB - MIN ,1.30,N. Folk K - NE ,8.00,126.82,-,-
Aaron,2,J. Burrow QB - CIN ,34.84,A. Ekeler RB - LAC ,17.20,J. Jacobs RB - LV ,14.00,O. Beckham WR - LA O ,10.90,B. Cooks WR - HOU Q ,12.60,K. Pitts TE - ATL ,6.90,M. Gordon RB - DEN ,7.20,T. Bass K - BUF ,3.00,Cowboys DEF ,1.00,C. Mosley LB - NYJ ,10.00,C. Newton QB - CAR ,0.50,D. Hopkins WR - ARI IR ,0.00,J. Howard RB - PHI ,2.60,L. Jackson QB - BAL Q ,0.00,R. Gage WR - TB ,5.00,D. Singletary RB - BUF ,23.00,117.64,Todd,101.70
Kevin,3,T. Brady QB - TB ,26.40,A. Jones RB - GB ,10.60,D. Swift RB - DET ,3.90,D. Adams WR - LV ,19.60,C. Kupp WR - LA ,15.50,R. Gronkowski TE - TB ,11.50,D. Moore WR - CAR ,2.90,J. Tucker K - BAL ,13.00,Cardinals DEF ,3.00,B. Wagner LB - LA Q ,0.00,K. Hunt RB - CLE Q ,0.00,K. Bourne WR - NE ,9.30,J. Wilson RB - SF Q ,1.00,T. Johnson RB - NYJ ,14.20,T. McLaurin WR - WAS ,6.10,C. Reynolds RB - DET ,1.30,106.40,Liam,96.76
Todd,1,J. Allen QB - BUF ,20.90,E. Elliott RB - DAL Q ,3.00,D. Williams RB - KC ,22.70,A. Brown WR - PHI ,4.10,D. Samuel WR - SF ,14.20,D. Goedert TE - PHI ,7.10,D. Harris RB - NE ,16.70,M. Gay K - LA ,2.00,Buccaneers DEF ,3.00,D. Campbell LB - GB ,8.00,D. Ogunbowale RB - HOU ,12.80,D. Knox TE - BUF ,0.00,C. Lamb WR - DAL ,5.10,C. Edwards-Helaire RB - KC ,0.00,A. Gibson RB - WAS ,0.00,J. Chase WR - CIN ,44.60,101.70,Aaron,117.64
Jackson ,8,D. Prescott QB - DAL ,27.04,S. Barkley RB - NYG ,10.20,J. Taylor RB - IND ,17.40,T. Higgins WR - CIN ,6.20,M. Pittman WR - IND ,4.70,D. Njoku TE - CLE ,8.80,D. Montgomery RB - CHI ,18.10,G. Joseph K - MIN ,6.00,Steelers DEF ,14.00,T. Edwards LB - PHI Q ,10.50,D. Waller TE - LV ,0.00,L. Fournette RB - TB ,0.00,J. Williams RB - DET ,10.40,C. Kirk WR - JAX ,7.90,A. Dillon RB - GB Q ,20.30,E. Kendricks LB - MIN ,7.50,122.94,Adam,120.02
Kevin,7,J. Herbert QB - LAC ,17.68,D. Cook RB - MIN ,1.30,M. Carter RB - NYJ ,6.30,D. Johnson WR - PIT ,9.10,B. Aiyuk WR - SF ,11.40,G. Kittle TE - SF ,3.50,M. Brown WR - ARI ,0.80,D. Carlson K - LV ,11.00,Ravens DEF ,14.00,R. Smith LB - CHI ,8.50,R. Burkhead RB - HOU ,7.90,T. Coleman RB - NYJ ,0.00,G. Igwebuike RB - DET ,0.50,D. Henderson RB - LA ,0.00,J. Jeudy WR - DEN ,0.00,E. Mitchell RB - SF ,19.00,83.58,Steven,84.06
