Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,5,M. Stafford QB - DET ,13.18,R. Kelley RB - WAS ,7.80,L. Fournette RB - JAX ,12.10,A. Green WR - CIN ,6.70,J. Jones WR - ATL ,10.80,T. Kelce TE - KC ,16.30,F. Gore RB - IND ,10.60,G. Zuerlein K - LA ,8.00,Buccaneers DEF ,19.00,L. Kuechly LB - CAR ,6.00,K. Britt WR - NE ,0.20,D. Martin RB - TB ,0.00,D. Adams WR - GB ,15.90,D. Moncrief WR - IND ,1.80,D. Henry RB - TEN ,15.20,J. Mixon RB - CIN ,4.10,110.48,Adam,116.18
Liam WHYTE,6,M. Mariota QB - TEN ,13.00,M. Gordon RB - LAC ,13.80,T. Gurley RB - LA ,25.60,J. Maclin WR - BAL ,9.10,D. Hopkins WR - HOU ,7.30,T. Eifert TE - CIN ,4.20,A. Jeffery WR - PHI ,15.20,A. Rosas K - NYG ,4.00,Panthers DEF ,10.00,K. Alexander LB - TB ,4.00,B. Powell RB - NYJ ,1.30,R. Cobb WR - GB ,7.00,B. Marshall WR - NYG ,1.70,J. Matthews WR - BUF ,3.00,A. Hooper TE - ATL ,0.70,C. Kupp WR - LA ,4.30,106.20,Steven,65.62
Adam,1,T. Brady QB - NE ,30.78,T. West RB - BAL ,10.50,K. Hunt RB - KC ,22.90,J. Nelson WR - GB ,0.00,L. Fitzgerald WR - ARI ,2.10,J. Witten TE - DAL ,15.70,E. Decker WR - TEN ,3.20,S. Gostkowski K - NE ,12.00,Cardinals DEF ,10.00,J. Brown LB - LAC ,9.00,E. Sanders WR - DEN ,18.20,A. Thielen WR - MIN ,2.40,C. Hyde RB - SF ,15.30,T. Rawls RB - SEA ,2.40,J. Howard RB - CHI ,0.70,K. Golladay WR - DET ,0.80,116.18,Liam,110.48
Steven,10,D. Prescott QB - DAL ,15.92,M. Lynch RB - LV ,10.90,E. Elliott RB - DAL ,2.20,J. Landry WR - MIA ,7.10,D. Parker WR - MIA ,8.50,J. Graham TE - SEA ,0.10,T. Ginn WR - NO ,2.40,J. Tucker K - BAL ,6.00,Raiders DEF ,9.00,P. Brown LB - BUF ,3.50,J. Cutler QB - MIA ,13.10,P. Rivers QB - LAC ,17.24,A. Luck QB - IND ,0.00,J. Crowder WR - WAS ,5.70,D. Johnson RB - ARI ,0.00,T. Williams WR - LAC ,5.40,65.62,Liam WHYTE,106.20
Oliver,7,D. Brees QB - NO ,24.24,L. Bell RB - PIT ,9.10,C. Anderson RB - DEN ,27.40,D. Bryant WR - DAL ,11.90,M. Lee WR - JAX ,8.60,R. Gronkowski TE - NE ,17.60,A. Abdullah RB - DET ,8.60,B. Walsh K - SEA ,6.00,Seahawks DEF ,8.00,J. Watt DL - HOU ,6.50,R. Matthews WR - TEN ,4.30,D. Carr QB - LV ,21.20,T. Lockett WR - SEA ,6.40,N. Agholor WR - PHI ,6.90,S. Shepard WR - NYG ,3.00,J. Smith LB - DAL ,6.50,127.94,Kevin,88.82
Aaron,9,C. Newton QB - CAR ,11.82,D. Freeman RB - ATL ,22.00,I. Crowell RB - CLE ,3.70,D. Thomas WR - DEN ,7.10,T. Hilton WR - IND ,4.90,D. Walker TE - TEN ,12.20,J. Stewart RB - CAR ,4.00,M. Crosby K - GB ,5.00,Vikings DEF ,2.00,A. Ogletree LB - LA ,11.00,B. Roethlisberger QB - PIT ,17.52,A. Peterson RB - ARI ,2.60,L. Murray RB - MIN ,0.60,K. Benjamin WR - BUF ,7.70,M. Bryant WR - PIT ,15.80,J. James TE - PIT ,2.70,83.72,Jackson ,119.22
Kevin,8,A. Rodgers QB - GB ,18.52,L. McCoy RB - BUF ,4.30,M. Ingram RB - NO ,7.60,M. Crabtree WR - LV ,26.00,S. Diggs WR - MIN ,3.10,G. Olsen TE - CAR ,1.00,A. Cooper WR - LV ,3.30,D. Bailey K - DAL ,7.00,Chiefs DEF ,11.00,J. Bethel DB - ARI ,7.00,J. Cook TE - LV ,2.50,M. Jones WR - DET ,8.70,T. Riddick RB - DET ,3.70,T. Gabriel WR - ATL ,2.10,J. Winston QB - TB ,12.46,C. Davis WR - TEN ,0.40,88.82,Oliver,127.94
Todd,4,M. Ryan QB - ATL ,14.88,L. Miller RB - HOU ,8.70,D. Cook RB - MIN ,6.40,A. Brown WR - PIT ,6.20,M. Thomas WR - NO ,8.90,K. Rudolph TE - MIN ,4.50,K. Allen WR - LAC ,10.00,M. Prater K - DET ,8.00,Jaguars DEF ,-1.00,B. Wagner LB - SEA ,9.50,L. Blount RB - PHI ,0.00,A. Smith QB - KC ,16.14,T. Pryor WR - WAS ,3.10,C. Coleman WR - CLE ,0.90,T. Cohen RB - CHI ,5.80,Broncos DEF ,13.00,76.08,Kevin,77.36
Jackson ,3,R. Wilson QB - SEA ,15.32,T. Montgomery RB - GB ,23.00,J. Ajayi RB - PHI ,12.60,D. Baldwin WR - SEA ,4.40,M. Evans WR - TB ,15.30,J. Reed TE - WAS ,6.80,B. Cooks WR - NE ,4.30,M. Bryant K - ATL ,14.00,Ravens DEF ,17.00,L. Collins DB - NYG ,6.50,M. Bennett TE - NE ,4.70,P. Garcon WR - SF ,2.60,T. Taylor QB - BUF ,10.50,E. Lacy RB - SEA ,0.00,T. Coleman RB - ATL ,10.50,P. Perkins RB - NYG ,2.20,119.22,Aaron,83.72
Kevin,2,K. Cousins QB - WAS ,13.86,D. Murray RB - TEN ,3.80,J. Rodgers RB - TB ,12.70,S. Watkins WR - LA ,3.00,T. Hill WR - KC ,4.90,Z. Ertz TE - PHI ,9.70,C. McCaffrey RB - CAR ,4.40,C. Boswell K - PIT ,14.00,Rams DEF ,2.00,N. Bowman LB - LV ,9.00,G. Tate WR - DET ,2.50,M. Gillislee RB - NE ,12.90,K. Williams RB - ARI ,2.20,J. Doyle TE - IND ,7.90,O. Beckham WR - NYG ,3.60,C. Wentz QB - PHI ,26.82,77.36,Todd,76.08
