Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,2,D. Brees QB - NO ,19.14,C. Ivory RB - JAX ,8.70,D. Martin RB - TB ,8.00,A. Green WR - CIN ,4.10,J. Jones WR - ATL ,15.90,T. Kelce TE - KC ,9.30,A. Kamara RB - NO ,10.70,G. Zuerlein K - LA ,17.00,Rams DEF ,17.00,L. Kuechly LB - CAR ,0.00,M. Stafford QB - DET ,0.00,C. Anderson RB - DEN ,6.10,D. Adams WR - GB ,1.20,D. Henry RB - TEN ,2.40,L. Fournette RB - JAX ,0.00,J. Mixon RB - CIN ,8.80,109.84,Liam WHYTE,103.32
Liam WHYTE,3,C. Wentz QB - PHI ,33.02,M. Gordon RB - LAC ,4.40,T. Gurley RB - LA ,21.40,C. Hogan WR - NE ,7.10,A. Jeffery WR - PHI ,3.70,C. Brate TE - TB ,6.00,T. Rawls RB - SEA ,3.20,R. Succop K - TEN ,12.00,Eagles DEF ,6.00,R. Shazier LB - PIT ,6.50,B. Powell RB - NYJ ,9.30,R. Cobb WR - GB ,2.50,D. Hopkins WR - HOU ,0.00,S. Watkins WR - LA ,4.20,M. Mariota QB - TEN ,8.92,Lions DEF ,0.00,103.32,Liam,109.84
Adam,1,T. Brady QB - NE ,20.46,J. Howard RB - CHI ,6.50,K. Hunt RB - KC ,11.70,J. Nelson WR - GB ,1.30,A. Thielen WR - MIN ,4.10,E. Engram TE - NYG ,12.00,J. McKinnon RB - MIN ,5.70,S. Gostkowski K - NE ,11.00,Jaguars DEF ,20.00,M. Ingram DL - LAC ,5.00,E. Sanders WR - DEN ,0.00,J. Witten TE - DAL ,11.40,L. Fitzgerald WR - ARI ,2.90,C. Hyde RB - SF ,8.80,J. Allen RB - BAL ,5.90,W. Fuller WR - HOU ,0.00,97.76,Oliver,81.98
Steven,8,D. Prescott QB - DAL ,29.96,M. Lynch RB - LV ,0.90,E. Elliott RB - DAL ,39.90,T. Ginn WR - NO ,16.10,J. Landry WR - MIA ,16.30,J. Graham TE - SEA ,11.10,R. Woods WR - LA ,6.30,J. Tucker K - BAL ,12.00,Dolphins DEF ,6.00,R. Jones DB - MIA ,8.00,P. Rivers QB - LAC ,15.32,A. Luck QB - IND ,0.00,A. Morris RB - DAL ,2.40,W. Snead WR - NO ,0.00,D. Parker WR - MIA ,0.00,D. Johnson RB - ARI ,0.00,146.56,Kevin,125.66
Oliver,7,C. Palmer QB - ARI ,2.88,F. Gore RB - IND ,3.40,L. Bell RB - PIT ,19.20,D. Jackson WR - TB ,7.30,D. Bryant WR - DAL ,12.30,R. Gronkowski TE - NE ,5.10,A. Jones RB - GB ,19.80,D. Bailey K - DAL ,2.00,Seahawks DEF ,7.00,J. Bostic LB - IND ,3.00,R. Matthews WR - TEN ,4.00,M. Lee WR - JAX ,7.20,A. Abdullah RB - DET ,0.00,D. Johnson RB - CLE ,7.10,D. Watson QB - HOU ,0.00,Patriots DEF ,5.00,81.98,Adam,97.76
Aaron,9,C. Newton QB - CAR ,7.44,J. Stewart RB - CAR ,4.80,D. Freeman RB - ATL ,9.00,D. Thomas WR - DEN ,0.90,T. Hilton WR - IND ,2.70,D. Walker TE - TEN ,5.30,N. Agholor WR - PHI ,10.50,G. Gano K - CAR ,3.00,Ravens DEF ,2.00,A. Ogletree LB - LA ,3.50,B. Roethlisberger QB - PIT ,16.66,K. Benjamin WR - BUF ,6.50,M. Bryant WR - PIT ,0.50,I. Crowell RB - CLE ,8.10,O. Darkwa RB - NYG ,4.80,Texans DEF ,0.00,49.14,Todd,94.82
Kevin,10,R. Wilson QB - SEA ,26.36,M. Ingram RB - NO ,17.00,A. Peterson RB - ARI ,3.30,D. Baldwin WR - SEA ,16.20,A. Cooper WR - LV ,33.00,J. Cook TE - LV ,10.70,T. Coleman RB - ATL ,1.60,H. Butker K - KC ,14.00,Chiefs DEF ,-1.00,K. Mack DL - LV ,4.50,M. Jones WR - DET ,0.00,C. Thompson RB - WAS ,13.40,D. Carr QB - LV ,30.18,T. Gabriel WR - ATL ,1.90,J. Winston QB - TB ,25.36,S. Diggs WR - MIN ,0.00,125.66,Steven,146.56
Todd,4,M. Ryan QB - ATL ,17.02,L. Blount RB - PHI ,2.90,L. Murray RB - MIN ,17.30,A. Brown WR - PIT ,12.50,K. Allen WR - LAC ,4.10,K. Rudolph TE - MIN ,4.30,M. Thomas WR - NO ,9.20,J. Elliott K - PHI ,12.00,Bills DEF ,7.00,T. Smith LB - JAX ,8.50,E. Dickson TE - CAR ,1.80,A. Smith QB - KC ,27.68,T. Pryor WR - WAS ,1.40,L. Miller RB - HOU ,0.00,M. Prater K - DET ,0.00,B. Wagner LB - SEA ,8.00,94.82,Aaron,49.14
Jackson ,5,T. Taylor QB - BUF ,20.02,L. McCoy RB - BUF ,22.20,J. Ajayi RB - PHI ,7.70,M. Evans WR - TB ,16.80,B. Cooks WR - NE ,12.50,J. Reed TE - WAS ,18.40,T. Montgomery RB - GB ,1.50,M. Bryant K - ATL ,1.00,Cowboys DEF ,15.00,L. Collins DB - NYG ,6.50,P. Garcon WR - SF ,4.90,M. Crabtree WR - LV ,8.40,G. Olsen TE - CAR ,0.00,A. Rodgers QB - GB ,0.00,C. Beathard QB - SF ,15.40,Vikings DEF ,6.00,121.62,Kevin,85.22
Kevin,6,K. Cousins QB - WAS ,23.92,M. Gillislee RB - NE ,3.10,C. McCaffrey RB - CAR ,5.60,E. Decker WR - TEN ,0.00,T. Hill WR - KC ,19.20,Z. Ertz TE - PHI ,14.90,R. Kelley RB - WAS ,3.00,P. Dawson K - ARI ,0.00,Titans DEF ,12.00,K. Beckwith LB - TB ,3.50,S. Bradford QB - MIN ,0.00,G. Tate WR - DET ,0.00,P. Perkins RB - NYG ,0.00,W. Gallman RB - NYG ,3.90,-,-,-,-,85.22,Jackson ,121.62
