Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,5,M. Stafford QB - DET ,15.16,F. Gore RB - IND ,10.60,L. Fournette RB - JAX ,30.40,A. Green WR - CIN ,22.90,D. Moncrief WR - IND ,3.20,T. Kelce TE - KC ,9.80,J. Mixon RB - CIN ,12.10,G. Zuerlein K - LA ,4.00,Steelers DEF ,5.00,L. Kuechly LB - CAR ,6.50,J. Jones WR - ATL ,0.00,D. Martin RB - TB ,14.20,D. Adams WR - GB ,18.60,D. Henry RB - TEN ,0.90,R. Kelley RB - WAS ,0.00,A. Kamara RB - NO ,0.00,119.66,Aaron,88.20
Liam WHYTE,2,C. Wentz QB - PHI ,27.26,B. Powell RB - NYJ ,3.30,T. Gurley RB - LA ,3.00,C. Hogan WR - NE ,14.40,D. Hopkins WR - HOU ,23.20,C. Clay TE - BUF ,3.10,M. Gordon RB - LAC ,28.30,R. Succop K - TEN ,4.00,Lions DEF ,3.00,R. Shazier LB - PIT ,9.50,R. Cobb WR - GB ,2.90,A. Jeffery WR - PHI ,3.10,M. Mariota QB - TEN ,0.00,-,-,-,-,-,-,119.06,Jackson ,75.82
Adam,1,T. Brady QB - NE ,12.62,J. Howard RB - CHI ,7.60,K. Hunt RB - KC ,11.60,J. Nelson WR - GB ,8.40,L. Fitzgerald WR - ARI ,5.10,E. Engram TE - NYG ,0.00,C. Hyde RB - SF ,3.80,S. Gostkowski K - NE ,13.00,Jaguars DEF ,28.00,C. Mosley LB - BAL ,4.50,E. Sanders WR - DEN ,0.00,J. Witten TE - DAL ,4.10,A. Thielen WR - MIN ,4.50,T. West RB - BAL ,1.70,J. Allen RB - BAL ,15.00,J. Brown LB - LAC ,5.00,94.62,Kevin,80.14
Steven,9,D. Prescott QB - DAL ,29.74,M. Lynch RB - LV ,11.30,E. Elliott RB - DAL ,13.20,J. Landry WR - MIA ,11.40,D. Parker WR - MIA ,0.60,M. Bennett TE - NE ,5.30,T. Williams WR - LAC ,2.20,J. Tucker K - BAL ,12.00,Raiders DEF ,0.00,P. Brown LB - BUF ,6.00,J. Cutler QB - MIA ,6.48,P. Rivers QB - LAC ,20.82,T. Ginn WR - NO ,0.00,A. Luck QB - IND ,0.00,J. Crowder WR - WAS ,0.00,D. Johnson RB - ARI ,0.00,91.74,Kevin,77.84
Oliver,7,D. Watson QB - HOU ,36.54,L. Bell RB - PIT ,9.30,A. Abdullah RB - DET ,3.40,D. Bryant WR - DAL ,11.20,R. Matthews WR - TEN ,3.10,D. Allen TE - NE ,0.00,D. Johnson RB - CLE ,14.30,B. Walsh K - SEA ,10.00,Seahawks DEF ,16.00,J. Watt DL - HOU ,1.00,R. Gronkowski TE - NE ,0.00,B. Marshall WR - NYG ,1.50,D. Brees QB - NO ,0.00,C. Anderson RB - DEN ,0.00,M. Lee WR - JAX ,4.90,S. Shepard WR - NYG ,0.90,104.84,Todd,102.36
Aaron,8,C. Newton QB - CAR ,28.20,J. Stewart RB - CAR ,4.40,I. Crowell RB - CLE ,8.70,T. Hilton WR - IND ,17.70,M. Bryant WR - PIT ,3.40,D. Walker TE - TEN ,2.50,K. Benjamin WR - BUF ,11.80,G. Gano K - CAR ,9.00,Texans DEF ,-3.00,A. Ogletree LB - LA ,5.50,D. Thomas WR - DEN ,0.00,B. Roethlisberger QB - PIT ,2.58,D. Freeman RB - ATL ,0.00,N. Agholor WR - PHI ,15.30,T. Siemian QB - DEN ,0.00,J. Richard RB - LV ,3.70,88.20,Liam,119.66
Kevin,10,A. Rodgers QB - GB ,24.04,C. Johnson RB ,2.90,L. McCoy RB - BUF ,8.90,M. Crabtree WR - LV ,14.20,S. Diggs WR - MIN ,0.40,J. Cook TE - LV ,0.50,M. Jones WR - DET ,5.40,D. Bailey K - DAL ,7.00,Chiefs DEF ,10.00,J. Bethel DB - ARI ,4.50,M. Ingram RB - NO ,0.00,D. Carr QB - LV ,0.00,T. Gabriel WR - ATL ,0.00,J. Winston QB - TB ,20.46,A. Cooper WR - LV ,0.80,K. Mack DL - LV ,7.00,77.84,Steven,91.74
Todd,4,A. Smith QB - KC ,26.86,L. Blount RB - PHI ,7.40,L. Miller RB - HOU ,8.90,A. Brown WR - PIT ,15.70,K. Allen WR - LAC ,6.70,K. Rudolph TE - MIN ,10.50,L. Murray RB - MIN ,4.30,M. Prater K - DET ,6.00,Bills DEF ,8.00,B. Wagner LB - SEA ,8.00,M. Ryan QB - ATL ,0.00,T. Pryor WR - WAS ,0.00,C. Thompson RB - WAS ,0.00,G. Bernard RB - CIN ,4.20,M. Thomas WR - NO ,0.00,Broncos DEF ,0.00,102.36,Oliver,104.84
Jackson ,6,R. Wilson QB - SEA ,12.52,J. Ajayi RB - PHI ,5.90,T. Rawls RB - SEA ,3.50,D. Baldwin WR - SEA ,3.70,M. Evans WR - TB ,4.90,C. Brate TE - TB ,12.80,B. Cooks WR - NE ,8.50,K. Forbath K - MIN ,8.00,Jets DEF ,8.00,L. Collins DB - NYG ,8.00,P. Garcon WR - SF ,9.40,G. Olsen TE - CAR ,0.00,J. Reed TE - WAS ,0.00,T. Montgomery RB - GB ,0.00,T. Coleman RB - ATL ,0.00,M. Bryant K - ATL ,0.00,75.82,Liam WHYTE,119.06
Kevin,3,T. Taylor QB - BUF ,8.94,D. Murray RB - TEN ,4.90,W. Gallman RB - NYG ,8.20,O. Beckham WR - NYG ,16.50,T. Hill WR - KC ,6.80,Z. Ertz TE - PHI ,12.10,M. Gillislee RB - NE ,5.20,P. Dawson K - ARI ,1.00,Titans DEF ,9.00,N. Bowman LB - LV ,7.50,S. Bradford QB - MIN ,1.44,G. Tate WR - DET ,4.80,K. Cousins QB - WAS ,0.00,C. McCaffrey RB - CAR ,9.80,A. Jones RB - GB ,19.40,-,-,80.14,Adam,94.62
