Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,6,M. Stafford QB - DET ,16.46,F. Gore RB - IND ,11.70,L. Fournette RB - JAX ,14.00,A. Green WR - CIN ,17.10,J. Jones WR - ATL ,9.10,T. Kelce TE - KC ,0.10,D. Adams WR - GB ,6.00,G. Zuerlein K - LA ,11.00,Steelers DEF ,6.00,L. Kuechly LB - CAR ,7.00,K. Britt WR - NE ,11.40,D. Martin RB - TB ,0.00,D. Moncrief WR - IND ,4.40,D. Henry RB - TEN ,6.40,R. Kelley RB - WAS ,0.00,J. Mixon RB - CIN ,10.10,98.46,Kevin,101.00
Liam WHYTE,4,M. Mariota QB - TEN ,19.70,M. Gordon RB - LAC ,13.90,T. Gurley RB - LA ,32.90,D. Hopkins WR - HOU ,8.60,C. Kupp WR - LA ,1.70,C. Clay TE - BUF ,9.90,C. Carson RB - SEA ,11.20,B. McManus K - DEN ,10.00,Panthers DEF ,0.00,C. Kirksey LB - CLE ,8.00,J. Maclin WR - BAL ,0.80,B. Powell RB - NYJ ,9.70,R. Cobb WR - GB ,0.00,A. Jeffery WR - PHI ,5.60,J. Matthews WR - BUF ,6.10,A. Hooper TE - ATL ,1.90,115.90,Todd,112.56
Adam,2,T. Brady QB - NE ,35.72,J. Allen RB - BAL ,2.80,K. Hunt RB - KC ,24.30,J. Nelson WR - GB ,17.20,E. Sanders WR - DEN ,7.50,J. Witten TE - DAL ,0.30,C. Hyde RB - SF ,21.40,S. Gostkowski K - NE ,4.00,Ravens DEF ,-4.00,J. Brown LB - LAC ,8.00,A. Thielen WR - MIN ,9.80,T. West RB - BAL ,0.60,J. Nelson WR - ARI ,0.00,T. Rawls RB - SEA ,0.00,J. Howard RB - CHI ,26.60,K. Golladay WR - DET ,2.50,117.22,Kevin,108.12
Steven,10,D. Prescott QB - DAL ,22.92,M. Lynch RB - LV ,2.60,E. Elliott RB - DAL ,15.40,J. Landry WR - MIA ,5.80,D. Parker WR - MIA ,13.60,E. Ebron TE - DET ,0.90,T. Ginn WR - NO ,11.90,J. Tucker K - BAL ,1.00,Raiders DEF ,5.00,P. Brown LB - BUF ,7.00,J. Cutler QB - MIA ,11.70,P. Rivers QB - LAC ,3.48,A. Luck QB - IND ,0.00,J. Crowder WR - WAS ,3.20,D. Johnson RB - ARI ,0.00,T. Williams WR - LAC ,2.50,86.12,Aaron,90.40
Oliver,7,D. Carr QB - LV ,5.22,L. Bell RB - PIT ,15.80,C. Anderson RB - DEN ,4.30,D. Bryant WR - DAL ,7.20,M. Lee WR - JAX ,6.50,R. Gronkowski TE - NE ,15.90,A. Abdullah RB - DET ,8.60,G. Tavecchio K - LV ,4.00,Dolphins DEF ,5.00,J. Watt DL - HOU ,5.50,D. Brees QB - NO ,20.80,R. Matthews WR - TEN ,14.70,T. Lockett WR - SEA ,3.00,S. Shepard WR - NYG ,20.30,B. Walsh K - SEA ,3.00,Seahawks DEF ,-1.00,78.02,Jackson ,136.62
Aaron,8,B. Roethlisberger QB - PIT ,12.00,D. Freeman RB - ATL ,19.80,I. Crowell RB - CLE ,5.40,T. Hilton WR - IND ,21.30,M. Bryant WR - PIT ,3.00,D. Walker TE - TEN ,3.10,J. Richard RB - LV ,0.80,G. Gano K - CAR ,7.00,Vikings DEF ,9.00,A. Ogletree LB - LA ,9.00,J. Stewart RB - CAR ,6.10,D. Thomas WR - DEN ,9.80,C. Newton QB - CAR ,10.28,K. Benjamin WR - BUF ,0.80,N. Agholor WR - PHI ,2.00,J. James TE - PIT ,1.90,90.40,Steven,86.12
Kevin,9,A. Rodgers QB - GB ,24.82,M. Forte RB - NYJ ,2.50,L. McCoy RB - BUF ,6.90,M. Crabtree WR - LV ,0.70,S. Diggs WR - MIN ,29.30,J. Cook TE - LV ,10.30,M. Ingram RB - NO ,8.60,D. Bailey K - DAL ,4.00,Chiefs DEF ,12.00,K. Mack DL - LV ,9.00,M. Jones WR - DET ,2.40,T. Riddick RB - DET ,3.80,T. Gabriel WR - ATL ,14.90,J. Winston QB - TB ,19.52,A. Cooper WR - LV ,1.60,J. Bethel DB - ARI ,1.00,108.12,Adam,117.22
Todd,5,M. Ryan QB - ATL ,13.66,L. Miller RB - HOU ,6.30,D. Cook RB - MIN ,22.90,A. Brown WR - PIT ,17.00,M. Thomas WR - NO ,14.70,K. Rudolph TE - MIN ,0.40,K. Allen WR - LAC ,6.10,M. Prater K - DET ,18.00,Broncos DEF ,4.00,B. Wagner LB - SEA ,9.50,L. Blount RB - PHI ,12.70,A. Smith QB - KC ,17.10,T. Pryor WR - WAS ,1.90,C. Thompson RB - WAS ,24.80,C. Coleman WR - CLE ,0.00,T. Cohen RB - CHI ,10.20,112.56,Liam WHYTE,115.90
Jackson ,1,R. Wilson QB - SEA ,39.52,T. Montgomery RB - GB ,5.00,J. Ajayi RB - PHI ,2.50,D. Baldwin WR - SEA ,16.50,M. Evans WR - TB ,6.70,V. Davis TE - WAS ,11.80,B. Cooks WR - NE ,27.10,M. Bryant K - ATL ,12.00,Patriots DEF ,6.00,L. Collins DB - NYG ,9.50,D. Jackson WR - TB ,14.40,P. Garcon WR - SF ,14.20,T. Taylor QB - BUF ,17.82,G. Olsen TE - CAR ,0.00,J. Reed TE - WAS ,0.00,T. Coleman RB - ATL ,8.90,136.62,Oliver,78.02
Kevin,3,K. Cousins QB - WAS ,26.80,J. Rodgers RB - TB ,1.50,M. Gillislee RB - NE ,3.10,O. Beckham WR - NYG ,19.90,T. Hill WR - KC ,15.00,Z. Ertz TE - PHI ,10.50,C. McCaffrey RB - CAR ,11.70,C. Boswell K - PIT ,5.00,Rams DEF ,4.00,N. Bowman LB - LV ,3.50,G. Tate WR - DET ,11.80,D. Murray RB - TEN ,18.00,K. Williams RB - ARI ,0.30,J. Doyle TE - IND ,-0.40,S. Watkins WR - LA ,22.60,C. Wentz QB - PHI ,13.24,101.00,Liam,98.46
