Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,2,D. Brees QB - NO ,17.14,P. Barber RB - TB ,4.80,A. Kamara RB - NO ,14.90,A. Green WR - CIN ,3.00,J. Jones WR - ATL ,5.40,T. Kelce TE - KC ,5.60,D. Adams WR - GB ,11.70,G. Zuerlein K - LA ,10.00,Chargers DEF ,0.00,L. Kuechly LB - CAR ,3.00,M. Stafford QB - DET ,17.38,D. Martin RB - TB ,0.00,K. Stills WR - MIA ,1.80,C. Anderson RB - DEN ,15.80,L. Fournette RB - JAX ,0.00,J. Mixon RB - CIN ,0.00,75.54,Todd,109.54
Liam WHYTE,4,A. Rodgers QB - GB ,21.90,M. Gordon RB - LAC ,22.90,T. Gurley RB - LA ,42.00,D. Hopkins WR - HOU ,14.00,D. Funchess WR - CAR ,1.90,G. Olsen TE - CAR ,17.60,M. Evans WR - TB ,13.90,C. Boswell K - PIT ,8.00,Saints DEF ,6.00,C. Kirksey LB - CLE ,10.00,D. Lewis RB - NE ,14.00,A. Jeffery WR - PHI ,10.90,S. Watkins WR - LA ,1.40,J. Allen RB - BAL ,7.40,M. Davis RB - SEA ,3.90,C. Wentz QB - PHI ,0.00,158.20,Adam,64.72
Adam,1,T. Brady QB - NE ,15.72,J. Howard RB - CHI ,6.30,J. Williams RB - GB ,4.00,M. Sanu WR - ATL ,2.60,A. Thielen WR - MIN ,3.00,J. Doyle TE - IND ,4.70,C. Hyde RB - SF ,3.90,S. Gostkowski K - NE ,7.00,Jaguars DEF ,10.00,N. Bowman LB - LV ,7.50,J. Nelson WR - GB ,3.80,L. Fitzgerald WR - ARI ,6.00,J. McKinnon RB - MIN ,13.80,J. Garoppolo QB - SF ,18.64,E. Engram TE - NYG ,10.10,K. Hunt RB - KC ,32.60,64.72,Liam WHYTE,158.20
Steven,5,J. Winston QB - TB ,25.76,M. Lynch RB - LV ,9.20,A. Morris RB - DAL ,6.10,M. Goodwin WR - SF ,12.40,J. Landry WR - MIA ,9.90,J. Graham TE - SEA ,-0.10,C. Kupp WR - LA ,2.10,J. Tucker K - BAL ,9.00,Dolphins DEF ,2.00,R. Jones DB - MIA ,6.00,M. Forte RB - NYJ ,4.40,A. Dalton QB - CIN ,0.52,T. Ginn WR - NO ,0.00,R. Woods WR - LA ,10.50,D. Johnson RB - ARI ,0.00,E. Elliott RB - DAL ,0.00,82.36,Oliver,89.38
Oliver,8,D. Prescott QB - DAL ,13.68,F. Gore RB - IND ,6.80,L. Bell RB - PIT ,22.50,D. Bryant WR - DAL ,6.50,R. Matthews WR - TEN ,15.50,R. Gronkowski TE - NE ,18.80,K. Juszczyk RB - SF ,1.60,B. Walsh K - SEA ,1.00,Seahawks DEF ,0.00,J. Bostic LB - IND ,3.00,D. Jackson WR - TB ,1.80,J. Thomas TE - MIA ,2.50,D. Carr QB - LV ,17.54,T. Coleman RB - ATL ,0.00,J. Goff QB - LA ,10.80,C. Jordan DL - NO ,5.00,89.38,Steven,82.36
Aaron,9,C. Newton QB - CAR ,31.48,J. Stewart RB - CAR ,3.60,D. Freeman RB - ATL ,25.40,T. Hilton WR - IND ,4.10,R. Anderson WR - NYJ ,4.00,D. Walker TE - TEN ,7.70,D. Thomas WR - DEN ,6.90,M. Prater K - DET ,8.00,Texans DEF ,-3.00,C. Mosley LB - BAL ,7.50,P. Rivers QB - LAC ,7.08,M. Bryant WR - PIT ,11.90,I. Crowell RB - CLE ,6.50,N. Agholor WR - PHI ,11.90,J. Richard RB - LV ,3.10,K. Forbath K - MIN ,12.00,95.68,-,-
Kevin,10,R. Wilson QB - SEA ,11.58,M. Ingram RB - NO ,27.10,D. Johnson RB - CLE ,10.30,D. Baldwin WR - SEA ,0.60,M. Jones WR - DET ,8.50,J. Cook TE - LV ,1.70,S. Diggs WR - MIN ,9.70,H. Butker K - KC ,14.00,Titans DEF ,3.00,D. Jones LB - ATL ,8.00,J. Witten TE - DAL ,4.70,A. Cooper WR - LV ,0.00,K. Mack DL - LV ,9.50,-,-,-,-,-,-,94.48,-,-
Todd,3,B. Roethlisberger QB - PIT ,20.24,R. Burkhead RB - NE ,7.70,K. Drake RB - MIA ,17.30,A. Brown WR - PIT ,2.40,K. Allen WR - LAC ,5.40,K. Rudolph TE - MIN ,7.70,M. Thomas WR - NO ,16.30,J. Elliott K - PHI ,10.00,Ravens DEF ,20.00,T. Smith LB - JAX ,2.50,M. Ryan QB - ATL ,15.38,D. Murray RB - TEN ,6.30,M. Lewis TE - JAX ,1.80,L. Miller RB - HOU ,3.30,J. Gordon WR - CLE ,4.70,B. Wagner LB - SEA ,5.00,109.54,Liam,75.54
Jackson ,6,M. Trubisky QB - CHI ,12.86,O. Darkwa RB - NYG ,7.60,J. Ajayi RB - PHI ,8.90,C. Hogan WR - NE ,0.00,J. Smith-Schuster WR - PIT ,11.40,A. Hooper TE - ATL ,1.20,M. Crabtree WR - LV ,17.90,A. Vinatieri K - IND ,7.00,Raiders DEF ,7.00,R. Alford DB - ATL ,7.00,L. McCoy RB - BUF ,21.60,J. Reed TE - WAS ,0.00,B. Cooks WR - NE ,12.00,C. Brate TE - TB ,4.90,T. Montgomery RB - GB ,0.00,A. Collins RB - BAL ,5.20,80.86,Kevin,97.14
Kevin,7,K. Cousins QB - WAS ,15.84,L. Murray RB - MIN ,16.40,C. McCaffrey RB - CAR ,19.60,G. Tate WR - DET ,3.30,T. Hill WR - KC ,14.80,Z. Ertz TE - PHI ,11.60,S. Perine RB - WAS ,6.60,W. Lutz K - NO ,7.00,Eagles DEF ,2.00,V. Burfict LB - CIN ,0.00,E. Sanders WR - DEN ,6.80,M. Lee WR - JAX ,0.00,P. Richardson WR - SEA ,1.80,J. Crowder WR - WAS ,11.50,H. Henry TE - LAC ,2.80,R. Kelley RB - WAS ,0.00,97.14,Jackson ,80.86
