Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,2,M. Stafford QB - DET ,27.08,F. Gore RB - IND ,5.20,L. Fournette RB - JAX ,18.40,A. Green WR - CIN ,7.90,J. Jones WR - ATL ,6.60,T. Kelce TE - KC ,4.40,K. Britt WR - NE ,1.30,G. Zuerlein K - LA ,16.00,Steelers DEF ,16.00,L. Kuechly LB - CAR ,9.00,D. Martin RB - TB ,0.00,D. Adams WR - GB ,4.70,D. Moncrief WR - IND ,6.00,D. Henry RB - TEN ,2.50,R. Kelley RB - WAS ,3.00,J. Mixon RB - CIN ,2.90,111.88,Kevin,104.54
Liam WHYTE,7,M. Mariota QB - TEN ,18.84,B. Powell RB - NYJ ,3.90,M. Gordon RB - LAC ,13.90,A. Jeffery WR - PHI ,5.80,D. Hopkins WR - HOU ,11.50,T. Eifert TE - CIN ,0.40,T. Gurley RB - LA ,15.60,A. Vinatieri K - IND ,3.00,Panthers DEF ,15.00,C. Kirksey LB - CLE ,3.50,J. Charles RB - DEN ,2.00,J. Maclin WR - BAL ,11.60,R. Cobb WR - GB ,8.50,B. Marshall WR - NYG ,1.00,J. Matthews WR - BUF ,6.10,K. White WR - CHI ,0.60,91.44,Adam,91.98
Adam,4,T. Brady QB - NE ,10.68,C. Hyde RB - SF ,7.70,J. Howard RB - CHI ,12.60,J. Nelson WR - GB ,13.90,E. Decker WR - TEN ,1.00,J. Witten TE - DAL ,11.90,A. Thielen WR - MIN ,15.70,S. Gostkowski K - NE ,9.00,Patriots DEF ,1.00,J. Freeman LB - CHI ,8.50,E. Sanders WR - DEN ,2.60,L. Fitzgerald WR - ARI ,7.40,A. Peterson RB - ARI ,1.80,T. West RB - BAL ,15.00,T. Rawls RB - SEA ,0.00,K. Hunt RB - KC ,40.60,91.98,Liam WHYTE,91.44
Steven,9,D. Prescott QB - DAL ,17.12,D. Johnson RB - ARI ,8.00,E. Elliott RB - DAL ,14.00,T. Ginn WR - NO ,5.80,T. Williams WR - LAC ,5.40,J. Graham TE - SEA ,0.80,M. Lynch RB - LV ,9.20,J. Tucker K - BAL ,8.00,Texans DEF ,0.00,P. Brown LB - BUF ,2.00,J. Cutler QB - MIA ,0.00,P. Rivers QB - LAC ,17.68,A. Luck QB - IND ,0.00,J. Landry WR - MIA ,0.00,D. Parker WR - MIA ,0.00,J. Crowder WR - WAS ,-0.60,70.32,Jackson ,77.62
Oliver,10,D. Brees QB - NO ,15.64,L. Bell RB - PIT ,4.70,C. Anderson RB - DEN ,8.80,D. Bryant WR - DAL ,4.30,R. Matthews WR - TEN ,7.10,R. Gronkowski TE - NE ,3.30,D. Woodhead RB - BAL ,3.70,S. Hauschka K - BUF ,3.00,Seahawks DEF ,7.00,J. Watt DL - HOU ,1.00,D. Carr QB - LV ,18.68,A. Robinson WR - JAX ,1.70,A. Abdullah RB - DET ,4.10,T. Lockett WR - SEA ,0.80,S. Shepard WR - NYG ,7.00,-,-,58.54,Todd,101.54
Aaron,8,B. Roethlisberger QB - PIT ,15.72,D. Freeman RB - ATL ,9.90,I. Crowell RB - CLE ,8.60,T. Hilton WR - IND ,3.70,K. Benjamin WR - BUF ,2.50,D. Walker TE - TEN ,7.60,J. Stewart RB - CAR ,16.20,M. Crosby K - GB ,5.00,Vikings DEF ,2.00,J. Casillas LB - NYG ,4.00,D. Thomas WR - DEN ,6.70,C. Newton QB - CAR ,14.14,L. Murray RB - MIN ,0.60,E. Ebron TE - DET ,0.90,M. Bryant WR - PIT ,1.40,J. Hill RB - CIN ,2.40,75.22,Kevin,123.10
Kevin,6,A. Rodgers QB - GB ,18.54,L. McCoy RB - BUF ,15.90,M. Ingram RB - NO ,7.10,M. Crabtree WR - LV ,8.30,S. Diggs WR - MIN ,20.70,G. Olsen TE - CAR ,1.80,A. Cooper WR - LV ,12.20,D. Bailey K - DAL ,13.00,Chiefs DEF ,3.00,K. Mack DL - LV ,4.00,M. Jones WR - DET ,9.70,T. Riddick RB - DET ,8.60,T. Gabriel WR - ATL ,3.60,J. Winston QB - TB ,0.00,C. Davis WR - TEN ,6.90,J. Williams RB - GB ,0.90,104.54,Liam,111.88
Todd,3,M. Ryan QB - ATL ,17.94,L. Miller RB - HOU ,9.60,D. Cook RB - MIN ,13.70,A. Brown WR - PIT ,18.20,M. Thomas WR - NO ,4.50,K. Rudolph TE - MIN ,8.60,K. Allen WR - LAC ,10.50,M. Prater K - DET ,7.00,Broncos DEF ,3.00,B. Wagner LB - SEA ,8.50,L. Blount RB - PHI ,10.70,A. Dalton QB - CIN ,-3.00,T. Pryor WR - WAS ,6.60,C. Coleman WR - CLE ,11.30,H. Henry TE - LAC ,0.00,D. Foreman RB - HOU ,0.40,101.54,Oliver,58.54
Jackson ,5,R. Wilson QB - SEA ,8.32,T. Montgomery RB - GB ,15.30,P. Perkins RB - NYG ,2.50,D. Baldwin WR - SEA ,6.00,B. Cooks WR - NE ,8.80,J. Reed TE - WAS ,3.60,P. Garcon WR - SF ,8.10,M. Bryant K - ATL ,11.00,Cardinals DEF ,8.00,L. Collins DB - NYG ,6.00,M. Bennett TE - NE ,4.30,D. Jackson WR - TB ,0.00,T. Taylor QB - BUF ,18.76,E. Lacy RB - SEA ,0.30,M. Evans WR - TB ,0.00,J. Ajayi RB - PHI ,0.00,77.62,Steven,70.32
Kevin,1,K. Cousins QB - WAS ,10.60,D. Murray RB - TEN ,6.00,M. Gillislee RB - NE ,22.50,G. Tate WR - DET ,11.40,T. Hill WR - KC ,21.80,Z. Ertz TE - PHI ,9.30,C. McCaffrey RB - CAR ,6.50,C. Boswell K - PIT ,3.00,Rams DEF ,28.00,N. Bowman LB - LV ,4.00,J. Doyle TE - IND ,4.10,S. Watkins WR - LA ,5.80,O. Beckham WR - NYG ,0.00,J. White RB - NE ,6.80,T. Coleman RB - ATL ,5.80,C. Wentz QB - PHI ,19.88,123.10,Aaron,75.22
