Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,9,K. Murray QB - ARI Q ,32.14,J. Mixon RB - CIN IR ,8.60,S. Barkley RB - NYG IR ,2.80,A. Green WR - CIN ,2.90,D. Hopkins WR - ARI ,13.80,N. Fant TE - DEN ,13.70,D. Metcalf WR - SEA ,15.20,J. Myers K - SEA ,5.00,Cardinals DEF ,9.00,D. Leonard LB - IND ,7.00,O. Beckham WR - CLE IR ,13.40,P. Lindsay RB - DEN IR ,0.00,N. Hines RB - IND ,0.40,H. Hurst TE - ATL ,13.20,C. Kirk WR - ARI ,6.00,C. Akers RB - LA ,1.30,110.14,Adam,132.50
Liam WHYTE,2,R. Wilson QB - SEA ,33.42,D. Johnson RB - HOU ,5.50,D. Singletary RB - BUF ,7.60,J. Jones WR - ATL Q ,2.40,A. Thielen WR - MIN ,3.10,T. Kelce TE - KC ,15.00,T. Hilton WR - IND ,2.80,D. Carlson K - LV ,12.00,49ers DEF ,5.00,J. Schobert LB - JAX ,8.00,T. Boyd WR - CIN ,13.20,L. Fournette RB - TB ,23.60,S. Michel RB - NE ,1.90,B. Snell RB - PIT ,-0.90,P. Williams WR - MIA IR ,4.60,J. Jeudy WR - DEN ,6.20,94.82,Jackson ,85.28
Adam,7,D. Prescott QB - DAL IR ,39.80,D. Cook RB - MIN ,15.10,A. Ekeler RB - LAC Q ,16.80,A. Robinson WR - CHI ,4.30,J. Smith-Schuster WR - PIT ,4.80,D. Goedert TE - PHI Q ,3.00,J. Brown WR - BUF ,14.20,R. Gould K - SF ,7.00,Packers DEF ,12.00,Z. Cunningham LB - HOU ,15.50,J. Edelman WR - NE IR ,17.90,J. Howard RB ,6.40,E. Engram TE - NYG ,6.50,K. Johnson RB - DET ,9.20,D. Chark WR - JAX Q ,8.40,G. Minshew QB - JAX ,25.46,132.50,Liam,110.14
Steven,10,L. Jackson QB - BAL Q ,17.56,T. Gurley RB - ATL ,6.10,D. Henry RB - TEN ,8.40,T. Hill WR - KC ,16.80,C. Kupp WR - LA Q ,8.00,A. Hooper TE - CLE ,2.20,D. Parker WR - MIA ,11.30,J. Tucker K - BAL ,15.00,Vikings DEF ,4.00,B. Martinez LB - NYG ,9.50,E. Sanders WR - NO ,2.80,G. Tate WR - NYG Q ,4.70,M. Brown RB - LA ,4.70,W. Fuller WR - HOU ,0.00,H. Renfrow WR - LV ,3.70,J. Burrow QB - CIN IR ,26.54,98.86,Kevin,177.98
Oliver,5,M. Ryan QB - ATL ,28.52,E. Elliott RB - DAL ,18.20,C. Carson RB - SEA ,16.80,R. Woods WR - LA ,9.30,T. Lockett WR - SEA ,12.70,Z. Ertz TE - PHI ,4.20,P. Campbell WR - IND IR ,0.70,G. Zuerlein K - DAL ,10.00,Saints DEF ,4.00,C. Littleton LB - LV ,2.50,R. Anderson WR - CAR ,8.90,P. Barber RB - WAS ,0.10,C. Godwin WR - TB ,0.00,M. Williams WR - LAC ,1.40,R. Jones RB - TB ,8.70,T. Pollard RB - DAL ,0.90,106.92,Aaron,164.40
Aaron,4,J. Allen QB - BUF ,34.50,J. Jacobs RB - LV ,10.50,J. Robinson RB - JAX Q ,18.00,K. Allen WR - LAC ,10.60,S. Diggs WR - BUF ,21.30,T. Higbee TE - LA ,23.40,J. Conner RB - PIT ,18.10,J. Slye K - CAR ,5.00,Steelers DEF ,13.00,J. Adams DB - SEA Q ,10.00,L. Bell RB - KC ,0.00,J. Crowder WR - NYJ ,0.00,D. Johnson RB - HOU Q ,0.00,M. Thomas WR - NO Q ,0.00,K. Golladay WR - DET Q ,0.00,A. Gibson RB - WAS ,11.20,164.40,Oliver,106.92
Kevin,1,P. Mahomes QB - KC Q ,27.48,A. Kamara RB - NO ,29.40,N. Chubb RB - CLE ,25.30,B. Perriman WR - NYJ ,1.20,C. Ridley WR - ATL ,22.90,D. Waller TE - LV ,16.50,D. Montgomery RB - CHI ,19.70,H. Butker K - KC ,13.00,Ravens DEF ,15.00,B. Wagner LB - SEA ,7.50,D. Brees QB - NO ,14.48,S. Watkins WR - KC ,1.10,A. Miller WR - CHI ,0.00,C. Sutton WR - DEN IR ,7.60,T. McLaurin WR - WAS ,18.50,C. Lamb WR - DAL ,11.50,177.98,Steven,98.86
Todd,8,D. Watson QB - HOU ,14.70,A. Jones RB - GB Q ,41.60,C. Edwards-Helaire RB - KC ,7.00,M. Evans WR - TB ,16.40,M. Gallup WR - DAL ,5.80,J. Cook TE - NO ,7.30,M. Brown WR - BAL ,4.20,Z. Gonzalez K - ARI IR ,12.00,Bills DEF ,2.00,B. Baker DB - ARI ,4.50,B. Roethlisberger QB - PIT ,18.24,M. Gordon RB - DEN ,14.40,S. Shepard WR - NYG ,3.50,H. Henry TE - LAC ,8.30,Z. Moss RB - BUF IR ,3.70,H. Ruggs WR - LV Q ,0.40,115.50,Kevin,120.50
Jackson ,3,C. Wentz QB - PHI ,12.38,A. Peterson RB - DET ,4.10,M. Sanders RB - PHI Q ,18.10,D. Adams WR - GB ,3.60,A. Cooper WR - DAL Q ,10.00,M. Andrews TE - BAL ,2.90,R. Mostert RB - SF IR ,16.70,W. Lutz K - NO ,6.00,Eagles DEF ,-1.00,J. Smith LB - DAL Q ,12.50,M. Ingram RB - BAL ,13.70,F. Gore RB - NYJ IR ,6.30,D. Freeman RB ,0.00,J. White RB - NE ,0.00,D. Moore WR - CAR ,13.00,D. Slayton WR - NYG ,3.30,85.28,Liam WHYTE,94.82
Kevin,6,A. Rodgers QB - GB ,18.20,K. Drake RB - ARI ,9.50,C. McCaffrey RB - CAR Q ,22.30,D. Jackson WR - PHI Q ,6.40,J. Landry WR - CLE ,4.60,J. Reed TE - SF ,17.00,J. Taylor RB - IND ,17.00,J. Sanders K - MIA ,10.00,Chiefs DEF ,5.00,F. Warner LB - SF ,10.50,C. Newton QB - NE ,34.58,K. Hunt RB - CLE ,22.10,G. Kittle TE - SF ,0.00,A. Brown WR - TEN Q ,0.00,D. Johnson WR - PIT ,17.20,D. Swift RB - DET ,7.20,120.50,Todd,115.50
