Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,8,K. Murray QB - ARI Q ,7.90,D. Johnson RB - HOU Q ,14.00,J. McKissic RB - WAS ,2.70,D. Hopkins WR - ARI ,5.50,D. Metcalf WR - SEA ,17.70,N. Fant TE - DEN ,1.30,M. Breida RB - MIA ,3.30,R. Blankenship K - IND ,2.00,Browns DEF ,0.00,A. Singleton LB - PHI ,4.50,L. Bell RB - KC ,3.20,J. Mixon RB - CIN IR ,0.00,R. Freeman RB - DEN ,5.00,M. Gaskin RB - MIA ,0.00,B. Snell RB - PIT ,9.30,B. Aiyuk WR - SF Q ,0.00,58.90,Liam WHYTE,64.70
Liam WHYTE,4,R. Wilson QB - SEA ,14.40,M. Sanders RB - PHI Q ,4.20,D. Singletary RB - BUF ,8.20,T. Boyd WR - CIN ,1.50,T. Fulgham WR - PHI ,1.60,R. Tonyan TE - GB ,12.70,D. Moore WR - CAR ,6.10,D. Carlson K - LV ,6.00,Vikings DEF ,3.00,L. David LB - TB ,7.00,A. Thielen WR - MIN ,0.00,T. Bridgewater QB - CAR Q ,13.88,D. Johnson RB - HOU ,0.00,C. Godwin WR - TB ,9.70,M. Andrews TE - BAL ,0.00,T. Higgins WR - CIN Q ,10.40,64.70,Liam,58.90
Adam,7,R. Fitzpatrick QB - MIA ,19.28,D. Cook RB - MIN ,6.20,A. Ekeler RB - LAC Q ,12.90,A. Robinson WR - CHI ,19.40,D. Johnson WR - PIT ,4.60,E. Engram TE - NYG ,11.40,N. Hines RB - IND ,9.50,D. Bailey K - MIN ,10.00,Rams DEF ,15.00,Z. Cunningham LB - HOU ,7.50,C. Newton QB - NE ,3.96,J. Brown WR - BUF ,0.00,J. Smith-Schuster WR - PIT ,9.70,J. Smith TE - TEN ,0.00,D. Chark WR - JAX Q ,0.00,G. Edwards RB - BAL ,7.00,115.78,Kevin,141.84
Steven,2,D. Carr QB - LV ,0.60,D. Henry RB - TEN ,36.50,W. Gallman RB - NYG ,15.10,W. Fuller WR - HOU ,29.10,T. Hill WR - KC ,44.90,M. Gesicki TE - MIA ,9.50,C. Kupp WR - LA Q ,4.10,J. Tucker K - BAL ,2.00,Saints DEF ,14.00,B. Martinez LB - NYG ,4.50,M. Jones WR - DET ,4.80,D. Parker WR - MIA ,11.90,T. Gurley RB - ATL ,0.00,B. Hill RB - ATL ,5.50,L. Jackson QB - BAL Q ,0.00,Colts DEF ,-3.00,160.30,Oliver,85.90
Oliver,9,P. Rivers QB - IND ,17.80,E. Elliott RB - DAL ,1.90,C. Carson RB - SEA ,11.90,R. Woods WR - LA ,8.80,T. Lockett WR - SEA ,2.30,E. Ebron TE - PIT Q ,5.40,R. Jones RB - TB ,16.30,W. Lutz K - NO ,7.00,Buccaneers DEF ,4.00,D. White LB - TB ,10.50,R. Anderson WR - CAR ,15.40,C. Samuel WR - CAR ,7.70,C. Edmonds RB - ARI ,4.30,C. Kirk WR - ARI ,1.90,J. Meyers WR - NE ,5.20,Z. Moss RB - BUF IR ,6.80,85.90,Steven,160.30
Aaron,3,J. Allen QB - BUF ,15.48,J. Robinson RB - JAX Q ,23.90,A. Gibson RB - WAS ,31.60,K. Allen WR - LAC ,12.00,S. Diggs WR - BUF ,4.90,R. Gronkowski TE - TB ,10.60,J. Jacobs RB - LV ,2.40,R. Succop K - TB ,6.00,Steelers DEF ,14.00,E. Kendricks LB - MIN Q ,13.00,B. Roethlisberger QB - PIT ,12.54,J. Crowder WR - NYJ ,3.10,M. Thomas WR - NO Q ,5.10,J. Conner RB - PIT ,0.00,K. Golladay WR - DET Q ,0.00,K. Ballage RB - LAC ,0.00,133.88,Todd,103.22
Kevin,1,P. Mahomes QB - KC Q ,31.28,A. Kamara RB - NO ,6.20,N. Chubb RB - CLE ,23.60,C. Ridley WR - ATL ,11.00,T. McLaurin WR - WAS ,10.20,D. Waller TE - LV ,2.30,D. Montgomery RB - CHI ,20.30,Y. Koo K - ATL ,21.00,Chiefs DEF ,5.00,B. Wagner LB - SEA ,4.50,D. Brees QB - NO ,0.00,T. Patrick WR - DEN Q ,0.00,D. Harris RB - NE IR ,4.70,C. Lamb WR - DAL ,2.10,J. Sanders K - MIA ,12.00,Ravens DEF ,8.00,135.38,Jackson ,95.86
Todd,6,D. Watson QB - HOU ,33.12,M. Gordon RB - DEN ,4.10,A. Jones RB - GB Q ,9.00,M. Evans WR - TB ,17.00,C. Claypool WR - PIT ,5.20,T. Hockenson TE - DET ,8.90,C. Edwards-Helaire RB - KC ,3.90,M. Crosby K - GB ,5.00,Dolphins DEF ,14.00,B. Baker DB - ARI ,3.00,R. Tannehill QB - TEN ,19.14,C. Beasley WR - BUF Q ,7.30,L. Murray RB - NO Q ,24.60,H. Henry TE - LAC ,6.70,M. Brown WR - BAL ,14.50,Bills DEF ,6.00,103.22,Aaron,133.88
Jackson ,5,J. Herbert QB - LAC ,20.44,A. Peterson RB - DET ,17.50,G. Bernard RB - CIN ,4.90,D. Adams WR - GB ,12.10,J. Jefferson WR - MIN ,19.00,T. Kelce TE - KC ,8.20,K. Hinton WR ,-2.78,Z. Gonzalez K - ARI IR ,5.00,Seahawks DEF ,9.00,R. Smith LB - CHI Q ,2.50,J. Jones WR - ATL Q ,0.00,A. Cooper WR - DAL Q ,17.20,M. Davis RB - CAR Q ,8.90,R. Mostert RB - SF IR ,8.30,S. Perine RB - CIN ,0.20,D. Swift RB - DET ,0.00,95.86,Kevin,135.38
Kevin,10,A. Rodgers QB - GB ,25.64,K. Drake RB - ARI ,21.30,K. Hunt RB - CLE ,6.20,A. Brown WR - TB ,1.10,A. Brown WR - TEN Q ,21.80,D. Goedert TE - PHI Q ,13.50,J. Landry WR - CLE ,20.30,H. Butker K - KC ,9.00,Packers DEF ,15.00,F. Oluokun LB - ATL ,8.00,B. Cooks WR - HOU ,8.50,J. McKinnon RB - SF ,3.20,C. Hyde RB - SEA ,2.90,C. McCaffrey RB - CAR Q ,0.00,G. Kittle TE - SF ,0.00,J. Taylor RB - IND ,0.00,141.84,Adam,115.78
